id,poi shape,poi_type,coordinate
5003,Polygon,pitch," 19.3514443, 47.3919331 "
5004,Polygon,pitch," 19.3514596, 47.3915907 "
5005,Polygon,pitch," 19.3435163, 47.3781092 "
5006,Polygon,pitch," 19.3437502, 47.3780077 "
5007,Polygon,pitch," 19.3495608, 47.3848481 "
5008,Polygon,park," 19.3453629, 47.3848833 "
5009,Polygon,pitch," 19.0788357, 47.4906197 "
5010,Polygon,pitch," 19.1395757, 47.4816655 "
5011,Polygon,pitch," 19.1178411, 47.5653368 "
5012,Polygon,pitch," 19.362436, 47.3854179 "
5016,Polygon,pitch," 19.1215473, 47.4837085 "
5017,Polygon,pitch," 19.1217012, 47.4843773 "
5018,Polygon,pitch," 19.1248105, 47.4771746 "
5019,Polygon,pitch," 19.1257351, 47.4776229 "
5021,Polygon,pitch," 19.0735973, 47.4293547 "
5022,Polygon,fitness_station," 18.9984073, 47.4698142 "
5023,Polygon,pitch," 19.0011436, 47.4693446 "
5024,Polygon,pitch," 19.0013777, 47.4695379 "
5025,Polygon,pitch," 19.0013692, 47.4695313 "
5026,Polygon,pitch," 19.0016113, 47.46941 "
5027,Polygon,pitch," 19.0014375, 47.469506 "
5028,Polygon,pitch," 19.001762, 47.4694846 "
5029,Polygon,playground," 19.0005999, 47.470818 "
5030,Polygon,playground," 18.9998682, 47.470047 "
5031,Polygon,pitch," 18.8986614, 47.4438715 "
5032,Polygon,playground," 19.0040429, 47.491989 "
5033,Polygon,dog_park," 19.1333419, 47.5343748 "
5034,Polygon,playground," 19.0049863, 47.4809711 "
5038,Polygon,playground," 19.1361835, 47.5355351 "
5040,Polygon,playground," 18.9058458, 47.4346038 "
5041,Polygon,fitness_station," 19.0613772, 47.5949409 "
5044,Polygon,park," 19.0224034, 47.4880119 "
5045,Polygon,park," 19.0222304, 47.4880631 "
5046,Polygon,park," 19.0226769, 47.4879698 "
5047,Polygon,park," 19.0231892, 47.4878501 "
5048,Polygon,park," 19.0228553, 47.4876344 "
5049,Polygon,park," 19.0229022, 47.4876693 "
5061,Polygon,pitch," 19.1327173, 47.4809486 "
5062,Polygon,park," 19.1356616, 47.4799543 "
5063,Polygon,pitch," 19.151824, 47.4719155 "
5064,Polygon,pitch," 19.151966, 47.4721853 "
5065,Polygon,pitch," 19.1515046, 47.4721554 "
5066,Polygon,playground," 19.1517781, 47.4720495 "
5068,Polygon,pitch," 19.1518565, 47.4721201 "
5069,Polygon,pitch," 19.1518879, 47.4711106 "
5070,Polygon,playground," 19.1520348, 47.4715754 "
5071,Polygon,pitch," 19.1515882, 47.4722025 "
5072,Polygon,pitch," 19.1516595, 47.4711093 "
5073,Polygon,park," 19.0029158, 47.4656714 "
5074,Polygon,playground," 19.0032484, 47.4681093 "
5075,Polygon,pitch," 19.0030265, 47.4705631 "
5076,Polygon,pitch," 19.0085177, 47.5275747 "
5077,Polygon,park," 19.0242676, 47.5144538 "
5078,Polygon,park," 19.0422953, 47.5430161 "
5079,Polygon,pitch," 19.0679164, 47.5294793 "
