id,poi shape,poi_type,coordinate
0,Polygon,water_park," 19.0814871, 47.5188636 "
1,Polygon,water_park," 19.0372916, 47.5182006 "
2,Polygon,park," 19.0339554, 47.4677416 "
3,Polygon,playground," 19.068473, 47.4318871 "
4,MultiPolygon,park," 19.1785711, 47.4437067 "
5,Polygon,sports_centre," 19.1165542, 47.334111 "
6,Polygon,park," 19.246445, 47.4719353 "
7,Polygon,park," 19.263149, 47.4945717 "
8,Polygon,park," 19.2494565, 47.4895177 "
9,Polygon,park," 19.2606754, 47.4907023 "
10,Polygon,park," 19.2335255, 47.4676044 "
11,Polygon,playground," 19.2371698, 47.4610459 "
12,Polygon,park," 19.2416845, 47.4656132 "
13,Polygon,park," 19.1663798, 47.4669946 "
14,Polygon,park," 19.1628955, 47.4674024 "
15,Polygon,track," 19.0733546, 47.4194166 "
16,Polygon,park," 19.1640724, 47.5064593 "
17,Polygon,park," 19.1699177, 47.5039782 "
18,MultiPolygon,park," 19.1215754, 47.4996384 "
19,MultiPolygon,park," 19.0716448, 47.4741734 "
20,Polygon,park," 19.0181825, 47.4993664 "
21,Polygon,park," 19.0402964, 47.4760104 "
22,MultiPolygon,park," 19.0412439, 47.4754575 "
23,Polygon,sports_centre," 19.0432265, 47.4765525 "
24,Polygon,park," 19.0677312, 47.4795506 "
25,Polygon,water_park," 19.058636, 47.536924 "
26,MultiPolygon,park," 19.0514459, 47.5179822 "
27,Polygon,park," 19.0504727, 47.4965406 "
28,Polygon,park," 19.0616114, 47.4917991 "
29,Polygon,nature_reserve," 19.3136061, 47.5636732 "
30,Polygon,sports_centre," 19.0274242, 47.4500418 "
31,Polygon,sports_centre," 19.0286541, 47.4206739 "
32,Polygon,sports_centre," 19.0257683, 47.4223578 "
33,Polygon,pitch," 18.9734786, 47.4164813 "
35,Polygon,park," 19.0464357, 47.50838 "
36,Polygon,park," 19.0466009, 47.5065785 "
37,Polygon,park," 19.1249892, 47.4563231 "
38,Polygon,park," 19.0669943, 47.5064535 "
39,Polygon,park," 19.1110599, 47.5828408 "
40,Polygon,park," 19.0788072, 47.5035245 "
41,Polygon,pitch," 19.0670538, 47.506076 "
42,Polygon,playground," 19.0168523, 47.463016 "
43,Polygon,park," 19.0654593, 47.4074962 "
44,Polygon,park," 19.1064463, 47.3978819 "
45,Polygon,park," 19.0647279, 47.4110322 "
46,Polygon,sports_centre," 18.9542573, 47.4861349 "
47,Polygon,park," 18.9809523, 47.4947628 "
48,Polygon,park," 19.0862928, 47.4829916 "
49,Polygon,park," 19.039708, 47.4982494 "
50,Polygon,park," 19.0241787, 47.5219144 "
51,Polygon,park," 19.0433541, 47.5622849 "
52,Polygon,park," 19.0838421, 47.5567405 "
53,Polygon,sports_centre," 19.0820282, 47.5741853 "
54,Polygon,park," 19.0356849, 47.5002555 "
55,Polygon,park," 18.9191792, 47.3767341 "
56,Polygon,park," 18.9186679, 47.3765374 "
57,Polygon,park," 18.9196059, 47.3769017 "
58,Polygon,park," 18.9191102, 47.3767079 "
59,Polygon,park," 18.9655409, 47.5441177 "
60,Polygon,pitch," 18.9360779, 47.5403343 "
61,Polygon,sports_centre," 19.2499203, 47.5863089 "
62,Polygon,sports_centre," 19.1379348, 47.5774432 "
63,Polygon,sports_centre," 19.224379, 47.5157289 "
64,Polygon,park," 19.0587029, 47.6174089 "
65,Polygon,park," 19.1303776, 47.458138 "
66,Polygon,park," 19.1166733, 47.5865367 "
67,Polygon,playground," 18.9119964, 47.4256306 "
68,Polygon,park," 18.9122416, 47.4258372 "
69,Polygon,park," 19.0094986, 47.4694519 "
70,Polygon,park," 18.9188122, 47.3762549 "
71,Polygon,park," 19.0336353, 47.5330085 "
72,Polygon,park," 19.0719642, 47.4928334 "
74,Polygon,park," 19.0994588, 47.4756664 "
75,Polygon,park," 19.0346748, 47.4730883 "
76,Polygon,sports_centre," 19.0360058, 47.4911911 "
77,Polygon,park," 19.2439193, 47.4823656 "
78,Polygon,sports_centre," 19.2475054, 47.4842734 "
79,Polygon,sports_centre," 19.2799114, 47.4853204 "
80,Polygon,park," 19.2768612, 47.488264 "
81,Polygon,sports_centre," 19.0936156, 47.5235044 "
82,Polygon,sports_centre," 19.1211126, 47.4700119 "
83,Polygon,park," 19.0453651, 47.540223 "
84,Polygon,track," 19.2568551, 47.4923759 "
85,Polygon,park," 19.0520354, 47.5785688 "
86,Polygon,playground," 19.115566, 47.4649686 "
87,Polygon,sports_centre," 19.0879722, 47.4308555 "
88,Polygon,park," 19.0542219, 47.4069988 "
89,Polygon,sports_centre," 19.1358056, 47.6233008 "
90,Polygon,park," 19.1128677, 47.5785944 "
91,Polygon,park," 19.0602704, 47.4666689 "
92,Polygon,sports_centre," 19.078713, 47.5362286 "
93,Polygon,park," 19.0892557, 47.562512 "
94,Polygon,park," 19.0845849, 47.5600764 "
95,Polygon,park," 18.9473788, 47.4614552 "
96,Polygon,park," 19.0454257, 47.5405451 "
97,Polygon,playground," 19.0386757, 47.550885 "
98,Polygon,water_park," 19.0467906, 47.5273367 "
99,Polygon,stadium," 19.0842443, 47.5758466 "
100,Polygon,park," 19.3698357, 47.4764766 "
101,Polygon,water_park," 19.0010692, 47.4459884 "
102,Polygon,sports_centre," 19.0013421, 47.4460495 "
103,Polygon,pitch," 18.9398702, 47.3635321 "
104,Polygon,park," 19.3962235, 47.597036 "
105,Polygon,park," 19.0338967, 47.5014578 "
106,Polygon,track," 19.036476, 47.4900444 "
107,Polygon,playground," 19.0047447, 47.4950111 "
108,MultiPolygon,stadium," 19.1076177, 47.4914732 "
109,Polygon,playground," 19.0267394, 47.4444424 "
110,Polygon,park," 18.9597135, 47.4611766 "
111,Polygon,park," 19.0522972, 47.4851073 "
112,Polygon,playground," 18.9037648, 47.4094798 "
113,Polygon,pitch," 18.9041598, 47.4093636 "
114,Polygon,park," 18.904528, 47.4094335 "
115,Polygon,park," 18.8866274, 47.399938 "
116,Polygon,playground," 18.8866274, 47.399938 "
117,Polygon,park," 18.8687707, 47.4129399 "
118,Polygon,nature_reserve," 18.8722056, 47.3997784 "
119,Polygon,park," 19.014744, 47.5081792 "
120,Polygon,sports_centre," 19.0123773, 47.5088419 "
121,Polygon,pitch," 19.0128296, 47.5079207 "
122,Polygon,park," 19.3939891, 47.4225772 "
123,Polygon,nature_reserve," 19.3939891, 47.4225772 "
124,Polygon,park," 19.0482138, 47.5053945 "
125,Polygon,track," 19.1069853, 47.5749776 "
126,MultiPolygon,nature_reserve," 19.0896235, 47.5952462 "
127,MultiPolygon,nature_reserve," 19.0779717, 47.5767529 "
128,Polygon,nature_reserve," 19.2020646, 47.4962337 "
129,Polygon,nature_reserve," 18.9804138, 47.4732162 "
130,Polygon,nature_reserve," 18.9971515, 47.4584449 "
131,Polygon,nature_reserve," 18.9956899, 47.489422 "
132,Polygon,nature_reserve," 18.9716209, 47.5119101 "
133,Polygon,nature_reserve," 18.9763511, 47.5096233 "
134,Polygon,nature_reserve," 18.9868185, 47.4825813 "
135,Polygon,nature_reserve," 18.9916708, 47.4824824 "
136,MultiPolygon,nature_reserve," 19.0835829, 47.3645549 "
137,Polygon,nature_reserve," 18.8611264, 47.3934493 "
138,Polygon,park," 19.091705, 47.5566467 "
139,MultiPolygon,nature_reserve," 18.8732894, 47.3910851 "
140,Polygon,nature_reserve," 18.9369112, 47.4126236 "
141,Polygon,nature_reserve," 18.9351061, 47.4110959 "
142,Polygon,nature_reserve," 18.9507857, 47.4168805 "
143,Polygon,nature_reserve," 18.9213944, 47.4849482 "
144,Polygon,nature_reserve," 18.9070722, 47.5154244 "
145,MultiPolygon,nature_reserve," 18.9039557, 47.4240633 "
146,Polygon,nature_reserve," 18.8879861, 47.4254855 "
147,Polygon,sports_centre," 19.069696, 47.644901 "
148,Polygon,track," 19.1554543, 47.4429761 "
149,Polygon,track," 19.1507562, 47.4351599 "
150,Polygon,sports_centre," 19.1512288, 47.4345379 "
151,Polygon,sports_centre," 19.1331371, 47.4102379 "
152,Polygon,track," 19.1103773, 47.5732316 "
153,Polygon,sports_centre," 19.1121163, 47.5752104 "
154,Polygon,sports_centre," 19.1134823, 47.5721096 "
155,Polygon,nature_reserve," 19.0211822, 47.5927357 "
156,Polygon,nature_reserve," 19.0199864, 47.589865 "
157,Polygon,nature_reserve," 19.0130609, 47.5926681 "
158,Polygon,water_park," 19.2519116, 47.5895371 "
159,Polygon,nature_reserve," 19.0166353, 47.4832331 "
160,Polygon,playground," 18.9255033, 47.3788908 "
161,Polygon,park," 19.0321815, 47.5801072 "
162,Polygon,track," 19.0909566, 47.4831301 "
163,Polygon,track," 19.0912778, 47.511521 "
164,Polygon,track," 19.0106705, 47.5122194 "
165,Polygon,track," 19.0093837, 47.5127733 "
168,Polygon,track," 19.043805, 47.5181306 "
169,Polygon,sports_centre," 19.0428957, 47.5167874 "
170,Polygon,pitch," 19.1306641, 47.49508 "
171,Polygon,sports_centre," 19.1375596, 47.4970247 "
172,Polygon,playground," 18.9125905, 47.370654 "
173,Polygon,track," 19.1163509, 47.4939365 "
174,Polygon,water_park," 19.0821415, 47.6258818 "
175,Polygon,nature_reserve," 19.0089999, 47.3903119 "
176,Polygon,park," 19.0515175, 47.5435853 "
177,Polygon,pitch," 19.1345424, 47.5514486 "
178,Polygon,stadium," 19.1213212, 47.562538 "
179,Polygon,pitch," 19.1207952, 47.5256521 "
180,Polygon,track," 19.1161844, 47.5217533 "
181,Polygon,playground," 19.1141162, 47.5419623 "
182,Polygon,park," 19.0245294, 47.504335 "
183,Polygon,pitch," 18.9336185, 47.4090297 "
184,Polygon,pitch," 18.938009, 47.4099973 "
185,Polygon,pitch," 19.0166172, 47.4139963 "
186,Polygon,park," 18.9348184, 47.4117388 "
187,Polygon,park," 18.9887592, 47.3906352 "
188,Polygon,park," 18.9882491, 47.3913075 "
189,Polygon,park," 19.0216189, 47.4218647 "
190,Polygon,pitch," 18.9770257, 47.397157 "
191,Polygon,park," 19.1239774, 47.5352141 "
192,Polygon,pitch," 19.0017887, 47.4476631 "
193,Polygon,park," 19.0468274, 47.5005266 "
194,Polygon,park," 19.0479184, 47.5134372 "
195,Polygon,garden," 19.0542837, 47.5032746 "
196,Polygon,garden," 19.0543435, 47.5028843 "
197,Polygon,park," 19.0466938, 47.5006398 "
198,Polygon,park," 19.0507319, 47.4995672 "
199,Polygon,park," 19.0515662, 47.503171 "
200,Polygon,park," 19.048501, 47.4958084 "
201,Polygon,park," 19.0479953, 47.5098432 "
202,Polygon,pitch," 19.0531128, 47.5096756 "
203,Polygon,park," 19.0506371, 47.5046604 "
204,Polygon,water_park," 19.0486958, 47.4885524 "
205,Polygon,park," 19.0587977, 47.4921257 "
206,Polygon,park," 19.0571308, 47.4963206 "
207,Polygon,park," 19.0446343, 47.4732074 "
208,Polygon,sports_centre," 19.0574294, 47.4792129 "
209,Polygon,park," 19.0468507, 47.5101985 "
210,Polygon,park," 19.0509455, 47.4926328 "
211,Polygon,park," 19.0515842, 47.4928545 "
212,Polygon,park," 19.0500008, 47.4935553 "
213,Polygon,park," 19.0566231, 47.4872756 "
214,Polygon,park," 19.0602765, 47.5171331 "
215,Polygon,park," 19.0612723, 47.5051792 "
216,Polygon,park," 19.0624307, 47.5043827 "
217,Polygon,garden," 19.0632436, 47.5055147 "
218,Polygon,garden," 19.0637966, 47.5053944 "
219,Polygon,garden," 19.0632825, 47.5049813 "
220,Polygon,garden," 19.0630594, 47.5051205 "
221,Polygon,park," 19.0782524, 47.5139876 "
222,Polygon,sports_centre," 19.1049854, 47.5026037 "
223,Polygon,park," 19.0717362, 47.5073629 "
224,Polygon,park," 19.0721321, 47.5071356 "
225,Polygon,park," 19.0752397, 47.501574 "
226,Polygon,park," 19.063044, 47.4997464 "
227,Polygon,park," 19.0652211, 47.4982836 "
228,Polygon,park," 19.0696078, 47.5134003 "
229,Polygon,nature_reserve," 19.0113287, 47.5273005 "
230,Polygon,stadium," 19.0942304, 47.5045951 "
231,Polygon,park," 19.0705797, 47.4904315 "
232,Polygon,park," 19.1513257, 47.438521 "
233,Polygon,stadium," 19.1536837, 47.4426056 "
234,Polygon,pitch," 19.1568414, 47.4423929 "
235,Polygon,stadium," 19.0869575, 47.4338065 "
236,Polygon,park," 19.1137923, 47.4413363 "
237,Polygon,park," 19.1095952, 47.4388865 "
238,Polygon,park," 19.1069471, 47.4405956 "
239,Polygon,park," 18.9939643, 47.4727452 "
240,Polygon,pitch," 19.2475045, 47.4819641 "
241,Polygon,park," 19.1344601, 47.4826418 "
242,Polygon,track," 19.1137116, 47.5737794 "
243,Polygon,pitch," 19.1076273, 47.5736604 "
244,Polygon,playground," 19.1221263, 47.4712709 "
245,Polygon,park," 19.1230538, 47.4671544 "
246,Polygon,park," 19.0773023, 47.4950439 "
247,Polygon,pitch," 19.0802885, 47.5371794 "
248,Polygon,pitch," 19.0799031, 47.5384977 "
249,Polygon,sports_centre," 19.073058, 47.54103 "
252,Polygon,playground," 19.0430787, 47.4849213 "
253,Polygon,park," 19.1184363, 47.4349709 "
254,Polygon,park," 19.1270993, 47.4333386 "
255,Polygon,park," 19.1443799, 47.4582683 "
256,Polygon,pitch," 19.0349024, 47.4581711 "
257,Polygon,park," 19.0353416, 47.4584972 "
258,Polygon,pitch," 19.0353418, 47.470334 "
259,Polygon,pitch," 19.0308763, 47.4670776 "
260,Polygon,park," 19.0295854, 47.4895961 "
261,Polygon,sports_centre," 19.011912, 47.5123768 "
262,Polygon,park," 18.9362869, 47.5457431 "
263,Polygon,park," 18.9414129, 47.5471172 "
264,Polygon,park," 18.9388106, 47.5481594 "
265,Polygon,park," 18.9612933, 47.5600871 "
266,Polygon,park," 18.9997466, 47.520251 "
267,Polygon,park," 19.0084284, 47.5133483 "
268,Polygon,park," 19.0393756, 47.5042292 "
269,Polygon,park," 19.0378706, 47.5029162 "
270,Polygon,playground," 18.9981413, 47.4693075 "
271,Polygon,park," 18.9399187, 47.5468792 "
272,Polygon,pitch," 19.0218479, 47.47415 "
273,Polygon,pitch," 19.0219342, 47.4745734 "
274,Polygon,park," 18.9924138, 47.5277001 "
275,Polygon,sports_centre," 18.9880205, 47.5260905 "
276,Polygon,park," 19.0390186, 47.4906908 "
277,Polygon,park," 18.9922374, 47.5006889 "
278,Polygon,pitch," 19.0546917, 47.4714377 "
279,Polygon,park," 19.0537321, 47.4763884 "
280,Polygon,park," 19.0285548, 47.4775978 "
281,Polygon,park," 19.0369414, 47.4698937 "
282,Polygon,park," 19.0446009, 47.4708712 "
283,Polygon,park," 19.0520629, 47.4729571 "
284,Polygon,park," 19.0519086, 47.4737585 "
285,Polygon,park," 19.0735458, 47.4818248 "
286,Polygon,park," 19.0799519, 47.480402 "
287,Polygon,park," 19.0808031, 47.4867113 "
288,Polygon,playground," 19.0827008, 47.4877011 "
289,Polygon,playground," 19.0606936, 47.4622038 "
290,Polygon,sports_centre," 19.0488349, 47.4654267 "
291,Polygon,pitch," 19.0482759, 47.4655264 "
292,Polygon,sports_centre," 19.0356937, 47.4509917 "
293,Polygon,playground," 19.0395485, 47.4460283 "
294,Polygon,sports_centre," 18.9949901, 47.4680494 "
295,Polygon,park," 18.9322498, 47.5138143 "
296,Polygon,park," 19.0716859, 47.483854 "
297,Polygon,garden," 18.9454872, 47.4985924 "
298,Polygon,park," 19.0441275, 47.5153097 "
299,Polygon,park," 19.0272856, 47.5082879 "
300,Polygon,water_park," 19.0371786, 47.519105 "
301,Polygon,park," 19.038585, 47.5148619 "
302,Polygon,garden," 19.0366166, 47.5188721 "
303,Polygon,park," 19.0365161, 47.5173572 "
305,Polygon,park," 19.0388148, 47.5170419 "
306,Polygon,garden," 19.0327993, 47.5039937 "
307,Polygon,park," 19.0306091, 47.504736 "
308,Polygon,garden," 19.0277109, 47.5047756 "
309,Polygon,garden," 19.0294604, 47.5051719 "
310,Polygon,park," 19.0307622, 47.5050779 "
311,Polygon,park," 19.037784, 47.4991607 "
312,Polygon,pitch," 19.0000751, 47.4476346 "
313,Polygon,pitch," 19.0013009, 47.4479172 "
314,Polygon,pitch," 19.0020548, 47.4471571 "
315,Polygon,pitch," 18.8848327, 47.5772116 "
316,Polygon,park," 19.0457489, 47.5390331 "
317,Polygon,sports_centre," 19.2149547, 47.3893504 "
318,Polygon,park," 19.2165772, 47.3830703 "
319,Polygon,park," 19.2253143, 47.3891583 "
320,Polygon,pitch," 18.9353573, 47.5961246 "
321,Polygon,park," 19.206728, 47.3878985 "
322,Polygon,playground," 19.2069357, 47.387873 "
323,Polygon,park," 19.0402748, 47.5390215 "
328,Polygon,park," 19.229406, 47.3865385 "
329,Polygon,park," 19.2211655, 47.38106 "
330,Polygon,park," 19.0355106, 47.534207 "
331,Polygon,park," 19.218009, 47.4291685 "
332,Polygon,park," 19.2187856, 47.4264677 "
333,Polygon,sports_centre," 19.2515093, 47.404716 "
334,Polygon,pitch," 19.2532001, 47.4041002 "
335,Polygon,park," 19.0909893, 47.5605041 "
336,Polygon,park," 19.0820517, 47.5468222 "
337,Polygon,playground," 19.1961063, 47.4311187 "
338,Polygon,sports_centre," 19.0573494, 47.4717104 "
339,Polygon,nature_reserve," 18.9979047, 47.5258535 "
340,Polygon,water_park," 19.0516318, 47.4834524 "
345,Polygon,pitch," 19.0432321, 47.5171425 "
346,Polygon,pitch," 19.0821695, 47.538681 "
347,Polygon,pitch," 19.0831061, 47.5381351 "
348,Polygon,park," 19.0000023, 47.4263325 "
349,Polygon,playground," 19.029424, 47.5079181 "
350,Polygon,dog_park," 19.0291651, 47.508161 "
351,Polygon,park," 19.0286528, 47.5081371 "
352,Polygon,park," 19.0986213, 47.5120663 "
353,Polygon,park," 19.0330645, 47.5121962 "
354,Polygon,park," 19.0071487, 47.4768211 "
355,Polygon,park," 19.011176, 47.4737068 "
356,Polygon,park," 19.0032223, 47.4594422 "
357,Polygon,playground," 19.2790997, 47.6350461 "
358,Polygon,garden," 18.9852279, 47.4648185 "
359,Polygon,playground," 19.0901631, 47.5150196 "
363,Polygon,pitch," 19.0067151, 47.4551523 "
364,Polygon,playground," 19.1354028, 47.5421324 "
365,Polygon,park," 19.0661702, 47.4833143 "
366,Polygon,pitch," 19.0407885, 47.4798667 "
367,Polygon,pitch," 19.0405731, 47.4791969 "
368,Polygon,pitch," 19.0408116, 47.47957 "
369,Polygon,pitch," 19.041117, 47.4793645 "
370,Polygon,park," 18.9999475, 47.5157295 "
371,Polygon,park," 19.0018817, 47.5148978 "
372,Polygon,park," 19.0043391, 47.5147379 "
373,Polygon,park," 18.9965825, 47.517854 "
374,Polygon,park," 19.0184504, 47.4959693 "
375,Polygon,playground," 19.0163045, 47.4943853 "
377,Polygon,playground," 18.9148141, 47.6145071 "
378,Polygon,park," 18.9131473, 47.6168447 "
379,Polygon,park," 19.0501302, 47.5102288 "
380,Polygon,park," 19.0477249, 47.5130985 "
381,Polygon,park," 19.0516624, 47.4989015 "
382,Polygon,park," 19.0537932, 47.4976485 "
383,Polygon,park," 19.053784, 47.4975977 "
384,Polygon,park," 19.0542385, 47.4971263 "
385,Polygon,park," 19.0545608, 47.4974991 "
386,Polygon,park," 19.0578733, 47.5098702 "
387,Polygon,sports_centre," 18.9690461, 47.4557287 "
388,Polygon,pitch," 19.1357379, 47.5497134 "
389,Polygon,pitch," 19.1364328, 47.5506645 "
390,Polygon,park," 19.0622327, 47.4827339 "
391,Polygon,playground," 18.9047703, 47.43504 "
392,Polygon,playground," 18.9104914, 47.4441248 "
393,Polygon,park," 19.3862277, 47.4263972 "
394,Polygon,playground," 19.4003447, 47.4309698 "
395,Polygon,park," 19.4000901, 47.4308648 "
396,Polygon,pitch," 18.9207018, 47.4306617 "
397,Polygon,park," 18.9008026, 47.4396096 "
398,Polygon,pitch," 18.9220909, 47.4295593 "
399,Polygon,park," 18.9111971, 47.4314577 "
400,Polygon,pitch," 18.9429453, 47.4616537 "
401,Polygon,playground," 18.943332, 47.4616719 "
402,Polygon,park," 19.0238722, 47.5023321 "
403,Polygon,pitch," 19.0410459, 47.4792253 "
404,Polygon,playground," 18.9054207, 47.4432901 "
405,Polygon,playground," 18.9213039, 47.4414631 "
406,Polygon,park," 19.1688779, 47.5236746 "
407,Polygon,pitch," 19.1831801, 47.6270905 "
408,Polygon,sports_centre," 19.1148708, 47.4824756 "
409,Polygon,park," 19.0624821, 47.4755979 "
410,Polygon,sports_centre," 19.1086704, 47.4805689 "
411,Polygon,garden," 19.08452, 47.4849793 "
412,Polygon,pitch," 19.0951805, 47.4759575 "
413,Polygon,playground," 18.952549, 47.4649676 "
414,Polygon,park," 19.0959198, 47.4798972 "
415,Polygon,park," 19.0847944, 47.4830783 "
416,Polygon,park," 19.0805416, 47.4890591 "
417,Polygon,sports_centre," 19.1121643, 47.4831821 "
418,Polygon,playground," 18.9189443, 47.4551141 "
419,Polygon,stadium," 19.1052194, 47.4924218 "
420,Polygon,playground," 18.9138848, 47.4355951 "
421,Polygon,track," 18.932433, 47.4267226 "
422,Polygon,pitch," 18.9312232, 47.458762 "
423,Polygon,playground," 18.9323675, 47.4585458 "
424,Polygon,pitch," 18.9319235, 47.4587247 "
425,Polygon,pitch," 18.9319113, 47.4575603 "
426,Polygon,pitch," 18.9302223, 47.4588816 "
427,Polygon,playground," 18.9373421, 47.3945352 "
428,Polygon,park," 19.1449557, 47.4827284 "
429,Polygon,pitch," 18.8949294, 47.4174089 "
430,Polygon,playground," 18.8947239, 47.4175862 "
431,Polygon,playground," 18.8949424, 47.4174167 "
432,Polygon,playground," 18.9158481, 47.44052 "
433,Polygon,sports_centre," 19.1132614, 47.4787765 "
434,Polygon,park," 19.0072497, 47.489283 "
435,Polygon,playground," 19.0498992, 47.4849933 "
436,Polygon,playground," 19.0401836, 47.4864153 "
437,Polygon,playground," 19.0498728, 47.4851865 "
438,Polygon,park," 19.0373309, 47.5007647 "
439,Polygon,stadium," 19.3581191, 47.4434796 "
440,Polygon,park," 19.1507245, 47.5419734 "
441,Polygon,playground," 19.2342167, 47.5464117 "
442,Polygon,stadium," 19.0389169, 47.4930757 "
443,Polygon,pitch," 19.0705172, 47.4185198 "
444,Polygon,park," 19.0367628, 47.5163079 "
446,Polygon,playground," 19.0511823, 47.5189898 "
447,Polygon,park," 19.0302907, 47.4460329 "
448,Polygon,park," 19.027752, 47.4503715 "
449,Polygon,playground," 19.0652716, 47.5216006 "
450,Polygon,dog_park," 19.065977, 47.5209362 "
451,Polygon,playground," 19.0538228, 47.5191537 "
452,Polygon,park," 19.0551458, 47.5191413 "
453,Polygon,park," 19.091197, 47.5593395 "
454,Polygon,pitch," 18.9280878, 47.4313887 "
455,Polygon,pitch," 19.2185731, 47.4389313 "
456,Polygon,playground," 19.0596743, 47.4919699 "
457,Polygon,dog_park," 19.0601234, 47.4923737 "
458,Polygon,playground," 19.0595153, 47.4922367 "
459,Polygon,playground," 19.0599323, 47.4924316 "
460,Polygon,playground," 19.0846905, 47.5041705 "
461,Polygon,stadium," 19.0955258, 47.5063524 "
462,Polygon,playground," 19.0584852, 47.5285864 "
465,Polygon,park," 19.3240871, 47.4901569 "
466,Polygon,sports_centre," 18.9970797, 47.4902263 "
467,Polygon,playground," 19.010156, 47.4693521 "
468,Polygon,park," 19.1419484, 47.4806217 "
469,Polygon,park," 19.3421226, 47.5920663 "
470,Polygon,playground," 18.9549333, 47.5275434 "
471,Polygon,park," 19.0292642, 47.4516227 "
472,Polygon,sports_centre," 19.1338798, 47.4698016 "
473,Polygon,stadium," 18.9015298, 47.5699473 "
474,Polygon,dog_park," 19.1830592, 47.51966 "
475,Polygon,playground," 19.2168117, 47.4216397 "
476,Polygon,playground," 19.1409306, 47.4565321 "
477,Polygon,park," 19.053393, 47.4833413 "
478,Polygon,park," 19.0629353, 47.5283929 "
479,Polygon,park," 19.0633736, 47.5262393 "
480,Polygon,park," 19.0627663, 47.5280276 "
481,Polygon,park," 19.0624957, 47.525846 "
482,Polygon,park," 19.0529081, 47.4833604 "
483,Polygon,pitch," 19.0361916, 47.5520692 "
484,Polygon,pitch," 19.0505821, 47.5626281 "
485,Polygon,pitch," 19.0264753, 47.5382342 "
486,Polygon,pitch," 19.0370287, 47.5520786 "
487,Polygon,pitch," 19.2774943, 47.4864769 "
488,Polygon,pitch," 19.2800314, 47.4869225 "
489,Polygon,pitch," 19.0329378, 47.4664512 "
490,Polygon,pitch," 19.0321211, 47.467178 "
491,Polygon,dog_park," 19.0332995, 47.466598 "
492,Polygon,pitch," 19.072293, 47.4194551 "
493,Polygon,park," 19.1011014, 47.5030103 "
494,Polygon,pitch," 19.1601344, 47.5112785 "
495,Polygon,pitch," 19.1220962, 47.5261916 "
496,Polygon,park," 19.212525, 47.5073285 "
497,Polygon,pitch," 19.0431011, 47.477726 "
498,Polygon,pitch," 19.0429799, 47.4766852 "
499,Polygon,pitch," 19.0433127, 47.4776963 "
500,Polygon,pitch," 19.0427691, 47.4774026 "
501,Polygon,park," 19.0341675, 47.4733101 "
502,Polygon,pitch," 19.0439464, 47.5941761 "
503,Polygon,park," 19.0105196, 47.4834574 "
504,Polygon,park," 19.047117, 47.4858039 "
505,Polygon,park," 19.0678725, 47.4306242 "
506,Polygon,pitch," 19.1288655, 47.4525217 "
507,Polygon,pitch," 19.1893812, 47.6086872 "
508,Polygon,pitch," 18.9208039, 47.5160741 "
509,Polygon,park," 19.3635625, 47.4419648 "
510,Polygon,track," 19.1257562, 47.498928 "
511,Polygon,playground," 19.1164252, 47.5475684 "
512,Polygon,playground," 19.1205667, 47.541871 "
513,Polygon,playground," 19.1259316, 47.5421918 "
514,Polygon,playground," 19.1283448, 47.5467219 "
515,Polygon,pitch," 19.1015965, 47.5639249 "
516,Polygon,pitch," 19.0911758, 47.5583842 "
517,Polygon,pitch," 19.0948426, 47.5613992 "
518,Polygon,track," 19.1207814, 47.4969047 "
519,Polygon,pitch," 19.1009679, 47.5588594 "
520,Polygon,park," 19.0786079, 47.562289 "
521,Polygon,pitch," 18.9522789, 47.5416178 "
522,Polygon,pitch," 18.9522684, 47.5419029 "
523,Polygon,pitch," 18.9529014, 47.5471253 "
524,Polygon,pitch," 19.1068495, 47.5646616 "
525,Polygon,pitch," 19.0962329, 47.5612805 "
526,Polygon,pitch," 19.0874962, 47.5588788 "
527,Polygon,pitch," 19.0874962, 47.5588788 "
528,Polygon,pitch," 19.0103916, 47.523798 "
529,Polygon,pitch," 19.0865794, 47.5551602 "
530,Polygon,park," 19.0384407, 47.5143769 "
531,Polygon,park," 19.1084582, 47.5428451 "
532,Polygon,pitch," 19.0696161, 47.5230908 "
533,Polygon,sports_centre," 18.9514056, 47.5642718 "
534,Polygon,dog_park," 18.9514643, 47.5631367 "
535,Polygon,park," 18.9569344, 47.5688422 "
536,Polygon,park," 18.9601312, 47.5673054 "
537,Polygon,sports_centre," 19.1775688, 47.4838878 "
538,Polygon,park," 19.1249413, 47.5512661 "
539,Polygon,dog_park," 19.0874235, 47.5445594 "
540,Polygon,pitch," 19.0868907, 47.5459071 "
541,Polygon,pitch," 19.0868907, 47.5459071 "
542,Polygon,playground," 19.0844515, 47.5420152 "
543,Polygon,playground," 19.0984016, 47.5585912 "
544,Polygon,pitch," 19.0963841, 47.5562108 "
545,Polygon,pitch," 19.0963949, 47.5563463 "
546,Polygon,park," 19.0574655, 47.524951 "
547,Polygon,playground," 19.0541733, 47.5233565 "
548,Polygon,park," 19.061094, 47.5214742 "
549,Polygon,playground," 19.0604031, 47.5216357 "
550,Polygon,pitch," 19.0832654, 47.5437503 "
551,Polygon,playground," 19.0835883, 47.5435147 "
552,Polygon,pitch," 19.0885687, 47.5415523 "
553,Polygon,pitch," 18.9384447, 47.5392003 "
554,Polygon,pitch," 18.9389333, 47.5390593 "
555,Polygon,playground," 19.0798602, 47.5428914 "
