id,poi shape,poi type,coordinate
1366,Point,bus_stop," 18.8884279, 47.4096826 "
1367,Point,bus_stop," 18.8893848, 47.4091482 "
1368,Point,bus_stop," 18.8927675, 47.4061171 "
1369,Point,bus_stop," 18.9122847, 47.3949869 "
1370,Point,bus_stop," 18.912816, 47.3948192 "
1371,Point,bus_stop," 18.9170311, 47.3919394 "
1372,Point,bus_stop," 18.9181588, 47.3910189 "
1373,Point,bus_stop," 18.9227563, 47.3784176 "
1375,Point,bus_stop," 18.922433, 47.3882753 "
1376,Point,bus_stop," 18.9214178, 47.388797 "
1377,Point,bus_stop," 18.9248736, 47.3856222 "
1378,Point,bus_stop," 18.9247297, 47.3858511 "
1379,Point,bus_stop," 18.9031168, 47.3999162 "
1380,Point,bus_stop," 18.9070171, 47.3977823 "
1381,Point,bus_stop," 18.8978008, 47.4029321 "
1382,Point,bus_stop," 18.9015235, 47.400985 "
1383,Point,bus_stop," 18.8974608, 47.4033157 "
1384,Point,bus_stop," 18.9077926, 47.3971956 "
1385,Point,bus_stop," 18.9634229, 47.451413 "
1387,Point,bus_stop," 18.9601027, 47.4138104 "
1388,Point,bus_stop," 18.9602327, 47.4136043 "
1389,Point,bus_stop," 18.9722464, 47.41542 "
1390,Point,bus_stop," 18.9730316, 47.4156381 "
1394,Point,bus_stop," 18.9847589, 47.419219 "
1395,Point,bus_stop," 18.985061, 47.4191415 "
1418,Point,bus_stop," 18.9189653, 47.4545705 "
1419,Point,bus_stop," 18.9270932, 47.4525647 "
1420,Point,bus_stop," 18.9202714, 47.4568332 "
1423,Point,bus_stop," 18.9288414, 47.4559236 "
1426,Point,bus_stop," 18.9304473, 47.453086 "
1427,Point,bus_stop," 18.929798, 47.4531826 "
1428,Point,bus_stop," 18.9345712, 47.4542979 "
1429,Point,bus_stop," 18.9373732, 47.454763 "
1430,Point,bus_stop," 18.9384363, 47.4551339 "
1431,Point,bus_stop," 18.9344052, 47.4556411 "
1434,Point,bus_stop," 18.9323036, 47.4587043 "
1437,Point,bus_stop," 18.9705188, 47.4379827 "
1438,Point,bus_stop," 18.9739362, 47.4353859 "
1442,Point,bus_stop," 18.9585391, 47.4454296 "
1443,Point,bus_stop," 18.9623317, 47.447181 "
1444,Point,bus_stop," 18.9612556, 47.4475229 "
1445,Point,bus_stop," 18.941212, 47.4554725 "
1448,Point,bus_stop," 18.9506256, 47.4573738 "
1449,Point,bus_stop," 18.9510603, 47.457551 "
1453,Point,bus_stop," 18.9621714, 47.4546293 "
1454,Point,bus_stop," 18.9540625, 47.4580133 "
1455,Point,bus_stop," 18.9533545, 47.4579632 "
1456,Point,bus_stop," 18.9538072, 47.4599294 "
1457,Point,bus_stop," 18.9537018, 47.459837 "
1458,Point,bus_stop," 18.9664094, 47.4398399 "
1459,Point,bus_stop," 18.9662659, 47.4399411 "
1460,Point,bus_stop," 18.9635482, 47.4581595 "
1461,Point,bus_stop," 18.964763, 47.4596767 "
1462,Point,bus_stop," 18.9700062, 47.4563227 "
1463,Point,bus_stop," 18.9681646, 47.4576767 "
1464,Point,bus_stop," 18.9743024, 47.4559394 "
1465,Point,bus_stop," 18.974308, 47.4558716 "
1466,Point,bus_stop," 18.9753791, 47.4585627 "
1467,Point,bus_stop," 18.9756128, 47.4585094 "
1469,Point,bus_stop," 18.9556521, 47.4613996 "
1470,Point,bus_stop," 18.9604443, 47.4624329 "
1471,Point,bus_stop," 18.9692002, 47.4615681 "
1472,Point,bus_stop," 18.9694636, 47.4636635 "
1473,Point,bus_stop," 18.9699022, 47.4647435 "
1474,Point,bus_stop," 18.9736822, 47.4660013 "
1475,Point,bus_stop," 18.9794233, 47.467624 "
1492,Point,bus_stop," 19.0092929, 47.5255566 "
1493,Point,bus_stop," 19.0099745, 47.5254191 "
1494,Point,bus_stop," 19.0132642, 47.5242576 "
