ID,Apartment,House,For Sale,For Rent,Price,Size(sqm),Price/sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,District,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District2,Lats,Lons,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,"Shop: Art, music, hobbies",Shop: Beauty,"Shop: Clothing, shoes, accessories",Shop: Convenience shop,Shop: Department Store,"Shop: Discount store, charity","Shop: Food, beverages",Shop: Health,Shop: Laundry,Shop: Mall,"Shop: Stationery, gifts, books, newspapers",Shop: Supermarket,Shop: Travel Agency,Shop: Others
428,1,0,1,0,41990000,6,6998333.333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,2,1.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale newly built apartments in a condominium in district 10, next to Szent László tér and Városközpont. These apartments are between 28 sqm and 96 sqm and they are situated in a 4-storey building. The street is quiet, wide, nonetheless free from transit traffic. The building is in the best part of the district , in the neighbourhood there is a school, kindergarten, shopping malls, public transport hub. Heating: geothermal, electricity: by sun collectors. Now you can choose the clolours and wall coverings. It will be finished till Autumn of 2019. For further information, floorplan and viewing please call me!",19.13075495,47.48777677,1102,10,47.48777677,19.13075495,3.442329579,6.092698254,3.83626908,6.125881548,8.116674047,10.64649471,4.881404805,5.23449177,4.922166283,5.042632405,5.042632405,5.693520921,2.313243661,4.587923248,2.097038871,6.262866964,5.477111842,4.418669067,5.278010774,5.266900562,10.08532032,5.190381733,3.684946103,10.96653115,3.4727263219999998,8.887963991,4.905050664,4.751774083,8.025713827,0,8,1,1,0,0,32,0,0,2,0,9,0,43
429,1,0,1,0,50500000,3,16833333.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,-2,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 32 sqm apartment in Asbóth utca. The street facing property is situated on the 1st floor in a classical style building which has got an elevator. The flat consists of one room, open plan kitchen, bathroom.",19.0547671,47.49941909,1051,5,47.49941909,19.0547671,0.558419532,0.44375835700000005,2.195221007,1.367602305,2.275534941,16.31348812,0.24434171100000002,0.65719214,0.97281046,1.0522015690000002,1.0522015690000002,1.9727628940000002,5.329702584,1.3318235090000001,6.091043365,0.41120702299999995,1.471754585,2.3680340419999997,0.8400956540000001,1.292364525,6.9751310570000005,1.256492347,5.019343433,5.147458391,3.01861277,4.156713054,1.1794115459999999,1.6413686980000002,2.385119843,51,165,244,5,3,11,375,38,4,9,184,50,24,394
430,1,0,1,0,49900000,7,7128571.429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,-1,1,0.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale a renovated 72 sqm apartment in Damjanich utca, district 7 close to City Park. The flat is situated on the ground floor of a classical building. Its windows are facing to the green inner courtyard. A 124 sqm apartment has been separated into 2 (52 sqm and 72 sqm), so currently these 2 apartments are on the same lot number. Can be separated by lawyer and purchase one of them. The 52 sqm apartment consists of 1 bedroom, a living room, a bathroom, an open plan kitchen and a separate toilet. The 72 sqm apartment consists of 1 bedroom, a living room, a bathroom, an entrance hall, an open plan kitchen, a storage and a toilet. The apartment has new windows, new interior and exterior doors (thermoplan glasses with 3 layers), new shutters. Water and electricty system and pipes has been totally changed. Walls got new cold and warm cladding. In the kitchen there is a new kitchen cabinet, a new electric cooker, an oven, a pull-out mixer, a fridge, an extractor, a dining set. The bathroom has a new washing machine, bathroom cabinet. Heating has been provided by gas stove, common cost is 25 000 HUF/month which includes unlimited water consumption. It is a great opportunity for investors, but I recommend it to home as well.",19.07844941,47.51002946,1071,7,47.51002946,19.07844941,1.16244106,2.568971571,1.041646145,1.603171268,4.155789079,15.28914661,1.7921020859999999,1.5840603569999998,1.8776868169999998,2.252470089,2.252470089,3.591629029,3.4675230160000003,1.9188808169999998,4.281143515,2.406395904,3.052169563,3.162574652,1.295996584,0.899152565,6.081748796,2.641655488,2.9175629730000003,6.596314208,3.1774035730000003,4.2605297680000005,2.2361389469999997,2.643407994,4.467642196,15,60,92,8,3,6,188,6,4,5,46,30,4,208
431,1,0,1,0,50110000,5,10022000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,1,3.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"A few minutes on foot from the biggest shopping center in Budapest there is a renovated apartment in Rózsa utca. Under the renovation the doors and windows will be replaced,and radiators will be controlled by smart phone. Not just the apartment but the house will be renovated too. The electric system will be replaced and the staircase will be renovated. Furnitures are optional. The handover will be in March of 2019.",19.06205381,47.5132225,1062,6,47.5132225,19.06205381,1.1310429929999999,2.043290254,2.099229175,0.404343574,3.1039949819999997,16.52960607,0.707811381,1.474134232,2.015970154,2.332168488,2.332168488,3.5409446910000004,4.726307033,2.261049498,5.545546663,1.684376846,3.004049906,3.576009898,1.11711256,0.7334399420000001,5.474547265,2.678200929,4.021581083,5.337123023,3.90487408,3.1212109810000004,2.393680642,2.896890778,3.5896301910000004,24,142,121,8,2,8,250,19,6,2,89,41,6,325
432,1,0,1,0,48500000,9,5388888.8889999995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,-1,3,4.0,1,1, Panoramic,0,0,0,1,0,0,0,1,1,1,"We are offering for sale an unrenovated apartment in Bethlen Gábor tér, near Keleti Trainstation and University of Veterinary Medicine. It is situated in a classical building on the 4th floor. The 3-bedroom apartment has a balcony and it is possible to create two smaller apartments from this. Because of the great layout and location it can be ideal investment or a cozy home as well.",19.07773261,47.50554682,1071,7,47.50554682,19.07773261,1.003533691,2.264880157,0.650637152,1.680705678,4.016379162,15.08357509,1.602058279,1.236038895,1.4305159769999998,1.8004007419999999,1.8004007419999999,3.1343136030000003,3.527121405,1.4332716509999999,4.317092803,2.183328232,2.603160139,2.661527329,1.034860365,0.8327777040000001,6.543520168,2.185990585,3.173014764,6.617896936,2.697906089,4.552486103000001,1.7699782469999998,2.155401524,4.2352468619999994,26,92,120,8,3,5,298,16,3,8,67,40,6,266
433,1,0,1,0,83900000,7,11985714.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,1.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,We are offering for sale a 73 sqm apartment int Toldy Ferenc utca (district 1.). The ownership of this 2 bedrooms and living room home in the Castle built in 1998 is for sale. There is a 12 square meter terrace to the flat leading to the garden. The garage that belongs to the apartment is a must to purchase with the flat above the sales price. Great opportunity for investment or a home as well. Garage prices: 4 M HUF,19.03429173,47.50535853,1015,1,47.50535853,19.03429173,0.538044392,1.576421955,3.748035381,1.85777293,0.8495825379999999,17.98705297,1.5384004390000001,2.271587014,2.644566202,2.661678998,2.661678998,3.078042495,6.785283804,3.0023706110000004,7.579954557000001,1.264112174,2.75868332,3.887464315,2.2704990069999997,2.472822946,6.483109889,2.737715417,6.243665977999999,3.474259154,4.644663352,3.2045887889999998,2.800836949,3.194367192,1.522454835,15,75,59,7,3,4,151,16,3,4,69,46,5,189
434,1,0,1,0,52900000,11,4809090.909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,2,2.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale 112 sqm duplex apartment in Budaörsi út district 11. The property is situated on the 2nd floor. The first floor consists of bedroom, living room with dining area, kitchen, hall, bathroom and seperate toilet. On the second floor there is a bedroom. BAH-csomópont only few minutes by walk so public transport is good. It could be a great opportunity for investment.",19.02456578,47.48474101,1118,11,47.48474101,19.02456578,0.454924092,2.360721664,4.823385133,3.86591933,1.852399326,17.87062485,2.878157688,3.379953547,3.341647165,3.077801197,3.077801197,2.3511545419999997,7.9485182860000005,3.5782904739999997,8.653043582,2.580068135,2.510784791,3.6242663310000003,3.632949052,4.077265703999999,8.883679396,2.833327685,7.788259017000001,4.347118221000001,4.581539591,5.546524611000001,3.193731572,3.241371528,0.969539815,4,32,15,4,0,1,75,9,2,4,12,32,0,106
435,1,0,1,0,100000000,12,8333333.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,-1,3,4.0,1,1, Panoramic,0,0,0,1,0,0,0,1,1,1,,19.07067728,47.50575848,1161,16,47.50575848,19.07067728,1.4949784519999998,1.818252155,1.101316754,1.201031178,3.493617085,15.55825709,1.09949058,0.8383725479999999,1.209543687,1.5801045169999999,1.5801045169999999,2.9088647560000003,4.053887928,1.3444470830000002,4.8465203489999995,1.68334181,2.36186197,2.661008665,0.547488756,0.337786606,6.395657658999999,1.9671459,3.638024228,6.093395009,2.879871717,4.172327318,1.59118858,2.051476725,3.744947722,39,133,176,8,5,7,363,25,6,7,116,53,17,379
436,1,0,1,0,125000000,11,11363636.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,3.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"115 sqm furnished luxury apartment is for sale in Bajcsy-Zsilinszky road in district 5 near the Parliament, the Basilica, the Westend commercial center and the metro stations. It consists of 2 bedrooms, a living room, a separated kitchen, 2 bathrooms and a restroom. The public transport is excellent. Perfect for investment. The furniture is optional, it is possible to buy it (25 million HUF).",19.05351539,47.50531337,1054,5,47.50531337,19.05351539,0.747449687,1.0000162670000001,2.3192648119999997,0.7532356309999999,2.213882886,16.67936197,0.152537032,0.953190248,1.464623236,1.6476771209999999,1.6476771209999999,2.631689587,5.343563867,1.808230918,6.136298465,0.59849772,2.133806152,2.9760415539999996,0.8451567390000001,1.046908312,6.319443747,1.9009873880000001,4.858523003,4.849719897,3.541837769,3.516032239,1.7575816419999999,2.2493612,2.562152861,43,168,224,4,4,10,289,28,6,8,152,57,19,353
437,1,0,1,0,139000000,13,10692307.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,2,2.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 135 sqm bright apartment in Keleti Károly Street at the Majláth hause (District II.), next to the Millenáris and the Széll Kálmán Square. The street facing property is situated on the 2nd floor in a nice classical style building. The flat consists of 2 rooms, a livingroom, open plan kitchen, dining area, a bathroom, a toilet, a petry and a balcony. The public transportation connections are superb so it could be a great investment or ideal home as well.",19.02706708,47.51358483,1022,2,47.51358483,19.02706708,0.6712059579999999,2.59834786,4.474544796,2.276182645,1.3673220030000002,18.86780473,1.805220457,3.1240211039999997,3.573448289,3.646072171,3.646072171,4.141570446,7.3451569160000005,3.93184432,8.160356705,2.222323678,3.8120736760000002,4.913913947,3.025902583,3.077062835,5.762227354,3.763075096,6.623747295,2.71753114,5.6260475979999995,2.355090566,3.780193203,4.2059569660000005,2.2478424930000003,7,44,30,7,1,2,105,7,0,4,34,23,2,129
