ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
2241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,115,270434.7826, Bókaytelep,-1,-1,1,not specified,0,0,0,-1,not available,0,3 room,3,0,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.43839,19.18129,47.43839,19.18129,1181,18,0.575037193,11.75327784,10.13603718,12.37796553,13.70293763,5.338770962,7.010139232,11.19636736,10.71936244,10.66256959,10.66256959,10.60999945,8.852711226,10.36190446,8.317872645,12.07828196,10.70025334,9.493562623,11.37238564,11.52706866,16.76282571,10.61387206,10.27210698,16.73074074,8.679337333,15.33877976,10.52423494,10.14346408,13.29711911,21,28,2,7,16,0,6,11,2,1,3,2,6,70,0,4,44
2242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,538,369888.4758, II/A kerület – Remetekertváros,-1,-1,1,not specified,0,0,0,-1,available,1,6 room,6,0,in good condition,0,1,0,0,0,0,luxury,0,0,1,-1,2,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion possible,1,-1,47.551865,18.95662,47.551865,18.95662,1028,2,3.688859061,9.368845822,11.07867076,8.780555237,7.586514805,25.53410222,5.700694828,9.880754313,10.35609616,10.43407942,10.43407942,10.77339882,13.51133324,10.71282037,14.32896799,9.010681397,10.53108714,11.6815923,9.726654204,9.644618181,7.386383063,10.53194614,12.42604388,4.695159274,12.41501902,6.160432591,10.56886931,10.98554335,8.245236663,30,28,0,5,24,1,6,16,0,0,4,3,1,42,0,5,220
2243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,475,503157.8947, II/A kerület – Budaliget,-1,-1,1,garden view,1,0,0,-1,-1,-1,7 room,7,0,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,3,-1,natural gas boiler,1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.56751,18.941212,47.56751,18.941212,1029,2,4.008008407,11.39636405,12.98821995,10.70007372,9.656363131,27.41235231,6.325605721,11.85741929,12.34935463,12.44637566,12.44637566,12.83548564,15.26249011,12.70321125,16.06959764,11.02326803,12.5773816,13.71261878,11.68135821,11.56208594,8.4733872,12.56149747,14.102085,6.783958311,14.41984712,7.91497525,12.57873617,13.00842608,10.32900211,7,10,1,2,3,1,6,4,0,2,0,3,1,25,0,2,111
2244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,346,202023.1214, Kossuthfalva,-1,-1,1,not specified,0,0,0,-1,-1,-1,10 room,10,0,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,2,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.439117,19.123363,47.439117,19.123363,1202,20,1.391244881,8.400974511,7.53565725,9.469511323,10.15142697,9.695516865,2.848796114,8.129967344,7.583279226,7.408566106,7.408566106,6.958043956,7.676733382,7.259157784,7.533738058,8.804953483,7.197952848,6.095279241,8.402168659,8.707810943,14.64242324,7.240098427,8.920273051,13.15528396,5.542719951,12.50678687,7.288776143,6.818211559,9.591488955,11,27,1,3,8,0,0,14,2,2,0,0,0,16,0,6,109
2245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66,57,309824.5614, Ganztelep,-1,-1,-1,not specified,0,0,0,-1,-1,-1,3 room,3,0,in medium condition,0,0,0,1,0,0,not specified,0,0,0,-1,-1,-1,other,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.429474,19.228127,47.429474,19.228127,1185,18,3.000786097,15.28015976,13.47597094,15.76079731,17.26258044,2.080727742,10.11925324,14.65267352,14.2047818,14.18018193,14.18018193,14.21663832,11.71203731,13.84553391,11.04350939,15.57930199,14.27597339,13.06362193,14.79608014,14.8988476,19.72382869,14.16165596,13.10864424,20.27789454,12.21019339,18.64122555,14.03951189,13.68709502,16.89636829,6,4,0,1,4,0,0,6,1,0,3,2,4,37,0,0,31
2246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,40,497500, Szigetvár utca,-1,-1,1,garden view,1,0,0,-1,-1,-1,1 room,1,0,renovated,0,0,1,0,0,0,full bath,0,0,0,-1,-1,-1,electric,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Villamos   3   51   52    Busz   3   51   52   119   166   ,47.44698,19.10395,47.44698,19.10395,1203,20,1.476288384,6.809242369,6.236989621,7.997806612,8.495235953,11.19337519,1.68869122,6.634221138,6.077154477,5.866111366,5.866111366,5.305049469,6.975570126,5.774404187,7.011615272,7.23022423,5.581502949,4.538351139,6.933100577,7.284236291,13.34694383,5.661951232,8.0651216,11.4837163,4.119988294,11.01459403,5.755645118,5.266235305,7.910697062,13,29,0,3,6,1,2,5,2,2,2,0,7,34,0,4,117
2247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,520,269230.7692, Csepel-Királyerdő,-1,-1,1,garden view,1,0,0,-1,available,1,3 + 8 half room,3,8,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,-1,-1,egyéb,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.40541,19.09597,47.40541,19.09597,1213,21,1.000574376,10.68778199,10.71237266,12.16219473,11.94602892,12.32498927,0.169067558,10.79801958,10.24400861,9.955579866,9.955579866,9.010285698,11.62434832,10.00180808,11.60990629,11.14718227,9.444924497,8.680845403,11.14103852,11.56433703,17.71299889,9.660063358,12.72521988,14.66710852,8.535951151,15.04773157,9.875669816,9.368136319,11.17682382,9,22,2,4,6,3,3,3,0,0,0,1,0,24,0,1,27
2248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.93,65,460461.5385, Attila utca,-1,-1,1,garden view,1,0,0,-1,-1,-1,1 + 1 half room,1,1,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,no,not specified,-1,-1,-1,-1,-1,loft conversion not possible,0, Busz   34   134    Éjszakai   923   ,47.58148,19.050291,47.58148,19.050291,1039,3,2.256228395,9.446838008,9.253887169,7.787191094,9.110631628,21.96686317,1.968741807,9.114035377,9.655795125,9.970645277,9.970645277,11.10365309,9.87603754,9.879100911,10.50315307,8.990484443,10.59302878,11.2028942,8.757384592,8.315688216,2.166617178,10.30366543,8.459357074,8.463059106,11.38828894,5.393253965,10.03474182,10.53721546,9.980617212,74,18,8,3,17,3,4,9,0,0,3,14,3,60,0,2,186
2249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,140,570714.2857, II/A kerület – Széphalom,-1,-1,1,garden view,1,0,0,-1,not available,0,4 + 1 half room,4,1,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.559986,18.959665,47.559986,18.959665,1028,2,3.101875085,9.82441489,11.37356149,9.087845942,8.137511053,25.79468295,5.228684331,10.25838677,10.75645596,10.86305099,10.86305099,11.29701106,13.65337284,11.1087404,14.46239532,9.441947071,11.02003801,12.14044434,10.07572146,9.94904249,7.072427094,10.98947753,12.5057763,5.365961586,12.83068344,6.30055236,10.99388401,11.43112181,8.846150113,20,20,0,4,17,1,6,16,0,0,2,2,0,30,0,5,145
2250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,720000, Kálvária tér,-1,-1,1,garden view,1,0,0,-1,available,1,1 + 2 half room,1,2,renovated,0,0,1,0,0,0,full bath,0,0,0,-1,1,-1,combination boiler,0,0,1,0,no,together,0,1,-1,-1,-1,loft conversion possible,1, Villamos   4   6   24   24G   28   28A   37   37A   62    Busz   217E   9   99    Éjszakai   909    Troli   83   ,47.488155,19.086939,47.488155,19.086939,1089,8,0.431625974,2.877140168,1.490933398,3.432123788,4.908325545,13.59550703,1.730001968,2.200679376,1.749632785,1.785610742,1.785610742,2.467763361,3.594394653,1.391198285,4.153989665,3.129816977,2.191632977,1.284264092,2.38992796,2.624118261,8.59392682,1.899041567,4.033908367,7.861670393,0.711754266,6.462290377,1.643906585,1.461494175,4.745435999,362,141,5,69,108,16,38,46,3,3,124,108,16,195,1,12,489
