ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Fuel,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
355,1,0,0,464,46,10.08695652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Egressy út,"
                2 rooms                            ",2,0,Brick Apartment,1,0,927,31,49,"Furnished, IKEA, KIKA",1,0,0,0,4,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-1,1,-1,-1,-1,-1,Széll Kálmán square,"4, 6 trams, Metro 3 blue, Metro 2 red						",,47.514724,19.120052,47.514724,19.120052,1149,14,176,117,6,36,78,10,14,31,9,5,30,35,20,9,458,0,33,297
356,1,0,0,556,54,10.2962963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fiath János utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,1113,46,53,"Empty, equipped",0,1,0,1,Half ground floor,-1,"Street, sunny",0,0,0,0,0,0,0,0,0,1,0,1,0,0,At least one year,-1,1,Yes,-1,-1,-1,"Deák square, Near Danube",Metro 1 historic line						,"Budapesti Gazdasági Főiskola - BGF ( 1.016 km )Budapesti Gazdasági Főiskola - BGF PSZFK ( 1.058 km )Budapesti Kommunikációs Főiskola - BKF ( 1.751 km )Evangélikus Hittudományi Egyetem - EHE ( 1.589 km )Pünkösdi Teológiai Főiskola - PTF ( 0.763 km )Szent István Egyetem - SZIE-YMÉK ( 1.395 km )Zrínyi Miklós Nemzetvédelmi Egyetem - ZMNE ( 1.430 km )Zrínyi Miklós Nemzetvédelmi Egyetem - ZMNE BKMFK ZMNE BKMK ( 1.430 km )Zrínyi Miklós Nemzetvédelmi Egyetem - ZMNE-KHK ( 1.430 km )

                    More
                    



",47.5064703,19.0294458,47.5064703,19.0294458,1015,1,1217,161,11,256,178,110,82,71,14,22,251,420,18,14,445,6,24,1867
357,1,0,0,479,52,9.211538462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Szugló utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,958,31,49,"Empty, equipped",0,1,0,1,Ground floor,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,At least one year,-1,1,-1,-1,-1,"The property is located in the Paskal Park. When you enter the ground floor flat, from the entrance hall opens to the toilet, the bathroom, the bedroom, and the American kitchen with the living room. From the living room you can go out to the terrace, which has a direct access to the garden with a well-kept, closed park. The utility costs are accounted for by individual meters. The flat costs are approx. 16 eFt per month.","Andrássy street, Nyugati square",Metro 2 red,"Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 0.429 km )Semmelweis Egyetem - SE TSK ( 0.202 km )
",47.5194844,19.1185811,47.5194844,19.1185811,1141,14,175,108,6,40,84,11,14,29,9,5,29,34,19,9,381,0,36,328
358,1,0,0,680,70,9.714285713999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tóth Kálmán utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,1360,46,46,"Partly furnished, equipped",0,1,1,0,5,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,At least one year,Yes,-1,-1,-1,-1, ,Városliget,"4, 6 trams, 47, 49 trams, Metro 1 historic line, Metro 3 blue, Metro 2 red						","Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.841 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.960 km )Budapesti Műszaki Főiskola - BMF KGK ( 1.524 km )Eötvös Loránd Tudományegyetem - ELTE IK ( 1.536 km )Eötvös Loránd Tudományegyetem - ELTE TÁTK ( 1.536 km )Eötvös Loránd Tudományegyetem - ELTE TTK ( 1.536 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.895 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.678 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 1.066 km )Semmelweis Egyetem - SE ( 1.572 km )Semmelweis Egyetem - SE ÁOK ( 1.572 km )Semmelweis Egyetem - SE FOK ( 1.572 km )Semmelweis Egyetem - SE GYTK ( 1.572 km )Wesley János Lelkészképző Főiskola - WJLF ( 1.489 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 0.911 km )

                    More
                    



",47.4736678,19.074989,47.4736678,19.074989,1097,9,811,226,17,123,146,37,81,68,8,3,220,285,12,8,457,2,24,1575
359,1,0,0,526,75,7.013333332999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Besnyői utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,1051,68,56,"Empty, equipped",0,1,0,1,3,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,At least one year,Yes,-1,-1,-1,1,www.renthungary.hu,Városliget,"4, 6 trams, Metro 3 blue","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.039 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.770 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.770 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.770 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.726 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.419 km )Budapesti Műszaki Főiskola - BMF BGK ( 0.334 km )Budapesti Műszaki Főiskola - BMF KGK ( 0.561 km )Baptista Teológiai Akadémia - BTA ( 1.726 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.433 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.433 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.216 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.050 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 0.736 km )Károli Gáspár Református Egyetem - KRE ( 1.341 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.088 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.433 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.221 km )McDaniel College - MCDC ( 0.903 km )Magyar Képzőművészeti Egyetem - MKE ( 1.465 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 0.542 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.920 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.593 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 1.019 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.921 km )Semmelweis Egyetem - SE ( 1.194 km )Semmelweis Egyetem - SE ÁOK ( 1.194 km )Semmelweis Egyetem - SE EFK ( 0.768 km )Semmelweis Egyetem - SE FOK ( 1.194 km )Semmelweis Egyetem - SE GYTK ( 1.194 km )Színház- és Filmművészeti Egyetem - SZFE ( 0.782 km )Szent István Egyetem - SZIE ÁOTK ( 0.837 km )Szent István Egyetem - SZIE-YMÉK ( 1.854 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.819 km )Wesley János Lelkészképző Főiskola - WJLF ( 0.685 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.179 km )

                    More
                    



",47.5036971,19.106804500000006,47.5036971,19.106804500000006,1143,14,271,118,9,67,100,21,26,41,10,5,63,82,28,10,485,1,27,562
360,1,0,0,464,44,10.54545455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Róbert Károly körút,"
                2 rooms                            ",2,0,Brick Apartment,1,0,927,62,40,"Empty, equipped",0,1,0,1,3,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,1,1,-1,-1,www.renthungary.hu,"Blaha Lujza square, Inside Nagykörút",Metro 2 red,"Baptista Teológiai Akadémia - BTA ( 1.982 km )Harsányi János Főiskola - HJF ( 1.606 km )
",47.5299978,19.0706616,47.5299978,19.0706616,1134,13,447,139,6,105,127,42,38,47,14,11,130,271,17,14,331,2,59,1006
361,1,0,0,924,89,10.38202247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Sashegyi út,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1849,124,68,"Furnished, equipped",1,1,0,0,2,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,-1,1,-1,-1,"Exclusive panoramic view from Sashegy

Would you like to enjoy the close proximity of the city center as well as the panoramic view from the Buda Hills? You have found the appartment which offers both at the same time.

The house was planned and built by István Szabó (Ybl award contructeur) in 1969 and it is in good condition. The 89 sqm appartment surrounded by a 60 sqm panoramic terrace is on the top floor and offered for RENT together with a garage and a storage.

You will have panoramic view to:
-	The Citadelle,
-	The Matthias Church int he Castle
-	The building of Hungarian Parliament
-	the natural heritage of the Sashegy

Further advantages of the appartment:
-	Top floor (2nd)
-	60 sqm panoramic terrace
-	2 large separate rooms (32 and 35 sqm)
-	more than 3 meters high ceiling in the bedroom
-	Lots of storage space
-	Garáage and separate storage ont he ground floor
-	outstanding location easy to reach by car and public transportation (bus Nr 8 brings you to Astoria in just 8 minutes)
-	Parking is free of charge in front of the house
-	MOM Park and Hegyvidék Shopping Center in just 5 Minutes from the house
-	Spacious, furnished brite, freshly painted 
-	You may rent the flat immediately, minimum rental is for 1 year. Contracting condition: payment of minimum 2 months caution money plus 1 month rental fee.

To make an appointment please call me on my above mobile number.

Guiding price: HUF 299.000 / month including usage of the garage and storage
",Near Danube,"4, 6 trams, Metro 3 blue						","Harsányi János Főiskola - HJF ( 0.661 km )Magyar Táncművészeti Főiskola - MTF ( 1.757 km )
",47.4857173,19.016576,47.4857173,19.016576,1124,12,296,144,7,59,113,45,29,50,8,4,116,141,20,8,533,0,26,1705
362,1,0,0,495,56,8.839285713999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horánszky utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,989,77,46,"Furnished, equipped",1,1,0,0,2,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,At least one year,-1,-1,-1,-1,-1,"In the heart of the palace, in Horánszky Street you can rent an individually restored, 2 floor, bright, 2pcs special-room and a cozy apartment with a separate bedroom. The apartment is furnished and mechanized. Ready to use, can be moved immediately! 
Transport is excellent thanks to its central location! M2, M3, M4 Metro, numerous trams (4-6, 47, 49 etc) and bus (5, 7, 9 etc.) stops a few minutes walk. 
We are waiting for demanding tenants for themselves and their environment! Smoking and pet keeping are not allowed! 2 monthly deposit can be rented for 1 year.",Near Danube,"4, 6 trams, Metro 3 blue						",,47.4929953,19.0675842,47.4929953,19.0675842,1088,8,1945,318,32,348,209,112,146,113,15,13,338,579,21,15,483,5,36,2263
363,1,0,0,600,50,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dózsa György út,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,1200,37,37,"Furnished, equipped",1,1,0,0,1,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,At least one year,-1,1,-1,-1,-1,"For long term rental a beautiful 50 sqm studio - duplex with PARKING possibility is available in the DIPLOMATIC quarter next to the Heros' square / City park.       
The flat is spacious, quiet and bright - thanks to modern, well-insulated doors and windows and has a great view, a nice PANORAMA!      
Tastefully furnished in a youthful style, equipped with NEW, modern, high quality machines (dishwasher, washing machine, fridge, electric cooker with oven, micro, television).      
Central heating - low cost for utilities.      
FREE PARKING!      
Excellent location and transportation:      
City Park with it's museums, Zoo, Szechenyi Bath, restaurants, the UNESCO World Heritage Andrassy Avenue is few steps away.       
Metro: M1, trolley: 72, 75, 79, bus:, night buses.      
MINIMUM 1 year rental.      
Rental fee: 600 EUR + common costs and utilities ~ 100 EUR.      
Two months deposit, current month rent to move immediately.         
Minimum 1 year rental.            
I am looking forward to find your cozy place and make your experience even better in my wonderful city. Should you have any question please don't hesitate to contact me - I speak English, French and German as well :)",Near Danube,"4, 6 trams, Metro 3 blue",,47.5148954,19.0765654,47.5148954,19.0765654,1068,6,1340,187,13,239,196,77,105,67,20,20,159,408,24,20,378,6,48,1250
364,1,0,0,600,71,8.450704225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bokréta utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1200,99,71,"Furnished, equipped",1,1,0,0,1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,"From January for long term a bright, quiet, 71m2, 1-bedroom apartment with balcony is available.    
It is located on the first floor of a nice, well maintained modern building in 9th district, Bokréta u.    
The house has two inner garden which gives a special atmosphere to the inhabitants    
Ideal layout: kitchen - dining area - living room / all function are separeted, spacious bedroom, separate bath (tub) and toilet.    
Do you have lots of stuff? - no problem! There is a huge built-in warderobe :)    
Living room and bedroom has access to the lovely balcony.    
The apartment is renovated, modern and youthfull furnished and equipped, has AC, Tv, washing machine, fridge, stove, owen, micro, vacuumcleaner, etc.    
Great location, excellent transportation - near to Klinikak / Corvin metro station (M3) and 4-6 tram.    
The apartment is ideal for couples and singles.    

Rental fee: 600 EUR/month    
The total utilities cost is max 180 EUR/month, which includes unlimited water consumption, a central heating, electricity and gas.    
No pets, no smoking.    
Minimum 1 year.",Városliget,Metro 3 blue,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.602 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.280 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.280 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.280 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.234 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.535 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.683 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.683 km )Budapesti Műszaki Főiskola - BMF BGK ( 0.353 km )Budapesti Műszaki Főiskola - BMF KGK ( 0.510 km )Eötvös Loránd Tudományegyetem - ELTE ( 0.982 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 0.982 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 0.841 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.884 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.111 km )Közép-Európai Egyetem - KEE ( 1.874 km )Károli Gáspár Református Egyetem - KRE ( 0.858 km )Károli Gáspár Református Egyetem - KRE BTK ( 0.597 km )Károli Gáspár Református Egyetem - KRE HTK ( 0.946 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.279 km )McDaniel College - MCDC ( 1.353 km )Magyar Képzőművészeti Egyetem - MKE ( 1.656 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 0.133 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.455 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.146 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 0.886 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.466 km )Semmelweis Egyetem - SE ( 0.719 km )Semmelweis Egyetem - SE ÁOK ( 0.719 km )Semmelweis Egyetem - SE EFK ( 0.381 km )Semmelweis Egyetem - SE FOK ( 0.719 km )Semmelweis Egyetem - SE GYTK ( 0.719 km )Színház- és Filmművészeti Egyetem - SZFE ( 0.519 km )Szent István Egyetem - SZIE ÁOTK ( 1.262 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.428 km )Wesley János Lelkészképző Főiskola - WJLF ( 0.809 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.064 km )Central European University - CEU ( 1.874 km )

                    More
                    



",47.4815394,19.0744785,47.4815394,19.0744785,1094,9,1348,253,22,249,178,81,124,97,9,8,270,428,21,9,470,2,28,2002
