ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21
290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,103,3689.320388, Kőszeg utca,-1,-1,-1,not specified,0,0,0,-1,-1,-1,-1,4 room,4,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,0,-1,-1,not specified,0,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   45   131   144   174   231   244    Éjszakai   907    Troli   82   81   80   ,47.50768,19.13944,47.50768,19.13944,1144,14,3.1109923085373885,6.780315052994197,4.234279628307752,6.189916991135794,8.653157306359063,11.441941043266914,6.121710338043305,5.769936961668409,5.6711995551861145,5.921787837860174,5.921787837860174,6.935560720208729,1.1209770674651236,5.421112030631009,0.3494943202175335,6.794296915008423,6.569238300912738,5.7838478102180995,5.660295936507601,5.437174267502696,8.828854598197397,6.192934977598451,2.241273767756677,11.180467230782307,4.974849231323183,8.420186371397497,5.809123296088363,5.853469346321747,8.795072189445388
291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215000,67,3208.955224, Ferenc utca,-1,-1,1,garden view,1,0,0,-1,-1,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,1,-1,natural gas (convector),1,0,0,0,0,yes,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   31   46   130   131   144   146   175   7G    Éjszakai   931   996   996A   ,47.53397,19.17394,47.53397,19.17394,1162,16,4.244230038775543,10.148689539509872,7.674422305770006,9.109579685177662,11.783942927165068,12.128322979060966,9.420593972277013,9.115309277264103,9.162518205535566,9.470346766202926,9.470346766202926,10.625844403492964,4.691216128937082,8.98015556459925,4.226926813414341,10.047125915278222,10.198147861980553,9.565632600615203,8.907466595892926,8.546989880675639,9.540997569129802,9.793098884457702,4.731105223257927,13.857558185134248,8.822861451592516,10.475921474720375,9.379067170222601,9.521855143091344,12.109652104119933
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,280,1607.142857, Ásó utca,-1,-1,-1,not specified,0,0,0,-1,-1,-1,-1,4 room,4,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,0,-1,-1,not specified,0,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   34   134    Éjszakai   934   ,47.59182,19.05786,47.59182,19.05786,1039,3,2.10918078152641,10.610150912181805,10.241725331974788,8.919625556949194,10.359191059884894,22.43724819671412,2.8332926425413536,10.218606351333683,10.749660766860172,11.076856455965814,11.076856455965814,12.247707653968925,10.56381310857239,10.95377602157237,11.131570218001281,10.159049748117242,11.727395606146331,12.27667646828482,9.85529427372651,9.395091627852079,3.3132825592147332,11.42136862388086,9.145255037342242,9.740428543826248,12.402418005253274,6.646854531274566,11.132925549958742,11.629923637134146,11.224202119388396
293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,87,3103.448276, Völgy utca,-1,-1,1,not specified,0,0,0,-1,-1,-1,-1,3 + 1 half room,3,1,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,1,2,-1,combination boiler,0,0,1,0,0,-1,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   56   56A   59B   61    Busz   29    Éjszakai   956   ,47.533794,18.978731,47.533794,18.978731,1021,2,3.0251164464158196,6.81109914424235,8.676591719170887,6.39015697540503,4.984928174502826,23.119764753086816,4.666703219975479,7.390561893932746,7.839840104692448,7.892197146526175,7.892197146526175,8.175829485253404,11.31372116845219,8.198743154444507,12.137816125822797,6.47459494088857,7.948568668451147,9.113874498265686,7.269962358281555,7.245605082789807,6.460507598570583,7.968308411832831,10.352105990855707,2.120975213416743,9.876467888054108,4.179337989251967,8.029639054287028,8.428782230714818,5.640367270592036
294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,75,2000.0, Ódry utca,-1,-1,1,street view,0,0,1,-1,-1,not available,0,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,-1,-1,combination boiler,0,0,1,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   120   121   ,47.55543,19.10584,47.55543,19.10584,1045,4,1.3998576705390071,7.7487984471488645,6.230864016566889,6.0880204846639945,8.560567559640104,17.022788264696878,5.167566259997256,6.935997235312264,7.317730215239853,7.692583290905455,7.692583290905455,9.028716738338353,5.44126259162743,7.367153129793372,5.880858461345043,7.414008531870497,8.482961874476073,8.552496503060436,6.580288971267649,6.067807481491615,3.970860853548368,8.082010654415466,4.092636722982268,9.626965221430765,8.325680892327554,5.859910913190355,7.6848718668233795,8.090021151581615,9.219514169454193
295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,105,4095.238095, Talaj utca,-1,-1,1,panoramic,0,1,0,-1,-1,not available,0,3 + 1 half room,3,1,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,0,3,-1,gáz (cirko),1,0,0,0,0,yes,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   59   59A   59B    Busz   53   8E    Éjszakai   908   ,47.4799,18.99898,47.4799,18.99898,1112,11,2.0842145553962617,4.30358016285233,6.809568795281578,5.619726608827302,3.070201103012726,19.588572426716187,4.874948406479363,5.336377229095131,5.333575303494053,5.074431811896317,5.074431811896317,4.253971652021636,9.942141869703326,5.5748812733560325,10.649602759073842,4.446873015707475,4.4849429273595876,5.537339842549402,5.5589968369633205,5.967684621946137,10.03105029185755,4.824210919537226,9.738842636385765,4.130398404129051,6.4967340740016715,6.5957427455545,5.190051907296057,5.217997156951408,2.425701023960713
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000,10,28000.0, Ilosvai Selymes utca,-1,-1,1,not specified,0,0,0,-1,-1,-1,-1,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,-1,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   69   62   62A    Busz   5    Éjszakai   973   ,47.52851,19.11098,47.52851,19.11098,1147,14,0.20034374770299618,5.757173962252409,3.6389064004775986,4.452389044310905,7.152166860283956,14.583414640041115,4.709087598414742,4.772797361121196,4.994008185600499,5.355870951047921,5.355870951047921,6.667916689071647,2.482052416571767,4.932992349249728,3.058239313395237,5.555697080169657,6.15411642637092,5.933981985928726,4.484992929988975,4.038701311696922,5.689003939687527,5.732631053228777,1.0829923007550981,9.092269779379636,5.534098136962966,5.784013073235726,5.307084779940252,5.61420358428562,7.5897134802666235
297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290000,450,2866.666667, Üdülő út,-1,-1,1,garden view,1,0,0,-1,-1,available,1,6 room,6,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,2,-1,not specified,0,0,0,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.53045,18.94483,47.53045,18.94483,1021,2,5.493013955064646,8.80091456422369,10.928069534536727,8.696727649498527,6.8072546099357885,25.25933330725802,7.2167999141097745,9.531776759833557,9.91744968322095,9.903597174318588,9.903597174318588,9.92656562625183,13.720550195247531,10.273933609099505,14.543529579368727,8.538035872009608,9.806190649940849,11.013873938841249,9.47088965561634,9.524759623858124,8.91040958926937,9.907702262675508,12.830642907988864,3.802156604948198,11.860597774781509,6.737167933649813,10.045507635495875,10.382500090510002,7.246843100446694
298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,50,2400.0, Batthyány utca,-1,-1,1,street view,0,0,1,-1,-1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,0,1,-1,combination boiler,0,0,1,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   194   194B   68   199    Éjszakai   948   999   ,47.4478,19.136103,47.4478,19.136103,1196,19,1.8458128064262003,8.399611550859722,7.137851901916221,9.24491173303325,10.282539234393049,8.796095448580026,4.036053408550809,7.9680402800154395,7.450852134756394,7.339280189386889,7.339280189386889,7.133513785625557,6.766833850749045,7.103816443202599,6.5159368461496046,8.762503597880228,7.275928541491812,6.093369682954462,8.194684539523427,8.430943000252183,14.135730263637928,7.238826562598523,8.090660141446248,13.31402088773114,5.37258790862453,12.273806018395437,7.207304577511232,6.782332593340872,9.82005182598776
299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904988,240,3770.783333, Hangya utca,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,5 room,5,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,3,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   110   112   ,47.496502,18.996538,47.496502,18.996538,1121,12,2.8768282788895645,4.069265024506359,6.581164983883824,4.85858363370604,2.178647226736133,20.272715682319934,4.53761104733149,5.043492922467079,5.235173851494149,5.0881681336823785,5.0881681336823785,4.728476560046165,9.701624375459378,5.552047481219327,10.47372117941964,4.0121104509488825,4.746071344332494,5.942920749675576,5.15098113454805,5.4377030378157265,8.473723354468607,4.964305794343416,9.238450311540612,2.27841362815793,6.871782187327545,5.063124848151198,5.225774448839367,5.427495004242072,2.1108030900892456
