Id,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF),Price per sqm (HUF),Street,Size(sqm),Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
1762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193926,3232.1, Kurucles,60,1,-1,1,garden view,1,0,0,not available,0,-1,-1,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,0,2,not specified,combination boiler,0,0,1,0,0,no,together,0,1,not specified,0,0,0,0,0,0,0,0,no,-1,no loft conversion,-1,47.523075,18.97413,47.523075,18.97413,1021,2,0,6,0,0,18,2,0,6,0,2,0,0,0,25,0,2,36
1763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161605,3591.222222, Kurucles,45,ground floor,-1,1,garden view,1,0,0,not available,0,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,0,2,not specified,combination boiler,0,0,1,0,0,no,together,0,1,not specified,0,0,0,0,0,0,0,0,yes,-1,no loft conversion,-1,47.523075,18.97413,47.523075,18.97413,1021,2,0,6,0,0,18,2,0,6,0,2,0,0,0,25,0,2,36
1764,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291000,5705.882353, Deák Ferenc utca,51,5,-1,-1,street view,0,0,1,available,1,-1,-1,1 + 1 half room,1,1,mint,0,0,0,0,0,1,not specified,0,0,0,not specified,0,not specified,3 m or more,central heating,0,0,0,0,1,not specified,not specified,-1,-1,North,1,0,0,0,0,0,0,0,not specified,-1,no loft conversion, Villamos   2   47   47B   48   49    Metró   M1   M2   M3    Busz   9   15   16   105   115    Éjszakai   909   914   914A   916   931   950   950A   979   979A   990    Hajó   D11   ,47.496567,19.052387,47.496567,19.052387,1052,5,559,34,8,100,24,50,37,28,0,6,40,146,2,57,1,4,433
1765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,2816.901408, Bródy Sándor utca,142,2,-1,1,panoramic,0,1,0,available,1,available,1,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,0,not specified,3 m or more,combination boiler,0,0,1,0,0,no,separate,1,0,not specified,0,0,0,0,0,0,0,0,not specified,-1,no loft conversion, Villamos   47   49   47B   48    Metró   M2   M3    Busz   108E   5   9   15   115   133E   7   110   112   178   8E    Éjszakai   914A   909   950   950A   914   979A   979   973   956   990   908   907   931   916    Troli   74   ,47.4926,19.06458,47.4926,19.06458,1088,8,622,95,10,106,54,32,33,30,3,3,142,157,0,60,1,6,638
1766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,4418.604651, Pozsonyi út,86,4,-1,1,panoramic,0,1,0,available,1,available,1,3 room,3,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,not specified,0,6,3 m or more,combination boiler,0,0,1,0,0,yes,separate and together too,1,0,not specified,0,0,0,0,0,0,0,0,not specified,-1,no loft conversion, Busz   15   115    Troli   75   76    Hajó   D11   ,47.516914,19.050585,47.516914,19.050585,1137,13,168,12,0,34,24,16,10,5,6,2,22,97,4,58,2,3,157
1767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,3037.974684, Belváros,79,3,-1,1,garden view,1,0,0,available,1,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,1,4,3 m or more,combination boiler,0,0,1,0,0,yes,separate,1,0,East,0,0,1,0,0,0,0,0,no,-1,no loft conversion,-1,47.49175,19.054825,47.49175,19.054825,1056,5,471,55,9,105,26,50,24,27,1,6,84,154,2,43,0,4,582
1768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,2727.272727, Kútvölgy,55,mezzanine floor,-1,1,garden view,1,0,0,not available,0,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,0,3,less than 3 m,combination boiler,0,0,1,0,0,no,separate,1,0,Southwest,0,0,0,0,0,0,1,0,no,8 sqm,no loft conversion,-1,47.509247,18.99093,47.509247,18.99093,1125,12,3,9,0,0,3,0,2,2,0,0,0,0,0,8,0,3,39
1769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246286,4925.72, Lechner Ödön fasor 1,50,1,-1,1,not specified,0,0,0,available,1,available,1,2 room,2,0,mint,0,0,0,0,0,1,luxury,0,0,1,not specified,1,not specified,less than 3 m,central heating (metered),0,0,0,0,1,yes,separate,1,0,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Villamos   2   24G   4   6   24   37   37A   51   51A    Hév   H7    Busz   6   15   23   54   55   115   212   23E   H6    Éjszakai   918   923   979   979A    Hajó   D11   ,47.477886,19.068096,47.477886,19.068096,1095,9,132,41,1,29,23,5,7,13,2,2,41,42,1,56,0,2,254
1770,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565000,2783.251232, Mártonhegyi út,203,not specified,-1,1,garden view,1,0,0,not specified,-1,available,1,4 + 2 half room,4,2,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,1,2,not specified,combination boiler,0,0,1,0,0,not specified,separate and together too,1,0,not specified,0,0,0,0,0,0,0,0,yes,8 sqm,not specified, Busz   102   110   112    Éjszakai   990   ,47.490894,18.998783,47.490894,18.998783,1121,12,5,9,0,0,1,0,0,1,0,0,0,0,1,16,0,1,27
1771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,3296.703297, Tátra utca,91,2,-1,1,street view,0,0,1,available,1,available,1,2 + 1 half room,2,1,renovated,0,0,1,0,0,0,double comfort,1,0,0,A+,1,4,less than 3 m,not specified,0,0,0,0,0,no,separate,1,0,Southeast,0,0,0,0,0,0,0,1,no,3 sqm,no loft conversion, Busz   15   115    Troli   75   76   ,47.5169,19.05317,47.5169,19.05317,1136,13,172,18,1,40,28,18,11,5,6,2,24,103,4,56,2,4,156
