,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
4174,17.73037714,1,0,3.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,1,19.033304,47.509167,4174,1
4175,17.46173506,1,0,3.0,2.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.02684,47.52395,4175,1
4176,11.2,1,0,5.0,1.0,0.0,0.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.00613,47.496105,4176,4
4182,12.42718447,1,0,4.0,3.0,0.0,0.0,0,0,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.0322,47.541000000000004,4182,5
4189,7.384615385,1,0,3.0,1.0,1.0,0.0,0,1,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.03187,47.487359999999995,4189,7
4194,11.22077922,1,0,1.0,4.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,1.0,0.0,0.0,0.0,0,19.05184,47.49453,4194,5
4198,12.16790588,1,0,3.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.012999999999998,47.49726,4198,4
4203,6.309859155,1,0,2.0,5.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0,19.090897000000002,47.557987,4203,0
4209,11.73333333,1,0,3.0,1.0,0.0,1.0,0,1,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.05801,47.50375,4209,4
4210,6.72,1,0,3.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.94549,47.55038,4210,7
4211,13.71428571,1,0,1.0,2.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.10912,47.50246,4211,8
4216,16.0,1,0,1.0,3.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.05884,47.52864,4216,8
4218,10.10526316,1,0,1.0,6.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.05684,47.49757,4218,3
4221,6.857142857,1,0,2.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.078625,47.496390000000005,4221,7
4223,11.80952381,1,0,1.0,4.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.050620000000002,47.49907,4223,5
4227,23.43307087,1,0,4.0,1.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.04879,47.49776,4227,2
4228,14.28571429,1,0,1.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.133963,47.5152,4228,8
4230,12.06650667,1,0,3.0,3.0,1.0,1.0,1,0,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,18.995376999999998,47.527733000000005,4230,5
4235,10.66666667,1,0,4.0,1.0,0.0,1.0,0,1,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.05801,47.50375,4235,4
4236,10.95890411,1,0,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.072647,47.476574,4236,5
4237,11.11111111,1,0,3.0,2.0,0.0,0.0,0,1,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.073603,47.476276,4237,4
4240,10.46153846,1,0,2.0,8.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07299,47.53614,4240,3
4244,9.244444443999999,1,0,4.0,1.0,0.0,1.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.06733,47.51175,4244,7
4252,16.1605,1,0,3.0,1.0,0.0,0.0,1,0,1.0,1.0,1.0,0,1,0,0,0.0,0.0,1.0,0.0,0,18.969607999999997,47.52283,4252,8
4253,11.20461333,1,0,4.0,2.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.003485,47.521687,4253,4
4259,10.33846154,1,0,4.0,1.0,0.0,0.0,1,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,18.995279999999998,47.481487,4259,4
4267,10.66666667,1,0,4.0,1.0,0.0,0.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.010189999999998,47.523179999999996,4267,4
4269,9.212121212000001,1,0,3.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.012999999999998,47.49726,4269,7
4281,10.05714286,1,0,1.0,4.0,0.0,0.0,0,0,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.107092,47.528645000000004,4281,0
4283,6.063157895,1,0,1.0,0.0,0.0,1.0,0,0,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.145334,47.456882,4283,7
4286,12.34285714,1,0,3.0,8.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.059642999999998,47.523070000000004,4286,3
4295,19.46864941,1,0,3.0,4.0,0.0,0.0,0,1,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.054825,47.49175,4295,1
4309,19.71809524,1,0,3.0,4.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.064728,47.49814,4309,1
4310,14.32615385,1,0,1.0,4.0,2.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07734,47.481970000000004,4310,5
4311,10.34272,1,0,5.0,1.0,1.0,0.0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.99766,47.52017,4311,4
4317,10.18181818,1,0,2.0,5.0,2.0,0.0,1,0,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.06214,47.48364,4317,0
4322,9.674418605,1,0,1.0,4.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.078020000000002,47.52863,4322,0
4323,21.54733333,1,0,3.0,8.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.068441,47.47696,4323,6
4326,12.9284,1,0,2.0,6.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.068441,47.47696,4326,5
4333,9.411764706,1,0,3.0,3.0,1.0,0.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.0346,47.49629,4333,0
4337,13.6,1,0,1.0,2.0,1.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.996679999999998,47.446979999999996,4337,8
4340,9.846153846,1,0,1.0,9.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.05305,47.51507,4340,3
4341,11.63636364,1,0,2.0,1.0,1.0,1.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.040879999999998,47.48894,4341,4
4345,11.42857143,1,0,2.0,3.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,1.0,0.0,0.0,0.0,1,19.058308,47.47651,4345,4
4347,13.66019623,1,0,2.0,4.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.068192,47.50501,4347,5
4348,12.48,1,0,3.0,1.0,1.0,0.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.00613,47.496105,4348,4
4355,19.0,1,0,3.0,3.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07679,47.48577,4355,1
4356,17.56310943,1,0,3.0,5.0,0.0,1.0,0,0,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.074676999999998,47.512787,4356,6
4357,11.88571429,1,0,1.0,2.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,1,19.050585,47.516914,4357,4
4359,14.86222222,1,0,2.0,2.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.075687,47.480656,4359,8
4360,13.93333333,1,0,2.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07534,47.48007,4360,5
4362,10.08695652,1,0,2.0,2.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.10794,47.49349,4362,4
4365,14.22978723,1,0,2.0,5.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.072142000000003,47.514759999999995,4365,5
4366,18.52427463,1,0,4.0,3.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,18.973083,47.53856,4366,1
4372,7.563636364,1,0,2.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,18.99501,47.47218,4372,7
4374,9.454545455,1,0,3.0,2.0,1.0,0.0,1,0,1.0,0.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.01018,47.51635,4374,7
4389,22.16297143,1,0,5.0,3.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,18.969607999999997,47.52283,4389,1
4390,24.1509434,1,0,2.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.01665,47.4885,4390,2
4394,11.2,1,0,5.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0027,47.497066,4394,4
4396,14.32068923,1,0,2.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.035079999999997,47.495020000000004,4396,8
4398,30.6450963,1,0,3.0,3.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.054825,47.49175,4398,2
4401,10.90909091,1,0,1.0,3.0,1.0,0.0,0,1,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.037853,47.540409999999994,4401,0
4404,23.3442623,1,0,2.0,2.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.034729000000002,47.504020000000004,4404,2
4408,14.77531429,1,0,5.0,3.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.967394,47.52366,4408,8
4412,14.77531429,1,0,1.0,4.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.063519,47.498585,4412,5
4413,22.16297143,1,0,5.0,3.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.967394,47.52366,4413,1
4416,11.904000000000002,1,0,2.0,5.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.06234,47.49861,4416,5
4423,1.6,1,0,4.0,1.0,0.0,0.0,1,0,1.0,0.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,18.984434,47.508255,4423,7
4424,12.411264,1,0,2.0,1.0,0.0,1.0,0,1,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.075470000000003,47.51566,4424,4
4425,12.9284,1,0,3.0,2.0,0.0,0.0,0,1,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.03218,47.513729999999995,4425,4
4427,10.92682927,1,0,3.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.003159,47.473568,4427,4
4428,6.444444444,1,0,2.0,3.0,0.0,1.0,0,1,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.074827,47.53865,4428,7
4430,18.46914286,1,0,1.0,3.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.05885,47.49539,4430,1
4432,12.55901714,1,0,3.0,3.0,0.0,1.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0234,47.55061,4432,5
4433,10.33333333,1,0,2.0,1.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.10794,47.49349,4433,4
4434,9.263157895,1,0,1.0,4.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.072167999999998,47.519966,4434,0
4436,11.10204082,1,0,3.0,1.0,0.0,0.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.02635,47.55019,4436,4
4437,14.57777778,1,0,2.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07637,47.48641,4437,5
4440,22.98382222,1,0,1.0,6.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.050585,47.516914,4440,2
4445,12.85714286,1,0,2.0,0.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,18.999105,47.52043,4445,4
4454,19.10447761,1,0,3.0,2.0,0.0,1.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.05272,47.50156,4454,1
4457,15.26605505,1,0,4.0,1.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.967394,47.52366,4457,8
4461,12.0,1,0,2.0,5.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.075253,47.54793,4461,5
4463,20.96497297,1,0,2.0,1.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.023384,47.517258,4463,1
4464,13.62162162,1,0,4.0,2.0,0.0,0.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.031660000000002,47.52435,4464,8
4468,13.1008,1,0,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07207,47.51381,4468,5
4498,14.93333333,1,0,1.0,2.0,0.0,1.0,1,0,1.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0,18.99267,47.510459999999995,4498,8
4504,10.7505618,1,0,2.0,2.0,0.0,1.0,1,0,1.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.01334,47.4866,4504,4
4506,17.02766829,1,0,3.0,1.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.05732,47.50724,4506,8
4508,9.739130435,1,0,2.0,0.5,0.0,1.0,0,1,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.1112,47.55518,4508,7
4509,13.79029333,1,0,3.0,1.0,0.0,1.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.003485,47.521687,4509,8
4510,6.044444444,1,0,2.0,1.0,1.0,0.0,0,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.136864000000003,47.52348,4510,7
4515,13.79029333,1,0,2.0,6.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,18.96545,47.522614000000004,4515,5
4517,10.34272,1,0,4.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.003485,47.521687,4517,4
4518,9.944935385,1,0,3.0,4.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.056707,47.528079999999996,4518,0
4526,14.22124,1,0,4.0,1.0,0.0,0.0,1,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.028392999999998,47.52432,4526,8
4529,11.40594059,1,0,3.0,2.0,0.0,0.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.034010000000002,47.5226,4529,4
4530,8.150943396,1,0,1.0,8.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,19.059952,47.522040000000004,4530,3
4531,10.21276596,1,0,1.0,2.0,1.0,0.0,0,0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,1,19.12504,47.50882,4531,4
4533,8.64,1,0,3.0,1.0,0.0,0.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.045347,47.482227,4533,7
4541,9.056603774,1,0,2.0,2.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,1,19.015911,47.45986,4541,7
4550,7.8,1,0,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.062739999999998,47.528137,4550,0
4551,8.762739726,1,0,2.0,1.0,1.0,0.0,0,1,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.074920000000002,47.486618,4551,7
4556,10.07407407,1,0,3.0,1.0,0.0,1.0,0,0,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.10758,47.52695,4556,4
4557,10.54117647,1,0,2.0,3.0,2.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.052310000000002,47.51189,4557,0
4561,11.07692308,1,0,2.0,3.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.090073,47.534290000000006,4561,4
4569,10.91764706,1,0,2.0,2.0,2.0,0.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.01018,47.51635,4569,4
4575,9.32038835,1,0,3.0,2.0,0.0,0.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.06766,47.50808,4575,7
4577,11.67466667,1,0,3.0,1.0,0.0,1.0,1,0,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.03594,47.504979999999996,4577,4
4580,19.60384837,1,0,3.0,6.0,0.0,1.0,0,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.058195,47.505077,4580,6
4584,7.211267606,1,0,2.0,3.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.041128,47.474808,4584,7
4595,9.066666667,1,0,2.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.01502,47.516459999999995,4595,7
4599,7.1111111110000005,1,0,2.0,1.0,2.0,0.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.03187,47.487359999999995,4599,7
4601,8.457142857000001,1,0,2.0,0.5,0.0,0.0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.98786,47.52785,4601,7
4602,15.51406667,1,0,2.0,6.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07734,47.481970000000004,4602,6
4608,12.94117647,1,0,3.0,3.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.032293,47.547847999999995,4608,5
4609,15.2,1,0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.027720000000002,47.50309,4609,8
4611,10.66666667,1,0,1.0,11.0,0.0,0.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,1,19.082724,47.486732,4611,3
4616,19.51456604,1,0,3.0,1.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.04884,47.50189,4616,1
4618,8.148837209,1,0,2.0,1.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07098,47.503634999999996,4618,7
4619,19.15318519,1,0,4.0,3.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.99766,47.52017,4619,1
4624,14.36488889,1,0,3.0,3.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.949228,47.52793,4624,8
4628,19.5047619,1,0,3.0,5.0,0.0,1.0,0,1,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.04875,47.51185,4628,1
4630,10.29885057,1,0,2.0,2.0,1.0,0.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.050585,47.516914,4630,4
4637,12.9284,1,0,3.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.0717,47.47688,4637,5
4639,15.97714286,1,0,3.0,2.0,0.0,0.0,1,0,1.0,1.0,1.0,1,0,0,1,0.0,0.0,0.0,0.0,0,19.015657,47.52394,4639,8
4643,18.616896,1,0,3.0,4.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.06766,47.50808,4643,1
4645,17.73037714,1,0,3.0,1.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,18.991344,47.530468,4645,1
4651,10.28571429,1,0,4.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.037249,47.517365000000005,4651,4
4660,13.06122449,1,0,4.0,2.0,0.0,0.0,1,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.013614999999998,47.55387,4660,8
4663,9.411764706,1,0,3.0,1.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.006678,47.475895,4663,7
4664,9.846153846,1,0,5.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,1,19.016023999999998,47.527065,4664,4
4666,17.70212766,1,0,2.0,4.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.065578,47.54785,4666,6
4669,8.941176471,1,0,2.0,3.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.09771,47.50884,4669,0
4672,15.30434783,1,0,4.0,2.0,0.0,1.0,1,0,1.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.020292,47.53952,4672,8
4673,8.448991549,1,0,2.0,1.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.0745,47.48191,4673,7
4680,24.92221687,1,0,5.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.999819,47.50405,4680,2
4683,9.386666667,1,0,3.0,1.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.0714,47.53203,4683,7
4685,9.081081081,1,0,2.0,4.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.03586,47.51291,4685,0
4687,12.37829457,1,0,2.0,3.0,0.0,0.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.086304000000002,47.518359999999994,4687,5
4689,13.06666667,1,0,5.0,1.0,0.0,0.0,0,0,1.0,0.0,1.0,1,1,0,0,0.0,0.0,1.0,0.0,0,19.045347,47.482227,4689,8
4699,7.765853658999999,1,0,3.0,2.0,0.0,0.0,0,1,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.037384,47.532143,4699,7
4705,9.32038835,1,0,3.0,3.0,1.0,1.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07041,47.49112,4705,0
4707,11.96511373,1,0,2.0,6.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.072226999999998,47.488068,4707,5
4710,4.837209302,1,0,3.0,1.0,0.0,1.0,0,1,1.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.118317,47.44079,4710,7
4720,10.56516129,1,0,3.0,1.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.002827,47.531506,4720,4
4727,10.0,1,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,18.97859,47.52495,4727,4
4729,9.365853658999999,1,0,1.0,1.0,0.0,1.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.12107,47.51793,4729,7
4730,18.07465631,1,0,3.0,5.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.05885,47.49539,4730,6
4732,10.50352941,1,0,4.0,1.0,0.0,0.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,18.99267,47.510459999999995,4732,4
4734,11.97419355,1,0,4.0,3.0,1.0,1.0,1,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.04353,47.4585,4734,5
4738,15.32254815,1,0,2.0,1.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.003485,47.521687,4738,8
4741,12.36363636,1,0,1.0,4.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.042046,47.531909999999996,4741,5
4743,13.39534884,1,0,2.0,3.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.074785000000002,47.47391,4743,5
4750,7.298245614,1,0,2.0,2.0,0.0,1.0,0,0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.000999999999998,47.48867,4750,7
4765,15.37662338,1,0,2.0,3.0,1.0,1.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.003159,47.473568,4765,8
4770,19.63807595,1,0,2.0,2.0,1.0,0.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.027914000000003,47.496365000000004,4770,1
4771,11.45088,1,0,4.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.031660000000002,47.52435,4771,4
4773,12.48,1,0,2.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.07538,47.48595,4773,5
