,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
196,11.44186047,1,0,1.0,4.0,2.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.048156,47.472177,196,5
197,11.31707317,1,0,1.0,3.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.1068659,47.463192299999996,197,4
208,5.590361446,1,0,2.0,2.0,0.0,1.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.0723778,47.4965668,208,7
213,11.04285714,1,0,2.0,4.0,0.0,0.0,1,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0274995,47.5152015,213,5
217,20.31428571,1,0,1.0,5.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.052907,47.495042,217,1
227,11.15384615,1,0,2.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0515638,47.494310799999994,227,4
244,9.271428571,1,0,2.0,2.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0590554,47.4996847,244,7
255,9.984615385,1,0,2.0,2.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0761401,47.4895974,255,4
265,8.553846154,1,0,1.0,4.0,1.0,0.0,0,1,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.056766699999997,47.4936661,265,0
273,20.31428571,1,0,1.0,5.0,1.0,1.0,1,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.052784699999997,47.49546470000001,273,1
276,13.97619048,1,0,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.0495759,47.5092799,276,8
281,11.94666667,1,0,3.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.061165300000003,47.50523,281,4
284,9.020833332999999,1,0,2.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.034191,47.454662899999995,284,0
285,10.23076923,1,0,2.0,3.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0615927,47.507979600000006,285,0
295,12.07317073,1,0,1.0,2.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0783703,47.4811187,295,4
302,16.86363636,1,0,1.0,2.0,1.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.061004800000003,47.4904273,302,8
307,7.353658537,1,0,2.0,3.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0645768,47.485414399999996,307,7
311,11.48571429,1,0,1.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0833812,47.4926291,311,4
319,7.9,1,0,3.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.071986399999997,47.50590820000001,319,7
323,13.4,1,0,2.0,2.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.060368,47.502928999999995,323,8
326,10.31111111,1,0,1.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0587745,47.4992513,326,0
329,11.04761905,1,0,2.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.070768,47.487871000000005,329,4
333,8.444444444,1,0,3.0,5.0,0.0,1.0,0,1,0.0,1.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.0540868,47.496858700000004,333,0
352,8.244444443999999,1,0,2.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.085258800000002,47.4859316,352,0
383,8.8875,1,0,3.0,2.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.026906600000004,47.560516,383,7
472,7.733333332999999,1,0,2.0,2.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.1191795,47.5608274,472,7
474,9.098039216,1,0,1.0,2.0,2.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.1118896,47.5048564,474,7
481,9.275,1,0,1.0,5.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.091773100000005,47.5359383,481,0
484,15.02857143,1,0,1.0,4.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07158054,47.4927865,484,5
486,11.38947368,1,0,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0303998,47.4985589,486,5
487,7.157407407000001,1,0,3.0,1.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0606555,47.5085639,487,7
498,15.02857143,1,0,2.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.07158054,47.4927865,498,5
512,11.48571429,1,0,1.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.04753525,47.50405485,512,5
518,11.58333333,1,0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.052108899999997,47.5118841,518,4
532,17.66666667,1,0,2.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0584655,47.5021804,532,1
554,7.58490566,1,0,1.0,2.0,2.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.1368449,47.456657899999996,554,7
563,8.114754097999999,1,0,2.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.0794026,47.5083811,563,7
565,7.391304347999999,1,0,4.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0665471,47.503895899999996,565,7
567,7.483870968,1,0,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.062298499999997,47.5077558,567,7
570,16.25,1,0,1.0,4.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0599135,47.5019968,570,6
659,8.25,1,0,1.0,10.0,2.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.093103,47.4843526,659,3
662,7.58490566,1,0,1.0,7.0,1.0,1.0,1,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0139305,47.461022799999995,662,3
674,13.79310345,1,0,3.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.041192499999998,47.497037,674,5
709,8.592592593,1,0,1.0,3.0,1.0,1.0,1,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0334755,47.4896208,709,0
748,10.3125,1,0,2.0,1.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0613657,47.5658291,748,4
811,9.285714286000001,1,0,2.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0514866,47.5119888,811,0
