id,web_alberlet,web_ingatlan,web_tower,apartment,house,sale,rent,price_per_month,size(sqm),price_per_sqm,district,district_i,district_ii,district_iii,district_iv,district_v,district_vi,district_vii,district_viii,district_ix,district_x,district_xi,district_xii,district_xiii,district_xiv,district_xv,district_xvi,district_xvii,district_xviii,district_xix,district_xx,district_xxi,district_xxii,district_xxiii,street,number_of_rooms,number_of_whole_rooms,number_of_half_rooms,type_of_the_building,type_of_the_building_brick_apartment,type_of_the_building_block_apartment,type_of_building_castle_villa,type_of_building_house,type_of_the_building_part_of_house,type_of_the_building_raw_house,type_of_building_semi_detached_house,floor,deposit,deposit_per_sqm,furnish,furnish_total,furnish_furnished,furnish_equipped,furnish_partly_furnished,furnish_empty,view,view_total,view_courtyard,view_courtyard_sunny,view_courtyard_not_sunny,view_danube,view_garden,view_roof,view_square,view_panoramic,view_park,view_street,view_street_quiet,view_street_sunny,view_city,view_hill,utilities_fee,utilities_fee_per_sqm,common_cost,common_cost_details,utilities_fee_details,total_fee,overhead,balcony,parking,garage,lift,air_conditioner,utility_level,utility_double_comfort,heating,heating_total,heating_gas,heating_wall_heating,heating_combination,heating_ceiling,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,available_immediately,shortest_rental_period,children_welcomed,can_be_an_office,foreigners_welcomed,washing_machine,microwave,dish_washer,fridge,american_kitchen,condition_of_property_renovated,pet,reception,transportation,near_universities,latitude,longitude,postcode,distace_to_danube,quadratic_danube,distace_to_city_centre,quadratic_centre,distace_to_keleti,quadratic_keleti,distace_to_nyugati,quadratic_nyugati,distance_to_deli,quadratic_deli,distance_to_airport,quadratic_airport,distance_to_uni1,quadratic_uni1,distance_to_uni5,quadratic_uni5,distance_to_uni13,quadratic_uni13,distance_to_uni16,quadratic_uni16,tourism_apartment,tourism_attraction,tourism_gallery,tourism_guest_house,tourism_hostel,tourism_hotel,tourism_information,tourism_motel,tourism_museum,shop_art_music_hobbies,shop_beauty,shop_clothing_shoes_accessories,shop_convenience_shop,shop_department_store,shop_discount_store_charity,shop_food_beverages,shop_health,shop_laundry,shop_mall,shop_stationery_gifts_books_newspapers,shop_supermarket,shop_travel_agency,metro_station,leisure_dance,leisure_dog_park,leisure_fitness_centre,leisure_fitness_station,leisure_garden,leisure_nature_reserve,leisure_park,leisure_pitch,leisure_playground,leisure_sports_centre,leisure_stadium,leisure_swimming_pool,leisure_track,leisure_water_park,bus_station,amenity_sustenance,amenity_school,amenity_education,amenity_financial,amenity_healthcare,amenity_arts,amenity_entertainment,amenity_religion,amenity_police,amenity_government,amenity_vending_machine,amenity_transportation_bicycle,amenity_transportation_car,amenity_parking,amenity_coworking_space,amenity_recycling,floors_of_the_building,balconies,elevator,air_conditioning,condition_of_property,condition_of_property_newly_build,condition_of_property_in_good_condition,condition_of_property_in_medium_condition,condition_of_property_needs_renovation,condition_of_property_mint,utility_full_comfort,utility_luxury,energy_performance_certificate,ceiling_height,bathroom_and_toilet,bathroom_separate,bathroom_together,orientation,orientation_north,orientation_south,orientation_east,orientation_west,orientation_northeast,orientation_northwest,orientation_southwest,orientation_southeast,garden_access,garden_AC,attic,attic_loft_conversion,attic_penthouse,attic_topfloor
24,1,0,0,1,0,0,1,0,90,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cinkotai út,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,0,0,0,0,0,1,1113,12.36666667,"Partly furnished, equipped",partly furnished,0,1,1,0,"Courtyard, sunny",other,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0.855555556,56,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,,0,"4, 6 trams, Metro 2 red",,47.52409614,19.13550018,1141,2.079041111,4.322411941,7.068464817,49.96319487,4.628383645,21.42193517,6.039560442,36.47629033,8.701692945,75.71946011,12.93744757,167.3775496,6.110531653,37.33859708,1.955013597,3.822078164,7.446225058,55.44626761,10.8695236,118.1465433,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,3,0,0,0,0,1,11,3,6,0,1,2,0,12,6,2,0,2,2,0,0,3,0,0,0,3,0,16,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,0,0,1,0,0,1,0,62,,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kikelet utca,"
                1 room                 + 2 half room            ",1,2,Brick Apartment,1,0,0,0,0,0,0,1.5,927,14.9516129,Partly furnished,partly furnished,0,0,1,0,Overlooking the garden,garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0.741935484,43,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,Metro 1 historic line,,47.5070557,18.9843914,1125,3.886211343,15.1026386,5.117133401,26.18505424,7.496779821,56.20170768,5.494310346,30.18744618,3.086417121,9.525970645,21.52500432,463.325811,6.282681648,39.47208869,10.52684911,110.8145522,8.045280163,64.7265329,1.184032497,1.401932954,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,4,1,2,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,1,0,0,1,0,0,1,0,42,,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hamzsabégi út,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,0,0,0,0,0,5,866,20.61904762,"Furnished, equipped",furnish,1,1,0,0,To the street,street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,1.095238095,31,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,"4, 6 trams, Metro 1 historic line						","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.313 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.684 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.903 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.903 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.903 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.651 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.388 km )Baptista Teológiai Akadémia - BTA ( 1.714 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.389 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.389 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.075 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.717 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.414 km )Közép-Európai Egyetem - KEE ( 0.615 km )Károli Gáspár Református Egyetem - KRE ( 1.587 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.617 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.993 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.569 km )McDaniel College - MCDC ( 1.734 km )Magyar Képzőművészeti Egyetem - MKE ( 0.901 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.466 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.431 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.408 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.395 km )Semmelweis Egyetem - SE ( 1.954 km )Semmelweis Egyetem - SE ÁOK ( 1.954 km )Semmelweis Egyetem - SE EFK ( 1.285 km )Semmelweis Egyetem - SE FOK ( 1.954 km )Semmelweis Egyetem - SE GYTK ( 1.954 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.088 km )Szent István Egyetem - SZIE ÁOTK ( 1.599 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.183 km )Central European University - CEU ( 0.615 km )

                    More
                    



",47.4712763,19.047687,1117,1.234921098,1.525030118,2.816438514,7.932325903,4.312751127,18.59982228,4.54133048,20.62368253,3.771560546,14.22466895,15.80540812,249.8109258,3.012811022,9.077030254,7.081678272,50.15016715,10.11478815,102.3089393,6.595896322,43.50584829,0,0,2,0,1,1,7,0,2,5,20,23,2,0,2,64,10,1,2,12,8,0,2,0,6,2,2,8,0,17,,20,,2,17,,0,5,112,14,1,29,19,5,7,8,0,0,11,55,2,84,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,1,0,0,1,0,0,1,3,35,0.085714286,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Torockó utca,"
                1 room                            ",1,0,Brick Apartment,1,0,0,0,0,0,0,0,3,0.085714286,"Furnished, equipped",furnish,1,1,0,0,To the courtyard,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.085714286,,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Metro 3 blue,,47.4374897,19.1411351,1202,0.647188633,0.418853127,9.449752985,89.29783148,8.309428903,69.04660869,10.37710201,107.6842461,11.27860236,127.2068712,8.359763716,69.88564939,8.547894833,73.06650608,7.955659509,63.29251822,15.33322188,235.1076932,14.30179326,204.5412905,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,0,10,9,0,2,0,10,1,0,3,3,4,0,0,1,0,0,1,0,0,0,0,0,12,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10774,,,,1,0,0,1,40000,740,0.172972973,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, Tarcsai út 1.,8 room,,0,,,,,,,,,,,,1,furnish,1,,0,,garden view,garden,,,,,1,,,0,0,0,,,,,,0,,,,,,1,1,,0,0,double comfort,1,combination boiler,combination,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,,, Busz   176E   198   298   ,,47.493725,19.287111,1172,1.523342051,2.320571004,17.76385714,315.5546205,15.29454226,233.9230229,17.38221065,302.1412471,19.73841674,389.6050954,6.665168872,44.42447609,16.59805928,275.4955719,12.31796501,151.732262,19.09371976,364.5701343,22.37536352,500.6568927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,0,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,6,0,0,,4,not available,not available,in good condition,0,1,0,0,0,0,0,8,0,separate,1,0,not specified,0,0,0,0,0,0,0,0,yes,1,no loft conversion,0,0,0
6196,,,,1,0,0,1,20000,96,0.666666667,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, Katona József utca,3 room,3,0,,,,,,,,,,,,1,furnish,1,,0,,not specified,other,,,,,0,,,0,0,0,,,,,,0,,,,,,,,,,,full comfort,0,central heating,central,0,0,0,0,1,0,0,0,0,,,,,,,,,,,0,,, Busz   71   ,,47.426426,19.079147,1215,1.173299164,1.376630928,8.082429154,65.32566103,8.344084987,69.62375427,9.613652014,92.42230505,9.289999361,86.30408813,13.09260253,171.416241,7.721155826,59.61624729,9.706676354,94.21956584,15.21032082,231.3538594,12.01739828,144.4178614,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,19,1,0,0,3,5,0,0,0,4,0,0,0,0,7,9,19,1,0,,0,0,1,11,31,0,5,5,2,0,6,0,0,0,5,0,66,0,11,,,not specified,-1,mint,0,0,0,0,1,1,0,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,-1,0,0,0
10373,,,,1,0,0,1,38000,116,1.048275862,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hernád utca,5 room,5,0,,,,,,,,,,,,1,furnish,1,,0,,street view,street,,,,,0,,,0,0,1,,,,,,0,,,,,,,1,,0,0,double comfort,1,combination boiler,combination,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,1,,, Busz   30A   30   230    Éjszakai   979    Troli   70   74   75   78   79   ,,47.5068,19.080656,1078,0.86207595,0.743174944,2.523621749,6.368666732,0.646491493,0.417951251,1.838693599,3.380794151,4.25197981,18.0793323,14.9628641,223.8873021,1.676835356,2.811776811,3.299014514,10.88349676,6.474385874,41.91767245,6.809798755,46.37335908,1,4,5,0,2,23,8,0,12,3,21,11,3,0,3,71,2,1,0,12,10,1,3,0,0,0,4,0,0,9,18,10,3,0,,0,0,10,102,22,4,24,22,3,9,10,1,0,28,45,0,31,1,1,,,not available,not available,renovated,0,0,0,0,0,0,0,10,1,separate and together too,1,0,not specified,0,0,0,0,0,0,0,0,no,0,no loft conversion,0,0,0
7300,,,,1,0,0,1,65000,160,1.3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Benyovszky Móric utca,7 room,,0,,,,,,,,,,,,1,furnish,1,,0,,not specified,other,,,,,0,,,0,0,0,,,,,,0,,,,,,,,,,,full comfort,0,not specified,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,, Villamos   24   24G   37   37A   4   6    Éjszakai   914   914A   950   ,,47.48041,19.09735,1089,1.502123348,2.256374553,3.9363843,15.49512136,2.545000278,6.477026415,4.595230453,21.11614292,5.942288248,35.31078962,12.54061191,157.2669471,2.867708122,8.223749873,3.699415421,13.68567446,9.657290316,93.26325625,8.937665446,79.88186362,0,0,0,0,2,7,1,0,2,3,0,0,0,0,1,10,1,0,0,5,3,0,2,0,4,0,0,0,0,5,15,10,5,2,,3,0,4,19,11,1,7,15,1,8,4,1,1,0,4,1,34,0,5,,,not specified,-1,renovated,0,0,0,0,0,1,0,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,-1,0,0,0
2190,1,0,0,1,0,0,1,170,130,1.307692308,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Erzsébet körút,"
                5 rooms                 + 1 half room            ",5,1,Brick Apartment,1,0,0,0,0,0,0,3,170,1.307692308,"Furnished, equipped",furnish,1,1,0,0,"Street, sunny",street,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.023076923,,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,47.4996269,19.0689949,1073,1.325628613,1.75729122,1.416857777,2.00748596,1.132608692,1.282802449,1.598326367,2.554647175,3.339483004,11.15214673,15.35682029,235.8319294,0.523961153,0.27453529,4.278081038,18.30197737,7.043878193,49.61622,6.144878176,37.7595278,7,28,21,9,18,40,37,0,11,20,55,58,3,1,1,,10,1,4,38,21,5,6,4,5,1,2,14,0,16,4,12,6,0,16,0,0,24,513,51,7,67,39,13,51,18,1,0,53,102,3,55,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9418,,,,1,0,0,1,45000,100,1.44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, Hunyadvár utca,3 room,3,0,,,,,,,,,,,,0,unfurnished,0,,0,,not specified,other,,,,,0,,,0,0,0,,,,,,0,,,,,,,,,,,not specified,0,not specified,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,, Busz   7G   176E   276E    Éjszakai   908   996   996A   ,,47.510624,19.20189,1165,6.002320267,36.02784859,11.46445437,131.433714,8.926145248,79.67606899,10.86527301,118.0541576,13.35497896,178.355463,8.858439572,78.47195165,10.3340908,106.7934327,5.816767558,33.83478482,12.50201893,156.3004773,15.83981375,250.8996996,0,0,2,0,0,1,0,0,2,0,11,4,,0,0,19,2,0,2,1,5,0,0,0,0,0,0,0,0,2,14,9,9,0,,1,2,0,17,15,0,4,15,1,2,4,0,0,1,1,0,27,0,0,,,not specified,-1,not specified,0,0,0,0,0,0,0,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,-1,0,0,0
