,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,floor,longitude,latitude,data_index,cluster
0,11.02857143,1,1.0,0.0,1.0,19.021721399999997,47.4990917,0,2
1,13.80357143,1,2.0,0.0,8.0,19.076257199999997,47.4859623,1,4
2,8.754716981,1,2.0,0.0,3.0,19.0848108,47.5575498,2,0
3,11.13333333,1,3.0,1.0,1.0,19.0288345,47.5201027,3,2
4,11.20289855,1,3.0,0.0,1.0,19.057455899999997,47.5054421,4,2
5,9.146341462999999,1,3.0,0.0,3.0,19.0709015,47.491750399999994,5,0
7,10.96774194,1,1.0,0.0,0.0,19.108164000000002,47.5236096,7,2
8,11.12,1,1.0,1.0,7.0,19.0538169,47.5197023,8,4
9,10.72580645,1,2.0,0.0,1.0,19.069523,47.499779499999995,9,2
10,9.836363636,1,3.0,0.0,1.5,19.0661169,47.507102,10,2
11,11.71212121,1,3.0,0.0,3.0,19.047426,47.50497,11,2
12,11.696969699999999,1,1.0,0.0,5.0,19.0760875,47.493088,12,4
13,10.975,1,1.0,0.0,5.0,19.052091,47.476447,13,4
15,12.14285714,1,2.0,0.0,4.0,19.075858399999998,47.477073499999996,15,4
17,9.348837209,1,1.0,0.0,0.0,19.0683298,47.5366395,17,2
18,7.58490566,1,1.0,0.0,3.0,19.0514866,47.5119888,18,0
19,11.24242424,1,1.0,0.0,1.0,19.1133095,47.52312,19,2
20,11.16666667,1,1.0,0.0,2.0,19.058594,47.498289299999996,20,2
21,9.571428571,1,1.0,0.0,2.0,19.077115399999997,47.5000268,21,2
22,7.274509804,1,2.0,0.0,9.0,19.06400825,47.6036783,22,4
23,10.11904762,1,3.0,0.0,-0.5,19.12700429,47.51895565,23,2
24,0.0,1,2.0,1.0,1.0,19.13550018,47.52409614,24,0
25,15.78378378,1,1.0,0.0,3.0,19.053932500000002,47.5071904,25,3
26,11.696969699999999,1,1.0,0.0,1.5,19.047593300000003,47.4771689,26,2
27,10.2,1,1.0,1.0,3.0,19.0374214,47.5424566,27,2
28,9.65,1,1.0,1.0,1.0,18.97424975,47.5277038,28,2
29,11.04761905,1,1.0,0.0,3.0,19.060145000000002,47.48657,29,2
30,12.46774194,1,2.0,1.0,1.0,19.0096074,47.5145032,30,2
31,14.05454545,1,2.0,0.0,0.0,19.0298378,47.50637929999999,31,3
32,15.07377049,1,3.0,0.0,1.0,19.05620058,47.488391299999996,32,3
33,9.030769231,1,3.0,0.0,0.0,19.00115,47.520901,33,0
34,8.176470587999999,1,3.0,0.0,2.0,19.035019000000002,47.4922898,34,0
35,11.82978723,1,2.0,0.0,1.0,19.037835,47.503584000000004,35,2
36,10.52,1,2.0,0.0,2.0,19.0210965,47.5106399,36,2
37,11.16666667,1,1.0,0.0,2.0,19.05819,47.498288,37,2
38,15.0,1,1.0,0.0,0.0,19.114611899999996,47.5141135,38,3
39,11.23636364,1,1.0,0.0,2.0,19.0506343,47.50979185,39,2
40,11.0,1,1.0,2.0,3.0,19.0695952,47.4950847,40,2
41,8.333333332999999,1,3.0,0.0,3.0,19.026619500000002,47.5063975,41,0
42,10.90196078,1,3.0,0.0,0.0,19.10672567,47.50984485,42,2
43,10.6,1,2.0,1.0,5.0,19.0779253,47.4744489,43,4
44,7.58490566,1,1.0,0.0,3.0,19.049162399999997,47.5124995,44,0
45,15.0,1,3.0,0.0,3.0,19.032098100000002,47.5072763,45,3
46,9.928571429,1,1.0,0.0,4.0,19.0535983,47.478402,46,4
47,8.169811321000001,1,2.0,0.0,3.0,19.111322,47.510064,47,0
48,7.514285714,1,3.0,0.0,1.0,19.0622328,47.537867999999996,48,0
49,9.763157895,1,1.0,0.0,4.0,19.0693907,47.51867139,49,4
50,9.586206897,1,1.0,2.0,2.0,19.0153108,47.4850052,50,2
51,14.93103448,1,1.0,0.0,1.0,19.057249,47.508093,51,3
52,11.0,1,2.0,0.0,4.0,19.0622312,47.5031945,52,4
53,13.4,1,1.0,0.0,0.0,19.0954045,47.5437032,53,3
54,11.78571429,1,1.0,1.0,1.0,19.1063132,47.5217338,54,2
55,12.4625,1,4.0,0.0,2.0,19.078706600000004,47.512682500000004,55,2
56,11.2,1,1.0,1.0,6.0,19.0381604,47.4509743,56,4
57,8.947368421,1,2.0,0.0,4.0,19.0486587,47.4701411,57,4
58,11.44186047,1,1.0,2.0,4.0,19.0492615,47.4722189,58,4
59,10.30769231,1,1.0,1.0,11.0,18.993482999999998,47.5260406,59,4
60,7.274509804,1,2.0,0.0,9.0,19.063077800000002,47.6040133,60,4
61,11.6,1,1.0,0.0,3.0,19.0610109,47.486777000000004,61,2
62,11.24242424,1,1.0,0.0,1.0,19.1133095,47.52312,62,2
66,9.714285713999999,1,1.0,0.0,4.0,19.103332100000003,47.5242266,66,4
67,13.4,1,1.0,0.0,2.0,19.074542899999997,47.4941432,67,3
68,12.375,1,1.0,1.0,3.0,19.034262100000003,47.500657000000004,68,2
69,6.628571429,1,2.0,0.0,1.0,19.071312699999996,47.4822292,69,0
70,8.285714286000001,1,2.0,0.0,1.0,19.0492615,47.4722189,70,0
72,10.3,1,1.0,0.0,11.0,19.0773951,47.4867636,72,4
74,10.91176471,1,1.0,0.0,1.0,19.091338699999998,47.4893766,74,2
75,11.96774194,1,1.0,0.0,3.0,19.120076899999997,47.5035914,75,2
76,9.363636364,1,1.0,0.0,0.0,19.112416600000003,47.485125,76,2
77,7.391304347999999,1,2.0,1.0,1.5,19.1104459,47.527727,77,0
78,10.96774194,1,1.0,0.0,1.0,19.0565288,47.4979239,78,2
