ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
8906,Point,convenience,"   18.9233046, 47.3931629  ","Food, beverages",18.9233046,47.3931629
8907,Point,convenience,"   18.9226961, 47.3939339  ","Food, beverages",18.9226961,47.3939339
8908,Point,convenience,"   19.2037674, 47.3954219  ","Food, beverages",19.2037674,47.3954219
8909,Point,convenience,"   18.9372939, 47.3842999  ","Food, beverages",18.9372939,47.3842999
8910,Point,bakery,"   19.3355683, 47.3869157  ","Food, beverages",19.3355683,47.3869157
8911,Point,convenience,"   18.9812646, 47.3910082  ","Food, beverages",18.9812646,47.3910082
8912,Point,convenience,"   19.1248497, 47.3988605  ","Food, beverages",19.1248497,47.3988605
8913,Point,alcohol,"   19.2689114, 47.4012534  ","Food, beverages",19.2689114,47.4012534
8914,Point,convenience,"   18.9434828, 47.4019502  ","Food, beverages",18.9434828,47.4019502
8915,Point,convenience,"   19.1170965, 47.4030424  ","Food, beverages",19.1170965,47.4030424
8917,Point,convenience,"   19.0583307, 47.5669367  ","Food, beverages",19.0583307,47.5669367
8918,Point,convenience,"   19.0566114, 47.5692139  ","Food, beverages",19.0566114,47.5692139
8920,Point,greengrocer,"   19.1170256, 47.397028  ","Food, beverages",19.1170256,47.397028
8921,Point,convenience,"   19.2532268, 47.4094026  ","Food, beverages",19.2532268,47.4094026
8922,Point,convenience,"   19.2581679, 47.4096251  ","Food, beverages",19.2581679,47.4096251
8923,Point,convenience,"   18.9006562, 47.4111341  ","Food, beverages",18.9006562,47.4111341
8924,Point,convenience,"   19.1985928, 47.4123325  ","Food, beverages",19.1985928,47.4123325
8925,Point,convenience,"   19.1105749, 47.420664  ","Food, beverages",19.1105749,47.420664
8926,Point,convenience,"   19.1240702, 47.4232343  ","Food, beverages",19.1240702,47.4232343
8927,Point,convenience,"   19.1281647, 47.4327964  ","Food, beverages",19.1281647,47.4327964
8928,Point,convenience,"   19.0925926, 47.434372  ","Food, beverages",19.0925926,47.434372
8929,Point,convenience,"   19.2106559, 47.4378487  ","Food, beverages",19.2106559,47.4378487
8930,Point,convenience,"   19.1473409, 47.4497219  ","Food, beverages",19.1473409,47.4497219
8931,Point,greengrocer,"   19.107254, 47.4505869  ","Food, beverages",19.107254,47.4505869
8932,Point,convenience,"   19.1739753, 47.4130806  ","Food, beverages",19.1739753,47.4130806
8933,Point,alcohol,"   19.058903, 47.4156867  ","Food, beverages",19.058903,47.4156867
8934,Point,convenience,"   19.0151177, 47.4253548  ","Food, beverages",19.0151177,47.4253548
8935,Point,convenience,"   19.0298329, 47.4258674  ","Food, beverages",19.0298329,47.4258674
8936,Point,convenience,"   19.0089875, 47.42764  ","Food, beverages",19.0089875,47.42764
8937,Point,convenience,"   19.0359866, 47.4284274  ","Food, beverages",19.0359866,47.4284274
8938,Point,convenience,"   19.1059489, 47.4286245  ","Food, beverages",19.1059489,47.4286245
8939,Point,convenience,"   19.1756399, 47.4294614  ","Food, beverages",19.1756399,47.4294614
8940,Point,convenience,"   19.0052785, 47.4305178  ","Food, beverages",19.0052785,47.4305178
8941,Point,convenience,"   19.1948858, 47.4517316  ","Food, beverages",19.1948858,47.4517316
8942,Point,convenience,"   19.1684873, 47.4516671  ","Food, beverages",19.1684873,47.4516671
8944,Point,convenience,"   19.1410869, 47.4564429  ","Food, beverages",19.1410869,47.4564429
8945,Point,convenience,"   19.1431473, 47.5019256  ","Food, beverages",19.1431473,47.5019256
8946,Point,convenience,"   19.1468415, 47.502438  ","Food, beverages",19.1468415,47.502438
8947,Point,convenience,"   19.029547, 47.5201154  ","Food, beverages",19.029547,47.5201154
8948,Point,convenience,"   19.1654308, 47.5203457  ","Food, beverages",19.1654308,47.5203457
8949,Point,convenience,"   19.0019408, 47.467745  ","Food, beverages",19.0019408,47.467745
8950,Point,convenience,"   19.257911, 47.4716101  ","Food, beverages",19.257911,47.4716101
8951,Point,convenience,"   19.1494583, 47.4748084  ","Food, beverages",19.1494583,47.4748084
8952,Point,alcohol,"   19.1698071, 47.5081257  ","Food, beverages",19.1698071,47.5081257
8953,Point,convenience,"   19.1499036, 47.5259502  ","Food, beverages",19.1499036,47.5259502
8954,Point,convenience,"   19.1612096, 47.5276368  ","Food, beverages",19.1612096,47.5276368
8955,Point,convenience,"   19.2249912, 47.5423813  ","Food, beverages",19.2249912,47.5423813
8956,Point,convenience,"   19.035251, 47.5434246  ","Food, beverages",19.035251,47.5434246
8957,Point,convenience,"   19.0278639, 47.5463583  ","Food, beverages",19.0278639,47.5463583
8958,Point,convenience,"   19.0298717, 47.5459539  ","Food, beverages",19.0298717,47.5459539
8959,Point,convenience,"   19.0650965, 47.6027635  ","Food, beverages",19.0650965,47.6027635
8960,Point,convenience,"   19.0157674, 47.5292901  ","Food, beverages",19.0157674,47.5292901
8961,Point,convenience,"   18.8754276, 47.5764625  ","Food, beverages",18.8754276,47.5764625
8962,Point,convenience,"   19.12737, 47.5803389  ","Food, beverages",19.12737,47.5803389
8963,Point,convenience,"   19.003473, 47.5844485  ","Food, beverages",19.003473,47.5844485
8964,Point,convenience,"   19.1934155, 47.6027097  ","Food, beverages",19.1934155,47.6027097
8965,Point,convenience,"   19.3761633, 47.6042224  ","Food, beverages",19.3761633,47.6042224
8966,Point,convenience,"   18.900316, 47.6068281  ","Food, beverages",18.900316,47.6068281
8967,Point,convenience,"   19.1825942, 47.6263447  ","Food, beverages",19.1825942,47.6263447
8968,Point,convenience,"   19.0659006, 47.5963493  ","Food, beverages",19.0659006,47.5963493
8969,Point,convenience,"   19.1970756, 47.614678  ","Food, beverages",19.1970756,47.614678
8970,Point,convenience,"   18.8801873, 47.615389  ","Food, beverages",18.8801873,47.615389
8972,Point,convenience,"   19.3119389, 47.6396463  ","Food, beverages",19.3119389,47.6396463
8973,Point,convenience,"   19.1819742, 47.627202  ","Food, beverages",19.1819742,47.627202
8974,Point,convenience,"   19.1798909, 47.6282288  ","Food, beverages",19.1798909,47.6282288
8975,Point,convenience,"   19.1763389, 47.6308966  ","Food, beverages",19.1763389,47.6308966
8976,Point,convenience,"   19.0284565, 47.6342675  ","Food, beverages",19.0284565,47.6342675
8977,Point,convenience,"   18.9611243, 47.4639823  ","Food, beverages",18.9611243,47.4639823
8979,Point,convenience,"   19.1971057, 47.4365229  ","Food, beverages",19.1971057,47.4365229
8980,Point,convenience,"   19.1613803, 47.4707411  ","Food, beverages",19.1613803,47.4707411
8982,Point,convenience,"   19.0438709, 47.5444637  ","Food, beverages",19.0438709,47.5444637
8983,Point,convenience,"   19.1040717, 47.4382532  ","Food, beverages",19.1040717,47.4382532
8984,Point,convenience,"   19.0275597, 47.5015463  ","Food, beverages",19.0275597,47.5015463
8985,Point,convenience,"   19.0358344, 47.5328471  ","Food, beverages",19.0358344,47.5328471
8986,Point,convenience,"   18.903507, 47.6173017  ","Food, beverages",18.903507,47.6173017
8988,Point,convenience,"   19.081814, 47.4992507  ","Food, beverages",19.081814,47.4992507
8990,Point,alcohol,"   19.082289, 47.5049243  ","Food, beverages",19.082289,47.5049243
8991,Point,convenience,"   19.038107, 47.5065327  ","Food, beverages",19.038107,47.5065327
8992,Point,convenience,"   18.8875841, 47.5758191  ","Food, beverages",18.8875841,47.5758191
8994,Point,convenience,"   19.1167104, 47.3991187  ","Food, beverages",19.1167104,47.3991187
8995,Point,convenience,"   19.1029199, 47.4370863  ","Food, beverages",19.1029199,47.4370863
8998,Point,convenience,"   19.0709869, 47.4993577  ","Food, beverages",19.0709869,47.4993577
8999,Point,greengrocer,"   19.0987807, 47.4447607  ","Food, beverages",19.0987807,47.4447607
9000,Point,convenience,"   18.9915732, 47.6079121  ","Food, beverages",18.9915732,47.6079121
9001,Point,convenience,"   18.9429285, 47.4598161  ","Food, beverages",18.9429285,47.4598161
9002,Point,convenience,"   19.0380553, 47.4263031  ","Food, beverages",19.0380553,47.4263031
9003,Point,convenience,"   19.0377514, 47.5473547  ","Food, beverages",19.0377514,47.5473547
9004,Point,convenience,"   18.89668, 47.609745  ","Food, beverages",18.89668,47.609745
9005,Point,convenience,"   18.9193096, 47.3743662  ","Food, beverages",18.9193096,47.3743662
9007,Point,convenience,"   19.2988701, 47.4615347  ","Food, beverages",19.2988701,47.4615347
9008,Point,convenience,"   19.0599651, 47.5322176  ","Food, beverages",19.0599651,47.5322176
9009,Point,greengrocer,"   19.2199841, 47.5566593  ","Food, beverages",19.2199841,47.5566593
9010,Point,convenience,"   19.0379071, 47.4439493  ","Food, beverages",19.0379071,47.4439493
9011,Point,convenience,"   19.115153, 47.3982479  ","Food, beverages",19.115153,47.3982479
9012,Point,convenience,"   19.1932975, 47.4084131  ","Food, beverages",19.1932975,47.4084131
9013,Point,convenience,"   19.062625, 47.5334915  ","Food, beverages",19.062625,47.5334915
9014,Point,convenience,"   19.0426648, 47.5430374  ","Food, beverages",19.0426648,47.5430374
9015,Point,convenience,"   19.0047139, 47.3950924  ","Food, beverages",19.0047139,47.3950924
9016,Point,convenience,"   19.1708693, 47.4340343  ","Food, beverages",19.1708693,47.4340343
9018,Point,convenience,"   19.0246242, 47.5089745  ","Food, beverages",19.0246242,47.5089745
9020,Point,convenience,"   18.9271473, 47.5091868  ","Food, beverages",18.9271473,47.5091868
9021,Point,convenience,"   18.9018976, 47.3697019  ","Food, beverages",18.9018976,47.3697019
9022,Point,convenience,"   19.1951975, 47.4312316  ","Food, beverages",19.1951975,47.4312316
9023,Point,convenience,"   19.0371504, 47.5217541  ","Food, beverages",19.0371504,47.5217541
9024,Point,convenience,"   19.0300602, 47.5296956  ","Food, beverages",19.0300602,47.5296956
9025,Point,convenience,"   19.14199, 47.4533381  ","Food, beverages",19.14199,47.4533381
9026,Point,convenience,"   19.0243957, 47.4674557  ","Food, beverages",19.0243957,47.4674557
9027,Point,convenience,"   19.2523233, 47.4800386  ","Food, beverages",19.2523233,47.4800386
9028,Point,convenience,"   19.0618578, 47.5721491  ","Food, beverages",19.0618578,47.5721491
9029,Point,convenience,"   19.035037, 47.4735734  ","Food, beverages",19.035037,47.4735734
9032,Point,convenience,"   19.0276789, 47.4700193  ","Food, beverages",19.0276789,47.4700193
9033,Point,convenience,"   19.2945407, 47.4690345  ","Food, beverages",19.2945407,47.4690345
9034,Point,convenience,"   19.1883912, 47.4391091  ","Food, beverages",19.1883912,47.4391091
9036,Point,convenience,"   18.9908189, 47.4044274  ","Food, beverages",18.9908189,47.4044274
9037,Point,convenience,"   19.0736885, 47.4959225  ","Food, beverages",19.0736885,47.4959225
9038,Point,convenience,"   19.036674, 47.5401586  ","Food, beverages",19.036674,47.5401586
9039,Point,convenience,"   19.1845247, 47.4427127  ","Food, beverages",19.1845247,47.4427127
9041,Point,convenience,"   18.9172757, 47.431561  ","Food, beverages",18.9172757,47.431561
9042,Point,convenience,"   18.9877186, 47.4050681  ","Food, beverages",18.9877186,47.4050681
9044,Point,convenience,"   19.0569494, 47.6213924  ","Food, beverages",19.0569494,47.6213924
9045,Point,alcohol,"   18.9088382, 47.3226915  ","Food, beverages",18.9088382,47.3226915
9047,Point,convenience,"   19.0666607, 47.4990313  ","Food, beverages",19.0666607,47.4990313
9048,Point,convenience,"   19.0842531, 47.4879039  ","Food, beverages",19.0842531,47.4879039
9049,Point,convenience,"   19.1184307, 47.3998804  ","Food, beverages",19.1184307,47.3998804
9051,Point,convenience,"   19.0572736, 47.5945401  ","Food, beverages",19.0572736,47.5945401
9052,Point,convenience,"   18.9044318, 47.6191787  ","Food, beverages",18.9044318,47.6191787
9053,Point,alcohol,"   18.9603913, 47.4554745  ","Food, beverages",18.9603913,47.4554745
9054,Point,butcher,"   19.1150217, 47.5211551  ","Food, beverages",19.1150217,47.5211551
9055,Point,convenience,"   19.0378206, 47.5003287  ","Food, beverages",19.0378206,47.5003287
9056,Point,convenience,"   19.0526023, 47.6161748  ","Food, beverages",19.0526023,47.6161748
9057,Point,convenience,"   19.0958744, 47.4407117  ","Food, beverages",19.0958744,47.4407117
9058,Point,convenience,"   19.0699874, 47.4925065  ","Food, beverages",19.0699874,47.4925065
9059,Point,convenience,"   19.1159089, 47.5170472  ","Food, beverages",19.1159089,47.5170472
9060,Point,convenience,"   19.1864808, 47.4034056  ","Food, beverages",19.1864808,47.4034056
9061,Point,convenience,"   18.9445852, 47.4034694  ","Food, beverages",18.9445852,47.4034694
9062,Point,convenience,"   19.2296318, 47.4248608  ","Food, beverages",19.2296318,47.4248608
9063,Point,convenience,"   19.2401909, 47.4832396  ","Food, beverages",19.2401909,47.4832396
9065,Point,convenience,"   19.0815147, 47.5013592  ","Food, beverages",19.0815147,47.5013592
9066,Point,convenience,"   19.2716905, 47.5961072  ","Food, beverages",19.2716905,47.5961072
9067,Point,bakery,"   19.1048411, 47.3483728  ","Food, beverages",19.1048411,47.3483728
9069,Point,convenience,"   19.0223337, 47.5001926  ","Food, beverages",19.0223337,47.5001926
9070,Point,alcohol,"   19.1631559, 47.6201142  ","Food, beverages",19.1631559,47.6201142
9072,Point,convenience,"   19.061029, 47.6028344  ","Food, beverages",19.061029,47.6028344
9074,Point,convenience,"   19.0597055, 47.5977702  ","Food, beverages",19.0597055,47.5977702
9075,Point,convenience,"   19.1187211, 47.5985282  ","Food, beverages",19.1187211,47.5985282
9076,Point,convenience,"   18.9158245, 47.6166163  ","Food, beverages",18.9158245,47.6166163
9077,Point,alcohol,"   18.9878113, 47.3599143  ","Food, beverages",18.9878113,47.3599143
9078,Point,convenience,"   19.2591999, 47.4005799  ","Food, beverages",19.2591999,47.4005799
9079,Point,convenience,"   19.2090479, 47.5333893  ","Food, beverages",19.2090479,47.5333893
