ID,poi shape,poi_type,coordinate,longitude,latitude
2976,Point,information," 19.0249152, 47.5065635 ",19.0249152,47.5065635
2977,Point,information," 19.0388051, 47.50628 ",19.0388051,47.50628
2978,Point,information," 19.0322263, 47.5114154 ",19.0322263,47.5114154
2980,Point,information," 18.9505212, 47.4101612 ",18.9505212,47.4101612
2984,Point,information," 19.0612967, 47.4892797 ",19.0612967,47.4892797
2985,Point,information," 19.0393509, 47.5058687 ",19.0393509,47.5058687
2986,Point,information," 19.0577146, 47.4871677 ",19.0577146,47.4871677
2987,Point,information," 19.0244398, 47.5067313 ",19.0244398,47.5067313
2988,Point,information," 19.0465446, 47.4745556 ",19.0465446,47.4745556
2989,Point,information," 19.0482894, 47.5130885 ",19.0482894,47.5130885
2991,Point,information," 19.0531991, 47.4834587 ",19.0531991,47.4834587
2992,Point,information," 19.0249917, 47.5074269 ",19.0249917,47.5074269
3013,Point,information," 19.062434, 47.4765009 ",19.062434,47.4765009
3014,Point,information," 19.0396644, 47.6176199 ",19.0396644,47.6176199
