id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
1285,9.094117647,1,3,1,3,19.0556598,47.5074859,VI,1,1,street,,0,0
1286,7.730769231,1,1,1,2,19.1191994,47.4547533,XIX,0,,street,,0,0
1293,8.828571429,1,2,1,1,19.146757,47.48265,X,0,,street,gas,0,0
1298,9.515384615,1,5,0,0,19.0157718,47.5307448,II,1,,garden,,1,0
1307,8.490196078,1,1,1,0,19.0217214,47.4990917,XII,1,,,,0,0
1308,6.892307692,1,2,0,3,19.0639494,47.5073415,VI,1,,,,0,0
1311,9.28,1,1,0,3,19.0362538,47.5185701,II,0,,,,0,0
1314,8.351351351,1,2,0,0,19.0684182,47.5068101,VI,0,,street,,0,0
1315,8.712765957,1,3,1,3,19.03333813,47.49690888,I,1,,,,0,0
1316,8.757894737,1,3,0,1,19.0346504,47.4877291,I,1,,panoramic,,0,0
1318,9.166666667,1,2,0,1,19.0402968,47.4569186,XI,1,,,,0,0
1321,7.872727273,1,2,0,0,19.0314756,47.4607106,XI,0,,,,0,0
1324,9.333333333,1,2,0,2,19.0605018,47.5071413,VI,1,,street,,0,0
1326,9.098039216,1,2,0,1,19.1185811,47.5194844,XIV,0,,,,0,0
1327,7.392405063,1,2,0,3,19.07335023,47.49140683,VIII,1,,,,0,0
1328,7.732142857,1,1,1,2,19.042056,47.4736318,XI,0,,street,,0,0
1339,7.309090909,1,2,0,1,19.0587434,47.407535,XXI,1,,,,0,0
1340,9.275,1,1,0,3,19.0827925,47.4952148,VIII,0,,,,0,0
1341,8.244444444,1,1,1,0.5,19.0067887,47.523437,II,1,,,,0,0
1342,7.830985915,1,2,1,3,19.0865149,47.5255403,XIII,1,1,garden,,0,0
1344,7.388059701,1,3,0,2,19.0411423,47.5332926,III,1,1,panoramic,,0,0
1345,8.26744186,1,2,0,2,19.0666504,47.4962856,VII,1,,street,,0,0
1346,6.541176471,1,2,0,1,19.0656057,47.4953642,VIII,1,1,street,,0,0
1347,6.081967213,1,2,0,3,19.1163719,47.586749,IV,0,,street,,0,0
1352,8.169811321,1,2,0,1,19.0188354,47.5011282,XII,0,,street,,0,0
1353,8.825396825,1,2,0,1.5,19.1047437,47.5045361,XIV,0,,street,,0,0
1354,9.223880597,1,3,0,2,19.0632519,47.5068373,VI,1,,,,0,0
1357,6.823529412,1,2,0,2,19.0692971,47.4967041,VII,1,,street,,0,0
1358,8.431818182,1,2,0,3,19.0954441,47.4812387,VIII,0,,,,0,0
1363,9,1,2,0,0.5,19.0608395,47.5069155,VI,1,,street,,0,0
1366,7.726190476,1,3,0,1,19.0665541,47.5112259,VI,1,,street,,0,0
1367,7.173913043,1,3,0,2,19.0411423,47.5332926,III,1,,street,,0,0
1376,9.28,1,2,0,1,19.1218916,47.540215,XV,1,,,,0,0
1382,7.388059701,1,2,1,4,19.0899307,47.5604214,IV,0,,,,0,0
1384,8.244444444,1,2,0,-2,19.039038,47.49389,I,0,,,,0,0
1387,7.615384615,1,2,0,1,19.0236494,47.4944056,XII,1,,street,,0,0
1392,8.553846154,1,2,0,2,19.0709015,47.4917504,VIII,1,,street,,0,0
1399,8.592592593,1,1,2,2,19.0876811,47.5346205,XIII,0,,street,,0,0
1402,8.375,1,1,1,1,19.1289694,47.50566,XIV,1,,,,0,0
1407,6.483870968,1,2,0,0,19.0008038,47.4657382,XI,0,,garden,,0,0
1411,9.094117647,1,3,0,3,19.05519825,47.50726435,VI,1,,street,,0,0
1415,7.857142857,1,2,0,3,19.03182927,47.50689335,I,1,,garden,,0,0
1422,8.24,1,3,0,4,19.0691392,47.5064657,VI,1,,street,,0,0
1424,8.25,1,2,0,2,19.0709015,47.4917504,VIII,1,,street,,0,0
1425,7.173913043,1,2,0,3,19.07070838,47.48945953,VIII,0,,street,,0,0
1427,8.436363636,1,1,2,2,19.0190613,47.4850228,XII,0,,garden,,0,0
1428,6.225806452,1,2,0,2,19.0606211,47.5074419,VI,1,,,,0,0
1430,9.183673469,1,3,0,2,19.05807,47.492688,V,1,,street,,0,0
1433,6.80952381,1,4,1,2,19.0318634,47.5071115,I,0,,panoramic,,0,0
1435,6.921052632,1,2,0,3,19.0648675,47.4849967,IX,1,,street,,0,0
1436,8.717948718,1,1,0,1,19.0958991,47.520857,XIV,0,,,,0,0
1439,9.275,1,2,1,2,19.0518555,47.51886,XIII,0,,street,,0,0
1443,6.071428571,1,2,0,0.5,19.1271185,47.4302613,XX,0,,,,0,0
1446,0,1,1,1,5,19.047687,47.4712763,XI,1,,street,,0,0
1455,6.64516129,1,2,1,2,19.0976582,47.5105004,XIV,1,,street,,0,0
1456,8.04,1,2,0,0,19.163727,47.4692273,X,0,,street,,0,0
1459,8.375,1,2,0,1,19.035453,47.471454,XI,0,,garden,,0,0
1460,8.614285714,1,3,0,3,19.0821289,47.478859,IX,1,,street,,0,0
1463,8.54,1,1,1,2,19.0757199,47.4959009,VIII,0,0,street,,0,0
1465,7.128205128,1,3,0,1,19.0064849,47.5117905,II,0,,garden,,0,0
1466,9.333333333,1,2,0,3,19.0343794,47.4544317,XI,0,,street,,0,0
1471,7.796460177,1,3,0,0.5,19.092538,47.511602,XIV,0,,,,1,0
1472,8.614285714,1,2,1,2,19.0821289,47.478859,IX,1,,street,,0,0
1474,7.893617021,1,1,1,4,19.090421,47.5402078,XIII,1,,street,,0,0
1477,8.849557522,1,2,0,3,19.0656773,47.4832795,IX,1,1,street,,0,0
1485,9.266666667,1,1,1,2,19.0634868,47.5055425,VI,1,,street,,0,0
1489,8.04,1,2,0,3,19.0670591,47.512111,VI,0,,,,0,0
1494,7.732142857,1,2,2,3,19.0841315,47.5419569,XIII,0,,panoramic,,0,0
1495,8.25,1,2,0,1.5,19.0260026,47.5197756,II,1,,,,0,0
1499,8.7,1,2,0,2,19.0737125,47.4876032,VIII,1,,,,0,0
1507,9,1,1,2,0,19.043269,47.460066,XI,0,,garden,,0,0
1510,6.6,1,2,1,1,19.0917686,47.56200577,IV,1,,,,0,0
1511,7.329896907,1,2,1,3,19.0623383,47.5056597,VI,0,,street,,0,0
1514,6.4375,1,3,0,3,19.0382749,47.510367,II,0,,street,,0,0
1517,8.018518519,1,2,0,2,19.12111,47.4669079,IX,1,,street,,0,0
1522,7.734375,1,2,1,2,19.0383974,47.5041548,I,1,,street,,0,0
1525,9.419354839,1,1,2,3,19.0582301,47.4898959,V,0,,street,,0,0
1530,8.967741935,1,3,0,0.5,19.0321287,47.4778304,XI,0,,street,,0,0
1536,7.96969697,1,2,1,3,19.0303232,47.4711197,XI,0,,street,,0,0
1537,7.083333333,1,1,0,1,19.0917436,47.5415765,XIII,1,,street,,0,0
1538,8.436363636,1,2,1,2,19.0146926,47.460401,XI,1,,,district,0,0
1543,6.628571429,1,2,0,4,19.0515528,47.5122255,XIII,1,,street,,0,0
1557,7.850746269,1,1,1,3,19.0269394,47.4975728,I,0,,street,,0,0
1563,7.305555556,1,1,0,1,19.080524,47.543461,XIII,0,,,,0,0
1570,9.027777778,1,1,0,0,19.0925119,47.4829534,VIII,0,,,,0,0
1575,8.784313725,1,2,0,2,19.0872405,47.5031171,VII,1,,,,0,0
1580,8.5,1,4,0,2,19.1870527,47.444002,XVIII,0,,garden,,0,0
1581,7.575,1,1,0,1,19.0255281,47.5825759,III,1,,panoramic,,0,0
1584,9,1,3,1,3,19.0700322,47.4917254,VIII,1,,street,,0,0
1586,8.212765957,1,1,1,2,19.118362,47.515737,XIV,0,,,,0,0
1587,8.461538462,1,2,0,2,19.0709015,47.4917504,VIII,1,,street,,0,0
1594,7.563829787,1,2,1,2,19.065976,47.5012849,VII,0,,street,,0,0
1596,6.823529412,1,2,0,2,19.0551091,47.4905287,V,1,1,street,central,0,0
1599,8.469565217,1,4,1,1,19.0388413,47.4228045,XXII,0,,,,1,0
1605,6.339285714,1,2,0,3,19.1684864,47.4382961,XVIII,1,,street,,0,0
1607,6.866666667,1,1,0,1,19.102148,47.575865,IV,0,,garden,,0,0
1608,6.27027027,1,2,0,1,19.0688085,47.4797302,IX,0,,street,,0,0
1610,5.973333333,1,2,0,3,19.0608395,47.5069155,VI,1,,street,,0,0
1611,7.872727273,1,2,0,0,19.0259651,47.4750937,XI,0,,,,0,0
1614,7.329896907,1,3,1,3,19.0608395,47.5069155,VI,0,,street,,0,0
1617,8.553571429,1,2,1,3,19.10905232,47.51592205,XIV,1,,garden,,0,0
1620,5.848484848,1,1,1,0.5,19.134138,47.523469,XIV,0,,street,,0,0
1622,7.274509804,1,3,1,0.5,19.0116877,47.4940868,XII,0,,street,,0,0
1623,7.893617021,1,1,1,1,19.1423892,47.552195,XV,1,,,,0,0
1625,7.581818182,1,2,0,2,19.0287498,47.490948,XII,1,,street,,0,0
1629,8.065217391,1,1,1,1,19.0667778,47.4797585,IX,1,,,district,0,0
1634,6.181818182,1,2,0,2,19.0685239,47.4194479,XXI,0,,street,,0,0
1638,7.923076923,1,1,0,0,19.0833054,47.5616817,IV,0,,street,,0,0
1645,5.973333333,1,2,0,3,19.0608395,47.5069155,VI,1,,street,,0,0
1649,7.134615385,1,1,1,1,19.061708,47.509114,VI,1,,,,0,0
1653,8.833333333,1,1,1,3,19.047687,47.4712763,XI,1,,street,,0,0
1655,8.375,1,1,1,4,19.0221956,47.4989384,XII,0,0,,gas,0,0
1657,7.526315789,1,3,0,2,19.0371563,47.5052067,I,0,,,,0,0
1659,7.716666667,1,2,1,3,19.0669744,47.4821753,IX,1,,,,0,0
1664,8.5,1,4,0,2,19.1899466,47.4467465,XVIII,0,,street,,0,0
1667,9.333333333,1,1,1,3,19.034444,47.4553184,XI,0,,street,,0,0
1670,9.068965517,1,2,1,1,19.0846437,47.5385524,XIII,0,,street,,0,0
1673,7.311827957,1,3,0,2,19.1185811,47.5194844,XIV,1,,street,,0,0
1677,7.942857143,1,1,2,3,19.1077794,47.5778015,IV,0,,garden,,0,0
1679,8.685393258,1,3,0,1,19.0744606,47.5141035,VI,1,,street,,0,0
1681,7.388059701,1,2,0,2,19.0832444,47.5055317,VII,1,,street,,0,0
1684,9.363636364,1,2,0,2,19.0596086,47.5212672,XIII,1,,,,0,0
1685,9.28,1,2,0,2,19.0346451,47.5376292,III,1,0,street,,0,0
1688,8.933333333,1,3,1,2,19.056253,47.502165,VI,1,,,,0,0
1693,8.96,1,3,0,3,19.0633949,47.5023351,VII,0,,street,,0,0
1697,9,1,2,0,3,19.04431555,47.47655005,XI,1,,garden,,0,0
1705,8.176470588,1,1,2,2,19.0169775,47.4606357,XI,1,,street,,0,0
1708,8.709090909,1,2,0,2,19.0753996,47.5305046,XIII,1,,,,0,0
1710,5.054545455,1,3,0,1,19.0773951,47.4867636,VIII,0,,street,gas,0,0
1711,9.094117647,1,3,1,3,19.05566,47.5074852,VI,1,0,street,,0,0
1715,5.842105263,1,1,0,0.5,19.0475933,47.4771689,XI,1,,,,0,0
1716,6.513157895,1,2,0,3,19.0648675,47.4849967,IX,1,,street,,0,0
1717,8.583333333,1,2,2,4,19.0547231,47.5154438,XIII,0,,street,district,0,0
1720,8.375,1,1,1,1,19.1157861,47.5253208,XIV,0,,street,,0,0
1723,9.098039216,1,1,1,2,19.0164794,47.5062479,XII,0,,panoramic,,0,0
1724,8.092105263,1,2,0,4,19.06277069,47.50575591,VI,0,,street,,0,0
1728,9.098039216,1,1,1,2,19.0971353,47.5090836,XIV,1,,street,,0,0
1729,8.6875,1,2,0,3,19.034444,47.4553184,XI,0,,street,,0,0
1731,8.6875,1,1,0,1,19.0106134,47.4616502,XI,0,,garden,,0,0
1732,8.592592593,1,2,0,1.5,19.0596471,47.495247,VII,0,,,,0,0
1733,5.773333333,1,2,0,1,19.012071,47.4649911,XI,0,,street,,0,0
1735,7.514285714,1,2,1,1,19.038545,47.4747264,XI,0,,street,,0,0
1737,7.414285714,1,2,0,1,19.0653514,47.4926082,VIII,1,,street,,0,0
1741,7.414285714,1,2,0,1,19.0653514,47.4926082,VIII,1,0,street,,0,0
1742,7.536585366,1,1,1,0.5,19.0883344,47.5302717,XIII,1,,,,0,0
1744,9.276923077,1,2,0,3,19.0318612,47.4893216,I,1,,street,gas,0,0
1746,8.375,1,2,0,0.5,19.052379,47.4719236,XI,0,,street,,0,0
1749,8.490196078,1,2,0,2,19.0330936,47.4541744,XI,0,,street,,0,0
1750,5.220588235,1,3,0,0,19.057377,47.588619,III,0,,street,,0,0
1752,8.6875,1,2,0,3,19.034191,47.4546629,XI,0,,street,,0,0
1759,8.553191489,1,1,0,3,19.0625813,47.509863,VI,1,,street,,0,0
1761,7.484210526,1,2,1,2,19.065976,47.5012849,VII,0,,street,,0,0
1763,7.25,1,1,2,0,19.1428648,47.5330457,XV,1,,street,,0,0
1765,9.28,1,1,2,1,19.10179877,47.50464026,XIV,0,,garden,,0,0
1767,6.337349398,1,2,0,2,19.0723055,47.496285,VIII,1,,,,0,0
1769,6.492957746,1,2,0,2,19.0856307,47.5047254,VII,1,,street,,0,0
1770,7.596491228,1,2,0,2,19.0285855,47.4954073,I,1,,,,0,0
1773,9,1,2,0,0.5,19.0585739,47.508931,VI,1,,street,,0,0
1776,6.871794872,1,3,0,0.5,19.091241,47.5109574,XIV,0,,garden,,0,0
1777,8,1,1,0,1,19.0686682,47.5004917,VII,1,1,street,gas,0,0
1780,7.1,1,1,0,3,19.120052,47.514724,XIV,1,,street,,0,0
1798,8.754716981,1,2,0,0.5,19.1035964,47.5693615,IV,1,,,,0,0
1802,8.018518519,1,2,0,2,19.0665121,47.5282487,XIII,1,1,,,0,0
1807,9.244444444,1,2,1,1,19.0346504,47.4877291,I,1,,panoramic,,0,0
1812,8.933333333,1,4,0,0,19.0325108,47.4919463,I,0,,garden,,1,0
1815,9.146341463,1,2,0,3,19.0645768,47.4854144,IX,0,,street,,0,0
1816,8.923076923,1,1,1,3,19.0659034,47.5282669,XIII,1,,street,,0,0
1817,7.606557377,1,2,1,2,19.0519825,47.5155048,XIII,1,1,,,0,0
1818,6.476190476,1,4,1,1,19.2736252,47.4814597,XVII,0,,street,,0,0
1831,8.614285714,1,2,1,3,19.0821289,47.478859,IX,1,,street,,0,0
1846,8.095238095,1,1,0,1,19.009262,47.494385,XII,0,,garden,,0,0
1848,8.427272727,1,4,0,1,19.0265023,47.526998,II,1,,panoramic,,0,0
1849,6.18,1,3,0,4,19.0537391,47.4771838,XI,1,,,,0,0
1853,7.734375,1,3,0,2,19.0636066,47.5179553,XIII,1,,street,,0,0
1865,7.138461538,1,2,0,1,19.0236979,47.4944098,XII,1,,street,,0,0
1869,7.7,1,4,0,0,19.0252087,47.5446418,III,1,,garden,,0,0
1873,6.619047619,1,2,1,2,19.0675842,47.4929953,VIII,1,,street,,0,0
1874,7.343283582,1,1,2,3,19.0558892,47.5684899,III,0,,,,0,0
1878,7.395833333,1,1,0,1,19.0930438,47.541333,XIII,1,,street,,0,0
1879,8.21875,1,1,2,2,19.0636066,47.5179553,XIII,0,,street,,0,0
1882,8.833333333,1,1,0,0,19.0150153,47.4894384,XII,0,,,,0,0
1883,5.225352113,1,3,0,4,19.1377841,47.5461263,XV,0,,street,,0,0
1885,6.686567164,1,2,0,1,19.11512189,47.51740358,XIV,0,,street,,0,0
1886,8.532,1,4,2,1,18.9909555,47.4886549,XII,0,,panoramic,,1,0
1887,7.173913043,1,3,0,2,19.0421335,47.5335939,III,1,,street,,0,0
1889,8.148648649,1,2,1,1,19.036608,47.4953555,I,0,,street,,0,0
1890,9.088235294,1,2,2,0,19.0614513,47.5231554,XIII,1,,street,,0,0
1891,7.988764045,1,3,0,1,19.0744606,47.5141035,VI,1,,street,,0,0
1897,8.176470588,1,2,0,2,19.0333275,47.491544,I,1,,street,,0,0
1901,8.298507463,1,3,0,2,19.0771284,47.4999762,VII,1,,panoramic,,0,0
1904,8.717948718,1,1,0,0,18.9997839,47.519884,II,1,,street,,0,0
1907,8.666666667,1,3,0,1,19.0346504,47.4877291,I,1,,panoramic,,0,0
1909,8.967741935,1,2,1,1,19.022093,47.4996733,XII,0,,street,,0,0
1915,8.4,1,3,0,2,19.0816288,47.5055111,VII,1,1,street,circulating,0,0
1917,7.42,1,1,1,2,19.1080421,47.5783651,IV,0,,street,,0,0
1919,7.733333333,1,2,0,1,19.06734468,47.48088349,IX,0,,street,,0,0
1921,7.810526316,1,3,0,2,19.02606611,47.50521934,I,0,1,street,,0,0
1925,6.590163934,1,2,1,3,19.0184783,47.4943336,XII,0,,,,0,0
1927,6.689189189,1,3,0,3,19.0468847,47.5990156,III,0,,street,,0,0
1933,6.831168831,1,2,1,3,19.0791943,47.4894083,VIII,1,1,street,,0,0
1934,7.483870968,1,2,0,1,19.0632519,47.5068373,VI,1,1,street,,0,0
1935,8.204081633,1,1,1,3,19.1375276,47.5045796,XIV,1,,,,0,0
1939,9.090909091,1,3,0,1,19.0686969,47.4977584,VII,0,,,,0,0
1940,8.5,1,1,0,2,19.0730521,47.506094,VII,1,,,,0,0
1947,6.1875,1,3,0,2,19.027755,47.492569,XII,0,,panoramic,,0,0
1950,9,1,3,0,2,19.0713586,47.5100519,VI,0,,street,,0,0
1951,8.857142857,1,2,0,2,19.0647337,47.5058536,VI,1,,street,,0,0
1952,9.094117647,1,3,1,3,19.05566,47.5074852,VI,1,1,street,,0,0
1954,8.833333333,1,2,1,3,19.0678906,47.5382123,XIII,1,,,,0,0
1958,7.988764045,1,2,0,1,19.0661169,47.507102,VI,1,,street,central,0,0
1961,8.333333333,1,5,0,1,19.0000605,47.5016865,XII,0,,panoramic,,0,0
1963,7.25,1,3,0,4,19.1511026,47.5198018,XVI,1,,street,,0,0
1973,9.048780488,1,1,0,2,19.0402933,47.5368077,III,1,,garden,,0,0
1979,8.947368421,1,4,0,0.5,19.029508,47.5011705,I,0,,street,,0,0
1983,8.375,1,3,0,1,19.0652713,47.4880951,VIII,1,,street,,0,0
1986,7.735294118,1,2,1,1,19.0365639,47.522079,II,1,,,,0,0
1997,7.846153846,1,2,1,4,19.038545,47.4747264,XI,0,,street,,0,0
2006,8.614285714,1,2,0,1,18.9874477,47.528012,II,0,,,,0,0
2008,8.131578947,1,1,0,0,19.08294854,47.53984163,XIII,1,,,,0,0
2014,8.349206349,1,2,0,0.5,19.0632519,47.5068373,VI,1,,,,0,0
2016,8.684210526,1,2,0,1,19.0188354,47.5011282,XII,0,,street,,0,0
2020,8.073170732,1,1,0,3,19.13071642,47.50352904,XIV,0,,street,,0,0
2021,8.684210526,1,2,0,1,19.0188354,47.5011282,XII,0,,street,,0,0
2023,7.733333333,1,3,0,1,19.126314,47.514373,XIV,1,,garden,,0,0
2026,7.128205128,1,1,0,1,19.1068045,47.5036971,XIV,1,,street,,0,0
2028,7.222222222,1,1,1,4,19.1271185,47.4302613,XX,1,,,,0,0
2032,9.271428571,1,2,2,2,19.0349342,47.4807822,XI,0,,street,,0,0
2036,8.617977528,1,2,1,2,19.065095,47.509459,VI,1,,street,,0,0
2039,7.357142857,1,2,1,1.5,19.05504762,47.50302084,V,1,,garden,,0,0
2043,8.588888889,1,3,0,0.5,19.0324989,47.5099752,II,0,,street,,0,0
2050,8.66,1,1,0,0,19.0145518,47.5163924,II,0,,,,0,0
2056,8.588888889,1,3,0,1,19.0710395,47.5050887,VII,0,,,,0,0
2057,8.1125,1,1,1,1,19.0234371,47.5806848,III,1,,panoramic,,0,0
2062,7.5,1,2,1,1,19.0099601,47.4902734,XII,0,,garden,,0,0
2063,6.823529412,1,2,0,3,19.0249806,47.5061886,I,0,,garden,,0,0
2065,7.810526316,1,3,0,0.5,19.0570999,47.519328,XIII,1,,street,,0,0
2068,9.272727273,1,2,0,2,19.0411423,47.5332926,III,1,,street,,0,0
2069,8.140350877,1,2,0,0.5,19.0034646,47.473366,XI,0,,,,0,0
2070,9.476190476,1,4,0,3,19.0513176,47.5119019,XIII,1,,street,,0,0
2071,9.28,1,2,0,1,19.0047625,47.4734393,XI,0,,panoramic,,0,0
2072,6.25,1,2,0,-2,19.0496841,47.4997367,V,1,,street,,0,0
2075,7.616438356,1,2,1,0.5,19.0494835,47.4736828,XI,0,,street,,0,0
2078,8.577777778,1,1,1,1,19.0202807,47.4975669,XII,1,,street,,0,0
2086,8.6875,1,2,1,1,19.0349342,47.4807822,XI,0,,street,,0,0
2093,8.326923077,1,1,1,2,19.0305722,47.4777806,XI,0,,,,0,0
2096,8.108910891,1,2,1,1,19.0617605,47.5052867,VI,0,,street,,0,0
2102,8.766666667,1,2,0,3,19.0662126,47.5107293,VI,1,1,,,0,0
2105,6.601941748,1,2,0,1,19.1218287,47.5176433,XIV,0,,,,0,0
2106,9.098039216,1,1,1,2,19.0236979,47.4944098,XII,0,,panoramic,,0,0
2107,6.628571429,1,2,0,1,19.0236979,47.4944098,XII,0,,street,,0,0
2112,9.230769231,1,3,0,2,19.2676786,47.4782226,XVII,1,,street,,0,0
2115,7.65,1,2,0,3,19.0574559,47.5054421,VI,1,,garden,,0,0
2116,8.766666667,1,2,0,3,19.059349,47.534,XIII,1,,street,,0,0
2119,7.942857143,1,2,0,0,19.1120379,47.5270199,XIV,0,,garden,,0,0
2120,9.266666667,1,3,0,1,19.0604959,47.4919704,V,0,,,,0,0
2121,7.942857143,1,1,0,1,19.0864157,47.5041143,VII,1,,street,,0,0
2124,7.138461538,1,2,0,1,19.0236979,47.4944098,XII,1,,street,,0,0
2128,8.152777778,1,3,0,2,19.0137998,47.4757389,XI,0,,panoramic,,0,0
2129,4.655913978,1,2,0,1,19.0745387,47.4968678,VIII,1,,street,,0,0
2130,9.28,1,2,0,3,19.0810199,47.4760613,IX,1,,,,0,0
2131,9.363636364,1,1,0,2,19.0745429,47.4941432,VIII,0,,street,,0,0
2135,8.018518519,1,2,0,4,19.0951219,47.477001,VIII,1,,,,0,0
2138,7.984615385,1,2,0,2,19.07064831,47.49192409,VIII,1,,street,,0,0
2139,8.246666667,1,5,0,1,18.9942482,47.5115395,XII,0,,,,0,0
2140,8.427272727,1,5,0,2,18.9998263,47.4877497,XII,0,,panoramic,,0,0
2141,8.803797468,1,3,1,3,19.0783184,47.5076808,VII,0,,,,0,0
2143,9.266666667,1,2,0,1,19.056969,47.497296,VII,1,1,panoramic,,0,0
2147,6.842857143,1,2,0,2,18.9760807,47.5286618,II,1,,panoramic,,0,0
2152,9.030769231,1,2,0,1,19.0666474,47.4992394,VII,1,,street,,0,0
2159,8.035714286,1,3,0,3,19.0579916,47.4949408,V,0,,street,,0,0
2160,8.035714286,1,3,0,3,19.0579916,47.4949408,V,0,,street,,0,0
2162,5.514285714,1,2,0,1,19.1005939,47.5062246,XIV,1,,street,,0,0
2167,6.625,1,2,0,3,19.073376,47.5027289,VII,1,1,,,0,0
2169,8.571428571,1,2,0,2,19.0575969,47.5038238,VI,1,,,circulating,0,0
2171,7.732142857,1,1,1,1,19.1337684,47.50565,XIV,1,,street,,0,0
2182,6.87037037,1,1,0,0,19.0826521,47.5022162,VII,1,,street,,0,0
2188,7.060606061,1,3,0,3,19.0247595,47.5095677,II,1,,street,,0,0
2190,1.307692308,1,5,1,3,19.0689949,47.4996269,VII,1,,street,,0,0
2197,7.724137931,1,2,1,2,19.0039959,47.4068078,XXII,0,,street,,0,0
2199,8.729411765,1,2,0,1,19.0518555,47.51886,XIII,0,,street,,0,0
2206,8.803797468,1,4,0,3,19.079233,47.508737,VII,0,,street,,0,0
2208,8.131578947,1,1,0,2,19.071682,47.5146299,VI,1,,,,0,0
2210,7.882352941,1,1,1,1,19.0970696,47.512788,XIV,0,,garden,,0,0
2211,4.313131313,1,1,0,-2,19.0324341,47.5263141,II,0,,,,0,0
2214,7.830985915,1,2,1,4,19.0754645,47.4773035,IX,1,,street,,0,0
2219,5.661971831,1,2,1,2,19.0692748,47.5061546,VI,0,,street,,0,0
2221,8.065217391,1,1,1,2,19.0799653,47.5062069,VII,0,,,,0,0
2222,6.983870968,1,1,1,3,19.0305722,47.4777806,XI,0,,garden,,0,0
2224,9.030769231,1,2,1,1.5,19.0315664,47.5316273,III,1,,panoramic,,0,0
2233,6.181818182,1,2,0,2,19.109272,47.527921,XIV,1,,garden,,0,0
2234,8.292682927,1,3,0,0,19.0397127,47.4765781,XI,0,,,,0,0
2239,8.092307692,1,3,0,1,19.0398031,47.5466223,III,1,,,,0,0
2241,9.27,1,3,0,2,19.0134602,47.5378644,II,1,,panoramic,,0,0
2246,6.780701754,1,2,2,3,19.0554952,47.5231764,XIII,1,,street,,0,0
2247,8.928571429,1,2,0,3,19.1149659,47.4624036,IX,1,,,,0,0
2249,6.098591549,1,2,1,1,19.0719243,47.4917777,VIII,1,,street,,0,0
2250,6.177777778,1,2,1,1,19.1347277,47.5241541,XIV,0,,street,,0,0
2252,7.893617021,1,2,0,1,19.1421557,47.4715382,X,0,,,,0,0
2253,7.260869565,1,3,0,2,19.0588295,47.5075564,VI,1,1,street,,0,0
2259,7.272727273,1,2,0,2,19.0248371,47.5349997,III,0,,garden,,0,0
2263,9.276923077,1,2,0,0.5,19.03195264,47.53180115,III,1,,panoramic,,0,0
2265,9,1,2,0,2,19.03891164,47.53450417,III,1,1,street,,0,0
2272,7.148148148,1,2,0,3,19.0985323,47.5203361,XIV,1,0,garden,,0,0
2276,8.483870968,1,2,0,2,19.120052,47.514724,XIV,0,,street,,0,0
2279,6.132352941,1,2,1,3,19.188227,47.510081,XVI,0,,garden,,0,0
2280,8.244444444,1,1,0,0,18.988402,47.393095,XXII,0,,garden,,0,0
2286,8.627906977,1,1,0,0.5,19.0454309,47.4749802,XI,1,,street,,0,0
2293,7.810526316,1,3,0,4,19.0570999,47.519328,XIII,1,,street,,0,0
2295,6.183333333,1,2,1,3,19.08634881,47.47984757,IX,1,,,,0,0
2296,8.923076923,1,1,0,1,19.0391688,47.4944131,I,1,,street,,0,0
2309,8.923076923,1,1,1,1,19.0685177,47.5040877,VII,0,0,,,0,0
2313,8.285714286,1,2,0,0,19.0266776,47.4752972,XI,1,,street,,0,0
2320,8.8,1,2,0,1.5,19.0315664,47.5316273,III,1,,panoramic,,0,0
2322,8.663551402,1,4,0,1,18.9927013,47.5089183,XII,0,,panoramic,,0,0
2323,7.130769231,1,3,1,1,19.0321708,47.487178,I,0,,street,,1,0
2325,7.309090909,1,2,0,0.5,19.0266776,47.4752972,XI,1,,garden,,0,0
2327,8.260273973,1,3,1,0,18.976953,47.5247523,II,0,,garden,,1,0
2333,4.296296296,1,1,0,1,19.0014912,47.3984786,XXII,0,,street,,0,0
2338,8.62295082,1,2,0,1,19.0669817,47.5064442,VI,0,,street,,0,0
2340,9.615384615,1,3,0,3,19.059349,47.534,XIII,1,,panoramic,,1,0
2343,7.388059701,1,2,0,1,19.0153746,47.4836136,XII,1,,panoramic,,0,0
2344,7.732142857,1,2,0,1,19.0783184,47.5076808,VII,0,,,,0,0
2347,9.543209877,1,3,0,2,19.0778734,47.4753974,IX,1,,street,,0,0
2348,8.041666667,1,1,1,0.5,19.1056945,47.5033133,XIV,1,,street,,0,0
2351,9.272727273,1,1,0,1,19.0713955,47.5221461,XIII,1,,street,,0,0
2355,6.473684211,1,4,0,0,18.9917832,47.5057124,XII,1,,,,0,0
2358,9.345679012,1,3,0,1,19.0807795,47.4821898,IX,1,,,,0,0
2360,9.223880597,1,1,2,3,19.0729911,47.4759809,IX,1,,street,,0,0
2361,6.931034483,1,1,2,5,19.0872349,47.4243464,XXI,0,,street,,0,0
2368,6.780701754,1,2,2,3,19.0554952,47.5231764,XIII,1,,street,,0,0
2371,8.092307692,1,2,0,1,18.9796366,47.5274942,II,0,,garden,,0,0
2375,8.766666667,1,2,0,1,19.064272,47.508686,VI,0,,,,0,0
2381,8.923076923,1,2,0,0.5,19.0145894,47.5284666,II,0,,garden,,0,0
