id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
340,8.739130435,1,2,0,3,19.0744553,47.5341194,XIII,1,,garden,,0,0
343,5.963855422,1,2,1,2,19.0723778,47.4965668,VIII,0,,,,0,0
346,6.813559322,1,1,2,1,19.070102,47.427756,XXI,1,,street,,0,0
349,7.735294118,1,2,0,1,19.0798365,47.534317,XIII,0,,street,,0,0
351,7.216666667,1,1,1,3,19.0099601,47.4902734,XII,0,,street,,0,0
352,8.244444444,1,2,0,3,19.0852588,47.4859316,VIII,1,1,street,,0,0
357,9.211538462,1,1,1,0,19.1185811,47.5194844,XIV,0,,garden,,0,0
359,7.013333333,1,2,1,3,19.1068045,47.5036971,XIV,0,,,,0,0
362,8.839285714,1,1,1,2,19.0675842,47.4929953,VIII,1,,,,0,0
364,8.450704225,1,2,0,1,19.0744785,47.4815394,IX,1,,garden,central,0,0
365,8.1125,1,3,1,4,19.0823427,47.478173,IX,1,,garden,,0,0
366,9.233766234,1,1,0,3,19.12047636,47.51923648,XIV,1,,street,,0,0
367,8.244444444,1,1,1,3,19.0820269,47.5007509,VII,1,,,,0,0
371,7.942857143,1,1,1,1,19.1204255,47.5273211,XIV,0,,,,0,0
373,6.628571429,1,2,0,0,19.0645768,47.4854144,IX,1,,,,0,0
375,5.983870968,1,3,0,3,19.067806,47.4930153,VIII,1,,street,gas,0,0
376,7.357142857,1,1,0,3,19.0660395,47.5059232,VI,1,,,,0,0
377,8.169811321,1,1,1,0.5,19.0904773,47.5350959,XIII,1,,street,,0,0
383,8.8875,1,3,0,2,19.0269066,47.560516,III,1,0,,,0,0
387,8.825396825,1,3,0,1.5,19.1034324,47.5037932,XIV,0,,,,0,0
388,7.213333333,1,2,1,2,19.071895,47.515997,VI,0,,,,0,0
391,5.8,1,2,1,2,19.0569757,47.5139847,XIII,1,,,,0,0
463,7.988764045,1,1,1,1,19.0744606,47.5141035,VI,0,,,,0,0
467,9.317460317,1,2,0,1,19.038237,47.5049777,I,0,,,,0,0
471,8.385714286,1,2,0,0,19.0659948,47.5012895,VII,0,,,,0,0
472,7.733333333,1,2,0,2,19.1191795,47.5608274,XV,0,1,garden,,1,0
474,9.098039216,1,1,2,2,19.1118896,47.5048564,XIV,1,1,street,,0,0
475,7.733333333,1,2,1,3,19.0941656,47.5582645,IV,0,,,,0,0
476,9.098039216,1,1,2,2,19.1118896,47.5048564,XIV,1,,street,,0,0
482,8.76119403,1,1,2,1,19.1380528,47.5091814,XIV,0,,garden,,0,0
487,7.157407407,1,3,1,1,19.0606555,47.5085639,VI,0,1,street,,0,0
491,8.114754098,1,2,0,2,19.0764106,47.506819,VII,1,,garden,,0,0
495,8.125,1,3,0,4,19.0556792,47.4981878,VI,1,,street,,0,0
497,9.333333333,1,2,0,2,19.0561704,47.5101339,VI,1,,street,,0,0
501,7.983333333,1,2,0,1,19.06990755,47.4966348,VIII,0,,,,0,0
507,8.25,1,2,0,3,19.0608229,47.517189,XIII,0,,street,,1,0
508,7.071428571,1,2,1,1,19.0572728,47.4909335,V,1,,street,,0,0
509,7.626666667,1,3,0,-0.5,19.0838061,47.4781952,IX,1,,street,,0,0
511,7.983870968,1,1,2,2,19.1272731,47.5778135,XV,0,,street,,0,0
513,7.733333333,1,2,0,1,18.9868808,47.5209691,II,0,,,gas,0,0
515,7.465517241,1,1,1,3,19.103082,47.5278769,XIV,1,,,,0,0
516,7.220779221,1,2,1,1,19.0434996,47.4726027,XI,0,,street,,0,0
520,8.349206349,1,2,0,1.5,19.11451267,47.52300395,XIV,0,,street,,0,0
