ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude
1294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,850000, Ómátyásföld,-1,-1,1,not specified,0,0,0,-1,not available,0,3 room,3,0,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,no,separate,1,0,-1,-1,-1,loft conversion possible,1,-1,47.509827,19.19692
1295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,265,675471.6981, Radóc utca 20,-1,-1,1,panoramic,0,1,0,-1,available,1,7 room,7,0,renovated,0,0,1,0,0,0,luxury,0,0,1,-1,3,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1, Busz   108E   139   8E    Éjszakai   908   ,47.469948,19.003675
1296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,155,961290.3226, Testvérhegy,-1,-1,1,panoramic,0,1,0,-1,available,1,3 + 1 half room,3,1,mint,0,0,0,0,0,1,full comfort,0,1,0,AA,3,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.563854,19.013685
1297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,550,361818.1818, Fenyőerdő utca 34,-1,-1,1,panoramic,0,1,0,-1,not available,0,8 room,8,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,4,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.57091,18.958096
1298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,280,607142.8571, Mátyásföld – Petőfikert,-1,-1,1,garden view,1,0,0,-1,available,1,4 + 1 half room,4,1,mint,0,0,0,0,0,1,double comfort,1,0,0,A+,2,-1,combination boiler,0,0,1,0,yes,separate and together too,1,0,-1,-1,-1,loft conversion not possible,0,-1,47.50843,19.21695
1299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,150,606666.6667, Békásmegyer – Pusztadomb,-1,-1,1,garden view,1,0,0,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,full comfort,0,1,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.60341,19.05537
1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.99,105,666571.4286, II/A kerület – Széphalom,-1,-1,1,not specified,0,0,0,-1,not available,0,3 + 1 half room,3,1,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,1,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,-1,-1,-1,47.559986,18.959665
1301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,107,565420.5607, Rákoskeresztúr,-1,-1,-1,not specified,0,0,0,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,1,-1,renewable energy,0,0,0,0,not specified,separate,1,0,-1,-1,-1,-1,-1,-1,47.478596,19.246286
1302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.99,300,299966.6667, Szófia utca,-1,-1,1,garden view,1,0,0,-1,-1,-1,8 + 1 half room,8,1,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1, Busz   120   ,47.54732,19.09935
1303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,130,422307.6923, Baross Gábor-telep,-1,-1,1,garden view,1,0,0,-1,-1,-1,3 room,3,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,2,-1,combination boiler,0,0,1,0,no,not specified,-1,-1,-1,-1,-1,loft conversion possible,1,-1,47.41774,18.994717
1304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.89,230,182130.4348, Alsórákoshegy,-1,-1,1,not specified,0,0,0,-1,-1,-1,5 + 1 half room,5,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.460712,19.241833
1305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,150,532666.6667, Árpádföld,-1,-1,1,garden view,1,0,0,-1,available,1,5 room,5,0,not specified,0,0,0,0,0,0,luxury,0,0,1,AA++,2,-1,padlófűtés,0,0,0,0,yes,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.53294,19.199081
1306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4,185,256216.2162, Kossuth Ferenc-telep,-1,-1,1,street view,0,0,1,-1,-1,-1,3 + 2 half room,3,2,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,-1,-1,natural gas boiler,1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.40498,19.176844
1307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.49,76,559078.9474, Budatétény – Horgásztelep,-1,-1,-1,garden view,1,0,0,-1,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,2,-1,other,0,0,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,47.402393,19.02004
1308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,220,272272.7273, Csepel-Királyerdő,-1,-1,1,garden view,1,0,0,-1,available,1,3 room,3,0,not specified,0,0,0,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.40541,19.09597
1309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.9,120,615833.3333, Rákoskeresztúr,-1,-1,-1,not specified,0,0,0,-1,-1,-1,5 room,5,0,not specified,0,0,0,0,0,0,double comfort,1,0,0,AA++,2,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.478596,19.246286
1310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,220,454545.4545, Rákosszentmihály – Kisszentmihály,-1,-1,1,garden view,1,0,0,-1,available,1,6 room,6,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.539635,19.180216
1311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,300,416666.6667, Budafok,-1,-1,1,panoramic,0,1,0,-1,-1,-1,8 room,8,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.427578,19.02647
1312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.99,168,743988.0952, II/A kerület – Széphalom,-1,-1,1,panoramic,0,1,0,-1,not available,0,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,1,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,-1,-1,-1,47.559986,18.959665
1313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.99,280,196392.8571, Alsórákoshegy,-1,-1,1,not specified,0,0,0,-1,not available,0,6 room,6,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,1,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,loft conversion possible,1,-1,47.460712,19.241833
1314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,70,600000, Rákoscsaba-Újtelep,-1,-1,-1,not specified,0,0,0,-1,-1,-1,2 + 1 half room,2,1,in medium condition,0,0,0,1,0,0,not specified,0,0,0,-1,1,-1,not specified,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.498466,19.280668
1315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.9,365,383287.6712, Mikes utca,-1,-1,1,not specified,0,0,0,-1,-1,-1,7 + 1 half room,7,1,in good condition,0,1,0,0,0,0,luxury,0,0,1,-1,3,-1,natural gas boiler,1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion,1, Villamos   41   47B    Éjszakai   941   ,47.44053,19.01898
1316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,117,551282.0513, Rákoskeresztúr,-1,-1,1,not specified,0,0,0,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,1,-1,renewable energy,0,0,0,0,not specified,separate,1,0,-1,-1,-1,-1,-1,-1,47.478596,19.246286
