ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Accounting,ATM,Backery,Bank,Bar,Bus station,Cafe,Clothing store,Convenience store,Department store,Doctor,Gym,Laundry,Park,Pharmacy,Physiotherapist,Police,Post office,Restaurant,School,Store,Subway,Taxi stand,Transit station,Beauty salon,Hair care,Book store,Library,Gas station,Shopping mall,Hospital,Meal delivery,Meal takeaway,Travel agency,Car repair,Car wash,Parking,Casino,Movie theater,Night clubs,Real Estate Agency
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339900,105,3237.142857, II/A kerület – Máriaremete,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,4 room,4,0,mint,0,0,0,0,0,1,full comfort,0,1,0,-1,1,2,-1,combination boiler,0,0,1,0,0,no,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.558613,18.945063,47.558613,18.945063,1029,2,1,0,1,0,0,20,0,0,0,8,2,3,1,2,,0,0,0,4,5,17,,0,20,5,2,0,0,20,20,20,14,0,0,20,20,0,0,10,0,1
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034272,450,2298.382222, Istenhegy,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,2,-1,natural gas boiler,1,0,0,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.50405,18.999819,47.50405,18.999819,1125,12,1,2,4,3,0,20,1,1,0,20,18,2,1,3,,0,0,0,9,18,20,,0,20,8,2,0,1,20,20,20,20,0,5,20,20,1,0,20,0,7
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808025,198,4080.934343, II/A kerület – Pesthidegkút-Ófalu,-1,-1,1,garden view,1,0,0,-1,-1,available,1,5 room,5,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,0,3,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.56973,18.95969,47.56973,18.95969,1028,2,0,2,1,2,1,10,1,2,0,9,3,2,0,2,,0,0,1,4,7,20,,0,10,3,3,0,0,20,20,20,15,0,0,20,20,0,0,6,0,0
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454445,400,3636.1125, Szemlőhegy,-1,-1,1,garden view,1,0,0,-1,-1,available,1,8 room,8,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,4,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.52432,19.028393,47.52432,19.028393,1025,2,6,14,10,10,10,20,15,15,0,20,15,9,0,15,,0,0,1,20,20,20,,0,20,20,11,3,1,20,20,20,20,3,7,20,20,5,0,20,6,16
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808025,629,1284.618442, Hűvösvölgyi út 127,-1,-1,1,garden view,1,0,0,-1,-1,available,1,9 room,9,0,newly built,1,0,0,0,0,0,double comfort,1,0,0,-1,0,3,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   56   56A   59B   61    Busz   129   29    Éjszakai   956   ,47.530003,18.97935,47.530003,18.97935,1021,2,2,1,0,0,0,13,1,2,0,20,4,4,1,2,,0,0,0,5,11,20,,0,19,1,0,1,2,20,20,20,20,0,0,20,20,1,0,20,2,2
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595000,250,2380.0, II/A kerület – Pesthidegkút-Ófalu,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,5 room,5,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,CC,0,4,-1,gáz (cirko),1,0,0,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.56973,18.95969,47.56973,18.95969,1028,2,0,2,1,2,1,10,1,2,0,9,3,2,0,2,,0,0,1,4,7,20,,0,10,3,3,0,0,20,20,20,15,0,0,20,20,0,0,6,0,0
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808025,240,3366.770833, Endrődi Sándor utca,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,3,-1,gáz (cirko),1,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   11   111   149    Éjszakai   931   ,47.52378,19.00657,47.52378,19.00657,1026,2,2,7,3,5,3,20,6,4,1,20,4,10,2,5,,0,0,3,20,20,20,,0,20,15,6,3,1,20,20,20,20,0,2,20,20,3,0,20,0,15
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808025,250,3232.1, Törökvész,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,renovated,0,0,1,0,0,0,luxury,0,0,1,-1,0,4,-1,natural gas boiler,1,0,0,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.521687,19.003485,47.521687,19.003485,1026,2,3,6,3,6,3,20,6,6,1,20,7,12,13,6,,0,0,4,20,20,20,,0,20,14,7,3,1,20,20,20,20,0,4,20,20,4,0,20,0,13
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650300,350,1858.0, II/A kerület – Pesthidegkút-Ófalu,-1,-1,1,not specified,0,0,0,-1,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,1,3,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.56973,18.95969,47.56973,18.95969,1028,2,0,2,1,2,1,10,1,2,0,9,3,2,2,2,,0,0,1,4,7,20,,0,10,3,3,0,0,20,20,20,15,0,0,20,20,0,0,6,0,0
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616050,502,3219.223108, Kissvábhegy,-1,-1,-1,panoramic,0,1,0,-1,-1,-1,-1,6 room,6,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,0,-1,-1,not specified,0,0,0,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.502213,19.01265,47.502213,19.01265,1122,12,9,14,15,11,20,20,16,14,1,20,20,19,2,8,,4,1,2,20,20,20,,0,20,20,20,7,4,20,20,20,20,1,12,20,20,3,0,20,2,20
