ID,Web: Alberlet,Web: Ingatlan,Web: Tower,Apartment,House,For Sale,For Rent,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number of half rooms,Type of the building,Type of the building: Brick apartment,Type of the building: Block apartment,"Type of building: Castle, villa",Type of building: house,Type of the building: Part of house,Type of the building: Raw house,Type of building: Semi detached house,Deposit,Utilities,Common cost,Furniture,Furtniture: Furnished,Furtniture: Equipped,Furniture: Partly furnished,Furniture: Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
3292,1,0,0,0,1,0,1,464,130,3.569230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Petőfi út,"
                4 rooms                            ",4,0,House,0,0,0,1,0,0,0,927,155,-1,"Furnished, equipped",1,1,0,0,-1,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,1,-1,-1,-1,,,"Budapesti Gazdasági Főiskola - BGF ( 0.931 km )Budapesti Gazdasági Főiskola - BGF PSZFK ( 0.895 km )Budapesti Kommunikációs Főiskola - BKF ( 1.357 km )Evangélikus Hittudományi Egyetem - EHE ( 0.873 km )

                    More
                    



",47.4489449,19.1394908,47.4489449,19.1394908,1196,19,1.849961617,8.516044848,7.177210009,9.314519724,10.41918887,8.559179567,4.315924892,8.054317935,7.544952508,7.446269371,7.446269371,7.286499333,6.678713233,7.194733894,6.396431177,8.870003192,7.410944716,6.21903807,8.270888156,8.491874754,14.13525805,7.359257218,8.020722733,13.45128891,5.470249013,12.33574758,7.312447366,6.898122637,9.97502482,7,7,0,0,10,0,0,6,0,0,0,1,0,0,0,0,16
3293,1,0,0,0,1,0,1,91,6,15.16666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Koszorú utca,"
                1 room                            ",1,0,House,0,0,0,1,0,0,0,3,53,-1,Partly furnished,0,0,1,0,-1,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,,,,47.4904586,19.0799919,47.4904586,19.0799919,1086,8,0.149681947,2.301522876,1.250431669,2.907260508,4.334383533,14.17650964,1.299568169,1.632736508,1.16829431,1.220512458,1.220512458,2.081302415,3.881490653,0.809749015,4.509740323,2.548371065,1.722025531,1.105197252,1.848432958,2.135254601,8.20899084,1.381694182,4.127492233,7.280735982,1.040344053,5.946332588,1.080973231,0.99581631,4.199856518,110,49,0,14,45,6,17,19,2,0,46,47,2,71,1,4,290
3294,1,0,0,0,1,0,1,386,30,12.86666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rákász utca,"
                1 room                            ",1,0,House,0,0,0,1,0,0,0,773,77,-1,"Furnished, equipped",1,1,0,0,-1,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,-1,1,-1,-1,-1,,,,47.5015302,19.1549042,47.5015302,19.1549042,1106,10,4.453049402,7.847744021,5.338219883,7.421471467,9.787122875,10.12540846,7.048516651,6.870519965,6.699727789,6.908056962,6.908056962,7.786027323,2.397258724,6.414342052,1.576395723,7.911607135,7.481292737,6.558658368,6.804106248,6.633008381,10.14740388,7.136102508,3.586995959,12.41253006,5.663677573,9.750605889,6.783906735,6.749872294,9.854957347,9,16,0,0,4,0,0,4,0,0,1,1,0,25,0,1,5
3295,1,0,0,0,1,0,1,2628,300,8.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tárkony utca,"
                8 rooms                            ",8,0,House,0,0,0,1,0,0,0,5255,93,-1,"Furnished, equipped",1,1,0,0,-1,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,-1,-1,-1,-1,"In District 2, on Tarkony Street, a 300 sqm, furnished, mechanized, renovated 3 storey, huge garden with two balconies, 8 rooms, 200 meters from a French school, 2 garages, 3 courtyard, kitchen, 3 bathrooms, fireplace, dog running, underfloor heating, solar collector, rentable from January to rent. 

The cost of housing is not too high because it has modern thermal insulation on the house and thermal insulation windows are installed and on top there are solar collectors. 
Pet Friendly House. Smoking outside the house is possible only! 
Optional, even unfurnished. 

Minimum rental period is 1 year. 
The house can be moved from January by paying a 2 month deposit and the rent for the current month.",,,,47.5658095,18.9539018,47.5658095,18.9539018,1028,2,3.222585244,10.59123919,12.10201443,9.823125393,8.915120631,26.50340344,5.463319684,11.00984365,11.51243975,11.62463091,11.62463091,12.0718263,14.32402617,11.86349703,15.12836254,10.20500061,11.79104023,12.90655493,10.82056906,10.6821578,7.511435176,11.7559299,13.15100911,6.13868982,13.58847895,6.990588613,11.75463272,12.19534392,9.62478312,7,10,0,2,4,0,4,2,0,0,1,1,0,21,0,1,68
3296,1,0,0,0,1,0,1,927,172,5.389534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Klapka György utca,"
                4 rooms                 + 1 half room            ",4,1,House,0,0,0,1,0,0,0,1855,124,-1,Empty,0,0,0,1,-1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,-1,1,-1,-1,ujotthon.alberlet.hu,,,,47.5520436,19.122654,47.5520436,19.122654,1154,15,0.095980978,8.203761861,6.340760093,6.659096287,9.267952964,15.93559514,6.275846256,7.296217451,7.600465916,7.972644149,7.972644149,9.307079284,4.882670695,7.587786175,5.162349654,7.923286058,8.775261978,8.66163454,6.966603867,6.472854326,5.282677175,8.359004667,3.705578131,10.62568691,8.292804007,6.915992397,7.941676621,8.292039941,9.849598053,9,6,0,1,8,0,1,4,0,0,0,0,0,0,0,3,70
3297,1,0,0,0,1,0,1,556,117,4.752136752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Klapka György utca,"
                2 rooms                            ",2,0,House,0,0,0,1,0,0,0,1113,77,-1,Empty,0,0,0,1,-1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,-1,1,-1,-1,ujotthon.alberlet.hu,,,,47.5520436,19.122654,47.5520436,19.122654,1154,15,0.095980978,8.203761861,6.340760093,6.659096287,9.267952964,15.93559514,6.275846256,7.296217451,7.600465916,7.972644149,7.972644149,9.307079284,4.882670695,7.587786175,5.162349654,7.923286058,8.775261978,8.66163454,6.966603867,6.472854326,5.282677175,8.359004667,3.705578131,10.62568691,8.292804007,6.915992397,7.941676621,8.292039941,9.849598053,9,6,0,1,8,0,1,4,0,0,0,0,0,0,0,3,70
3298,1,0,0,0,1,0,1,866,160,5.4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Cékla utca,"
                4 rooms                            ",4,0,Semi detached house,0,0,0,1,0,0,1,1731,185,-1,"Furnished, equipped",1,1,0,0,-1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,-1,-1,-1,-1,rieltor.alberlet.hu,,,,47.531224,19.209085,47.531224,19.209085,1162,16,6.771782558,12.50504855,9.973156104,11.60968015,14.24466359,10.79811655,11.87257479,11.47337197,11.45016379,11.72696208,11.72696208,12.78219461,6.848175186,11.22738302,6.197779218,12.45147317,12.40365974,11.62814787,11.30309093,10.98577968,12.1467918,12.01779814,7.199813122,16.44254144,10.79289542,13.11880661,11.62182394,11.6948578,14.5017765,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
3299,1,0,0,0,1,0,1,804,90,8.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lengyel utca,"
                3 rooms                 + 1 half room            ",3,1,Row house,0,0,0,1,0,1,0,1607,124,3,Empty,0,0,0,1,-1,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,1,-1,-1,"In Zugló's, on the Polish street in the house, there is a two-storey, 4 bedroom apartment for rent. Distribution: Ground floor: Hall, toilet, pantry, kitchen, living room, terrace. Floor: Corridor, bath with toilet 3 separate bedrooms, wardrobe. The entire house is insulated with large, grassy garden. The apartment is furnished and unmechanisation. (kitchen furniture, gas cooker) Freshly painted and with quality, very nice coverings and special solutions. The heating is provided by a zirp, the floor is air-conditioning, and it is unique to everything. TV, Internet stand in the apartment/upc/. Common cost is not. Public transport is very good. The apartment has garage parking + surface driveways included in the price.
 Move in: immediately possible.
",,,,47.516232,19.125758,47.516232,19.125758,1148,14,1.779299482,6.04859628,3.554169587,5.172112746,7.773549913,12.84193725,5.397502824,5.014365938,5.042452158,5.350326238,5.350326238,6.526456203,0.903271641,4.86162818,1.303210843,5.978026303,6.085028115,5.527048248,4.830271247,4.513433264,7.428853731,5.676801909,0.878048343,10.1074087,4.880938416,7.144216708,5.260555537,5.421720533,8.032900033,21,18,0,1,7,0,0,0,0,0,3,3,2,63,0,5,12
3300,1,0,0,0,1,0,1,587,80,7.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mártirok út,"
                2 rooms                            ",2,0,House,0,0,0,1,0,0,0,1175,93,-1,Partly furnished,0,0,1,0,-1,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,-1,,,,47.4395017,19.1269107,47.4395017,19.1269107,1202,20,1.313885693,8.544938299,7.605970085,9.576286878,10.31939315,9.429021813,3.116882106,8.245655805,7.702996523,7.538893567,7.538893567,7.127596266,7.635547209,7.374002663,7.464309761,8.942704814,7.3524923,6.233301269,8.510209614,8.803679266,14.69984791,7.381608184,8.900716489,13.33017416,5.649006722,12.6155483,7.416697803,6.952729468,9.773698256,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,3,31
3301,1,0,0,0,1,0,1,1206,110,10.96363636,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Szentpétery utca,"
                5 rooms                            ",5,0,Semi detached house,0,0,0,1,0,0,1,2411,108,-1,"Empty, equipped",0,1,0,1,-1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,pesthouse.alberlet.hu,,,"Budapest Kortárstánc Főiskola - BHF ( 1.426 km )Budapesti Műszaki Főiskola - BMF ( 0.822 km )Budapesti Műszaki Főiskola - BMF KVK ( 0.814 km )Budapesti Műszaki Főiskola - BMF NIK ( 0.822 km )Budapesti Műszaki Főiskola - BMF RKK ( 0.751 km )

                    More
                    



",47.4695533,19.038969,47.4695533,19.038969,1115,11,1.132610601,3.125840693,4.889672501,4.873121713,3.701747384,16.40301752,2.307663442,3.853858459,3.519909959,3.150017524,3.150017524,1.835222204,7.729990489,3.569532685,8.310181189,3.546389599,2.347865437,2.874889135,4.209585465,4.723261063,10.35633225,2.768114951,7.932503116,6.351674467,3.74637722,7.194137888,3.192597293,2.92506745,2.878464888,55,13,1,19,26,4,12,10,0,0,8,42,2,69,3,5,217
