ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
1809,1,0,0,600,65,9.230769231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kossuth Lajos utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,1200,93,43,Partly furnished,0,0,1,0,4,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,Yes,-1,Yes,-1,-1,"

In the heart of Budapest, near the Danube river and Váci utca, on the fourth floor of an apartment building, 65sqm, 1 room + hall flat available for long term rent. Street facing with a balcony, which has a great view for the Elizabeth bridge. Partly furnished (if needed). The building has a 24 hour surveillance camera. Public transportation is exceptionally good in that area: M2, M3- 5, 7, 8, 9, 15, 112, 178 buses and 47,49 tram has their stops only minutes away.  Collective maintance fee: €45 
One month rent and two months deposit required.",,,,47.4933848,19.0565292,47.4933848,19.0565292,1053,5,2080,338,34,373,239,127,144,126,19,17,406,670,24,530,7,38,2664
1810,1,0,0,495,50,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pázmány Péter utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,989,46,-1,"Partly furnished, equipped",0,1,1,0,0,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,-1,,,,47.5491891,19.107017,47.5491891,19.107017,1153,15,132,124,3,48,88,8,20,38,3,5,11,33,7,168,0,56,523
1811,1,0,0,1900,101,18.81188119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,József körút,"
                3 rooms                            ",3,0,Brick Apartment,1,0,3800,93,65,"Furnished, equipped",1,1,0,0,4,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,-1,1,-1,1,www.renthungary.hu,,,,47.4917504,19.0709015,47.4917504,19.0709015,1085,8,1864,302,30,335,204,110,142,110,15,13,323,541,23,495,5,38,2166
1812,1,0,0,804,90,8.933333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tigris utca,"
                4 rooms                            ",4,0,Brick Apartment,1,0,1607,62,74,"Empty, equipped",0,1,0,1,0,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-1,-1,1,1,-1,"I. Tigris street in Naphegy, in a terraced house, duplex 90 sqm, living room + 3 bedrooms apartment is available for a minimum of one year rent. SUITABLE FOR OFFICE USE AS WELL. Entry level, groundfloor, there is kitchen, living room with dining area, guest toilet, 20 sqm terrace + 100 sqm own garden area. Upstairs 3 bedrooms, bathroom with bathtube. Without furniture. Garage in the yard, plus one additional parking lot belongs to the property (for extra fee). Common cost: 24,000 Huf, including water consumption. Pets (dog or cat etc) not allowed.  2 months deposit required.",,,,47.4919463,19.0325108,47.4919463,19.0325108,1016,1,1448,217,24,263,172,118,98,94,13,22,286,493,20,489,4,33,2354
1813,1,0,0,773,70,11.04285714,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Kádár utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1546,77,53,"Furnished, new furniture",1,0,0,0,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,-1,-1,-1,"efurbished modern apartment is available at Nyugati Square with perfect transportation. 

This spacious property features: 
a cosy livingroom with open-plan kitchen, 
large bedroom with double bed; 
a bathroom with tub and wc, 
guest wc, 
laundry room. 

Available immediately with 2 month's deposit  
Rental fee is 250000 HUF 
or asking price is 49.9 M HUF   as it is perfect for investment purposes as well                                 ",,,,47.5116851,19.0549092,47.5116851,19.0549092,1132,13,1840,220,27,347,211,131,138,95,18,20,342,616,16,439,6,34,2246
1814,1,0,0,618,31,19.93548387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attila út,"
                1 room                            ",1,0,Brick Apartment,1,0,1237,40,28,"Furnished, equipped",1,1,0,0,4,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,-1,,,,47.49360111,19.03933826,47.49360111,19.03933826,1013,1,1937,257,31,360,227,130,133,105,16,24,412,620,20,516,6,37,2681
1815,1,0,0,750,82,9.146341463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ráday utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,750,124,-1,Partly furnished,0,0,1,0,3,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,"Cosy and sunny apartment (appr.: 880 sqft) for long term rent. Central location in the 9-th district of Budapest, in the Ráday street. The apartment is equipped with 1 bedroom, a living room with flat TV, a kitchen with coffee machine and microwave oven. Smoking is prohibited. The National Museum is 600m, the Danube 400m, the Central Market hall and the Semmelweis University is about 300m.",,,"Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.133 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.607 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.787 km )Baptista Teológiai Akadémia - BTA ( 0.871 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.964 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.464 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.286 km )Közép-Európai Egyetem - KEE ( 1.632 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.889 km )McDaniel College - MCDC ( 1.432 km )Magyar Képzőművészeti Egyetem - MKE ( 0.467 km )Semmelweis Egyetem - SE EFK ( 1.959 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.747 km )Szent István Egyetem - SZIE ÁOTK ( 1.350 km )Central European University - CEU ( 1.632 km )

                    More
                    



",47.4854144,19.0645768,47.4854144,19.0645768,1092,9,1794,289,28,319,215,102,160,105,9,8,300,525,22,550,5,33,2310
1816,1,0,0,464,52,8.923076923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Apály utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,927,77,43,"Furnished, equipped",1,1,0,0,3,-1,"Street, quiet",0,0,0,0,0,0,0,0,0,1,1,0,0,0,At least one year,-1,-1,Yes,Yes,1,"Complete apartman is to let. One big, one small room, separately opening, see link: Video: http://www.youtube.com/watch?v=d8AEbTmxgsI         
",,,,47.5282669,19.0659034,47.5282669,19.0659034,1134,13,566,144,8,130,143,42,43,55,15,17,164,306,18,380,2,58,1110
1817,1,0,0,464,61,7.606557377,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tátra utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,927,155,-1,"Furnished, equipped",1,1,0,0,2,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,At least one year,Yes,-1,-1,-1,-1,"A 61 sqm, 2.5 rooms, furnished and equipped, quiet apartment is available for rent on the 2nd floor in the 13th district in 2 minutes walking distance from Jászai Mari square.   
Ideal for 2-3 persons, children are welcome. 

With perfect public transportation, almost every location downtown is reachable within 30 minutes.   
Interspar grocery store, Nyugati railway station, Westend shopping mall within few minutes of walking distance.   

The apartment is furnished, bed mattress is not provided.   
Separated toilet and bathroom, the building has an elevator.   

Immediately available for at least 1-year contract with first month’s rent and 2 months deposit.   
Smoking and pets are not allowed.  

Rental fee is 150 000 HUF (or 525 in EUR).  
Utilities advance is 50 000 HUF (or 175 in EUR) and covers water, gas, heating, electricity consumption, common fees and internet. Utilities consumption correction is calculated per year.  

Contact on telephone every day between 5-8pm or via Viber/WhatsApp message (short introduction + telephone number) or by email.  

Viewing appointments can be scheduled for next week.  

Real estate agents please do not contact me.",,,,47.5155048,19.0519825,47.5155048,19.0519825,1137,13,1641,188,19,303,201,118,124,88,21,20,266,537,16,449,7,39,1849
1818,1,0,0,680,105,6.476190476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Borsfa utca,"
                4 rooms                 + 1 half room            ",4,1,Brick Apartment,1,0,1360,3,-1,Empty,0,0,0,1,1,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,Yes,1,-1,-1,-1,-1,,,"Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 1.887 km )Számalk Rt. School of Economic Studies - SES ( 1.506 km )
",47.4814597,19.2736252,47.4814597,19.2736252,1171,17,28,40,2,11,31,2,8,19,2,2,4,7,1,55,0,4,111
