,poi shape,poi type,coordinate
6238,Point,stop_position,"[18.9983084, 47.3246012]"
6239,Point,stop_position,"[18.9982686, 47.324739]"
6240,Point,stop_position,"[18.9997326, 47.3235127]"
6241,Point,stop_position,"[18.9990775, 47.3241744]"
6242,Point,stop_position,"[18.9957169, 47.3303851]"
6243,Point,stop_position,"[18.9953994, 47.3307272]"
6244,Point,stop_position,"[19.0011617, 47.3263029]"
6245,Point,stop_position,"[19.000479, 47.3267036]"
6246,Point,stop_position,"[19.0554943, 47.4148352]"
6247,Point,stop_position,"[19.1483545, 47.428123]"
6248,Point,stop_position,"[19.0785227, 47.5548703]"
6249,Point,stop_position,"[18.9351439, 47.4206915]"
6250,Point,bus_stop,"[18.9131859, 47.428631]"
6251,Point,stop_position,"[18.9350917, 47.4206753]"
6252,Point,stop_position,"[18.9318109, 47.4240168]"
6253,Point,stop_position,"[18.9532116, 47.4399659]"
6254,Point,stop_position,"[18.9410179, 47.438912]"
6255,Point,stop_position,"[18.9475218, 47.4380062]"
6256,Point,stop_position,"[18.9495876, 47.4402205]"
6257,Point,stop_position,"[19.0473053, 47.4740151]"
6258,Point,platform,"[19.1063589, 47.5210383]"
6259,Point,platform,"[19.1056169, 47.5213846]"
6260,Point,bus_stop,"[19.0868457, 47.3401965]"
6261,Point,bus_stop,"[19.197067, 47.606617]"
6262,Point,bus_stop,"[19.193267, 47.60935]"
6263,Point,bus_stop,"[19.19643, 47.60578]"
6264,Point,stop_position,"[19.024194, 47.4994241]"
6265,Point,stop_position,"[19.1321456, 47.481851]"
6266,Point,stop_position,"[19.1304136, 47.4822803]"
6267,Point,stop,"[19.0397436, 47.514544]"
6268,Point,platform,"[19.076276, 47.4662188]"
6269,Point,platform,"[19.1496526, 47.4619472]"
6270,Point,platform,"[19.0158079, 47.4654761]"
6271,Point,platform,"[18.9314971, 47.5706421]"
6272,Point,platform,"[18.9315182, 47.5708654]"
6273,Point,bus_stop,"[19.1176889, 47.3452027]"
6274,Point,platform,"[19.0384543, 47.5065178]"
6275,Point,bus_stop,"[19.143329, 47.5088696]"
6276,Point,bus_stop,"[19.2023314, 47.5368867]"
6277,Point,bus_stop,"[19.2081296, 47.5394053]"
6278,Point,bus_stop,"[19.2240743, 47.5463097]"
6279,Point,bus_stop,"[19.2275063, 47.5508097]"
6280,Point,bus_stop,"[19.2228593, 47.5540038]"
6281,Point,bus_stop,"[19.2196268, 47.5572537]"
6282,Point,bus_stop,"[19.2197337, 47.5567732]"
6283,Point,bus_stop,"[19.2187184, 47.5588852]"
6284,Point,bus_stop,"[19.2184131, 47.559242]"
6285,Point,bus_stop,"[19.2233594, 47.55357]"
6286,Point,bus_stop,"[19.2274109, 47.5511016]"
6287,Point,bus_stop,"[19.2244522, 47.546857]"
6288,Point,bus_stop,"[19.2236696, 47.5447537]"
6289,Point,bus_stop,"[19.2078434, 47.5393901]"
6290,Point,bus_stop,"[19.1427799, 47.5088227]"
6291,Point,bus_stop,"[18.9611655, 47.5996768]"
6292,Point,bus_stop,"[19.003717, 47.331117]"
6293,Point,bus_stop,"[19.1070515, 47.349181]"
6294,Point,bus_stop,"[19.1183635, 47.3497733]"
6295,Point,bus_stop,"[19.11696, 47.350505]"
6296,Point,bus_stop,"[19.10042, 47.351452]"
6297,Point,bus_stop,"[19.094975, 47.352702]"
6298,Point,bus_stop,"[19.095075, 47.352991]"
6299,Point,bus_stop,"[19.0912884, 47.3540105]"
6300,Point,bus_stop,"[19.085643, 47.355397]"
6301,Point,bus_stop,"[19.085033, 47.357083]"
6302,Point,bus_stop,"[19.1291441, 47.6078024]"
6303,Point,bus_stop,"[19.22998, 47.63958]"
6304,Point,bus_stop,"[19.127683, 47.637817]"
6305,Point,bus_stop,"[19.143967, 47.637533]"
6306,Point,bus_stop,"[19.147817, 47.635217]"
6307,Point,bus_stop,"[19.146367, 47.632467]"
6308,Point,bus_stop,"[19.1459, 47.62815]"
6309,Point,bus_stop,"[19.150767, 47.627167]"
6310,Point,bus_stop,"[19.130733, 47.630867]"
6311,Point,bus_stop,"[19.130367, 47.634267]"
6312,Point,bus_stop,"[19.15085, 47.641317]"
6313,Point,bus_stop,"[19.156983, 47.624183]"
6314,Point,bus_stop,"[19.139583, 47.640283]"
6315,Point,bus_stop,"[19.160367, 47.5795]"
6316,Point,bus_stop,"[19.1888, 47.621383]"
6317,Point,bus_stop,"[19.15856, 47.58689]"
6318,Point,bus_stop,"[19.1811287, 47.5981692]"
6319,Point,bus_stop,"[19.193667, 47.602883]"
6320,Point,bus_stop,"[19.20381, 47.60485]"
6321,Point,bus_stop,"[19.176086, 47.61405]"
6322,Point,bus_stop,"[19.2235, 47.63659]"
6323,Point,bus_stop,"[19.321835, 47.4444721]"
6324,Point,bus_stop,"[19.242073, 47.404623]"
6325,Point,bus_stop,"[19.245817, 47.41385]"
6326,Point,bus_stop,"[19.258983, 47.39985]"
6327,Point,bus_stop,"[19.257016, 47.405886]"
6328,Point,bus_stop,"[19.253367, 47.403517]"
6329,Point,bus_stop,"[19.2489244, 47.40057]"
6330,Point,bus_stop,"[19.339113, 47.594133]"
6331,Point,bus_stop,"[19.343965, 47.601845]"
6332,Point,bus_stop,"[19.377218, 47.603527]"
6333,Point,bus_stop,"[19.325037, 47.604018]"
6334,Point,bus_stop,"[19.340245, 47.605153]"
6335,Point,bus_stop,"[19.362487, 47.607167]"
6336,Point,bus_stop,"[19.372017, 47.607708]"
6337,Point,bus_stop,"[19.349417, 47.607953]"
6338,Point,bus_stop,"[19.351885, 47.609228]"
6339,Point,bus_stop,"[19.365728, 47.609553]"
6340,Point,bus_stop,"[19.353575, 47.609807]"
6341,Point,bus_stop,"[19.369352, 47.609882]"
6342,Point,bus_stop,"[19.340383, 47.623003]"
6343,Point,bus_stop,"[19.36396, 47.578915]"
6344,Point,bus_stop,"[19.286875, 47.510911]"
6345,Point,bus_stop,"[19.391042, 47.525937]"
6346,Point,bus_stop,"[19.395458, 47.528133]"
6347,Point,bus_stop,"[19.38782, 47.54758]"
6348,Point,bus_stop,"[19.39769, 47.5349]"
6349,Point,bus_stop,"[19.39924, 47.52954]"
6350,Point,bus_stop,"[19.39093, 47.54351]"
6351,Point,bus_stop,"[19.39445, 47.52929]"
6352,Point,bus_stop,"[19.39467, 47.53879]"
6353,Point,bus_stop,"[19.290017, 47.563767]"
6354,Point,bus_stop,"[19.293247, 47.568818]"
6355,Point,bus_stop,"[19.263283, 47.597633]"
6356,Point,bus_stop,"[19.24599, 47.60186]"
6357,Point,bus_stop,"[19.3908491, 47.5987386]"
6358,Point,bus_stop,"[19.2893008, 47.525138]"
6359,Point,bus_stop,"[19.2729774, 47.5243917]"
6360,Point,bus_stop,"[19.281955, 47.531248]"
6361,Point,bus_stop,"[19.34316, 47.49127]"
6362,Point,bus_stop,"[19.324367, 47.6234052]"
6363,Point,bus_stop,"[19.309045, 47.639369]"
6364,Point,bus_stop,"[19.31374, 47.6349055]"
6365,Point,bus_stop,"[19.320492, 47.629344]"
6366,Point,bus_stop,"[19.331749, 47.500491]"
6367,Point,bus_stop,"[19.331956, 47.502249]"
6368,Point,bus_stop,"[19.330111, 47.5041083]"
6369,Point,bus_stop,"[19.3281898, 47.5052376]"
6370,Point,bus_stop,"[19.3262789, 47.5054732]"
6371,Point,bus_stop,"[19.260906, 47.54713]"
6372,Point,bus_stop,"[19.268561, 47.567225]"
6373,Point,bus_stop,"[19.229033, 47.597083]"
6374,Point,bus_stop,"[19.30307, 47.63073]"
