,poi shape,poi type,coordinate
2131,Point,hotel,"[19.0713396, 47.4825765]"
2132,Point,information,"[19.0340882, 47.5010578]"
2133,Point,information,"[19.0494681, 47.5658793]"
2134,Point,artwork,"[19.0562197, 47.5601374]"
2135,Point,artwork,"[19.0545767, 47.5606811]"
2136,Point,artwork,"[19.0546696, 47.5608812]"
2137,Point,information,"[18.9128923, 47.6038966]"
2138,Point,information,"[18.895686, 47.6052653]"
2139,Point,hotel,"[19.0597364, 47.4954752]"
2140,Point,hostel,"[19.1426655, 47.4356819]"
2141,Point,hostel,"[19.0817217, 47.5099688]"
2142,Point,viewpoint,"[19.0290269, 47.5022928]"
2143,Point,information,"[19.035107, 47.5066729]"
2144,Point,information,"[19.047013, 47.6191054]"
2145,Point,viewpoint,"[19.0476541, 47.6176388]"
2146,Point,apartment,"[19.0595731, 47.5004725]"
2147,Point,hostel,"[19.0465111, 47.4762961]"
2148,Point,gallery,"[19.074373, 47.5057552]"
2149,Point,information,"[19.0473929, 47.6173935]"
2150,Point,information,"[19.0338851, 47.5014555]"
2151,Point,information,"[19.0414745, 47.4958898]"
2152,Point,information,"[19.0427993, 47.49396]"
2153,Point,information,"[19.0422967, 47.495329]"
2154,Point,attraction,"[19.1217181, 47.3873317]"
2155,Point,information,"[19.0780764, 47.5188039]"
2156,Point,information,"[19.0795085, 47.5200962]"
2157,Point,information,"[19.0779406, 47.5194295]"
2158,Point,information,"[19.0747611, 47.5174249]"
2159,Point,apartment,"[19.0825382, 47.5042063]"
2160,Point,picnic_site,"[19.0602444, 47.4706048]"
2161,Point,viewpoint,"[19.2522799, 47.5095541]"
2162,Point,guest_house,"[19.0630351, 47.4972004]"
2163,Point,hotel,"[19.1234073, 47.5611309]"
2164,Point,viewpoint,"[18.9317816, 47.4793921]"
2165,Point,artwork,"[18.9347548, 47.5222238]"
2166,Point,picnic_site,"[18.9145288, 47.5120051]"
2167,Point,information,"[18.922889, 47.4561093]"
2168,Point,information,"[18.9228006, 47.4561093]"
2169,Point,information,"[18.9229744, 47.4561033]"
2170,Point,information,"[18.9235208, 47.4571214]"
2171,Point,information,"[18.9241271, 47.4574865]"
2172,Point,information,"[18.9248985, 47.4580271]"
2173,Point,viewpoint,"[18.9247199, 47.4582379]"
2174,Point,information,"[18.9241692, 47.4578525]"
2175,Point,information,"[18.924727, 47.4582759]"
2176,Point,information,"[18.9853542, 47.4809334]"
2177,Point,viewpoint,"[18.9842398, 47.4818173]"
2178,Point,information,"[18.9835114, 47.4820362]"
2179,Point,information,"[18.9402553, 47.3571363]"
2180,Point,information,"[18.946733, 47.35985]"
2181,Point,information,"[18.946933, 47.361917]"
2182,Point,information,"[18.946583, 47.362133]"
2183,Point,information,"[19.2445629, 47.5061306]"
2184,Point,information,"[19.2444992, 47.5072437]"
2185,Point,information,"[19.2447165, 47.5078278]"
2186,Point,information,"[19.243979, 47.5093899]"
2187,Point,information,"[19.2435768, 47.5086583]"
2188,Point,information,"[19.2448321, 47.5107]"
2189,Point,information,"[19.2362983, 47.5119565]"
2190,Point,information,"[19.227649, 47.5137501]"
2191,Point,information,"[19.233039, 47.5125559]"
2192,Point,information,"[19.2313452, 47.5128939]"
2193,Point,information,"[19.2220459, 47.5148988]"
2194,Point,information,"[19.2225347, 47.5148177]"
2195,Point,information,"[19.2442935, 47.5079103]"
2196,Point,information,"[19.2460745, 47.511349]"
2197,Point,information,"[19.2417722, 47.5110302]"
2198,Point,information,"[19.2395567, 47.5115483]"
2199,Point,information,"[19.2488819, 47.5119927]"
2200,Point,information,"[19.2499687, 47.5109423]"
2201,Point,information,"[19.2520187, 47.5095158]"
2202,Point,information,"[19.250764, 47.5087996]"
2203,Point,information,"[19.2502603, 47.5078386]"
2204,Point,information,"[19.2495711, 47.5078207]"
2205,Point,camp_site,"[19.158254, 47.50426]"
2206,Point,attraction,"[19.0509582, 47.5005172]"
2207,Point,hotel,"[19.0663785, 47.4983158]"
2208,Point,viewpoint,"[18.967978, 47.4774687]"
2209,Point,gallery,"[19.1159132, 47.3996255]"
2210,Point,museum,"[19.1181984, 47.4005315]"
2211,Point,museum,"[19.1505915, 47.4585956]"
2212,Point,museum,"[19.1459164, 47.4911823]"
2213,Point,museum,"[19.133758, 47.4829199]"
2214,Point,museum,"[19.1284793, 47.485251]"
2215,Point,museum,"[18.9926563, 47.4984395]"
2216,Point,information,"[19.3749201, 47.5718978]"
2217,Point,museum,"[19.1026363, 47.5129544]"
2218,Point,museum,"[19.0636678, 47.4872792]"
2219,Point,museum,"[19.0959174, 47.475977]"
2220,Point,museum,"[19.0760596, 47.4785086]"
2221,Point,museum,"[19.0996429, 47.477866]"
2222,Point,information,"[19.1296921, 47.5414617]"
2223,Point,attraction,"[19.0235808, 47.5121482]"
2224,Point,museum,"[19.0281326, 47.5112171]"
2225,Point,museum,"[19.0744233, 47.4736696]"
2226,Point,museum,"[19.0694279, 47.5027938]"
2227,Point,museum,"[19.0720752, 47.5137878]"
2228,Point,museum,"[19.0560731, 47.4945142]"
2229,Point,museum,"[19.04662, 47.5062562]"
2230,Point,museum,"[19.0463233, 47.5084415]"
2231,Point,museum,"[19.0443693, 47.4922597]"
2232,Point,museum,"[18.992026, 47.5279842]"
2233,Point,museum,"[19.034244, 47.5021506]"
2234,Point,museum,"[19.0279702, 47.5377179]"
2235,Point,museum,"[19.0605337, 47.4840709]"
2236,Point,museum,"[19.0194154, 47.5087241]"
2237,Point,information,"[19.3476488, 47.5984859]"
2238,Point,information,"[19.3476143, 47.597577]"
2239,Point,hostel,"[19.0642466, 47.5036717]"
2240,Point,guest_house,"[19.125629, 47.5203424]"
2241,Point,attraction,"[19.037581, 47.5286387]"
2242,Point,museum,"[19.2602617, 47.4911723]"
2243,Point,information,"[18.9880004, 47.4818266]"
2244,Point,information,"[18.9851675, 47.4818851]"
2245,Point,information,"[18.9888211, 47.4820784]"
2246,Point,information,"[18.9906891, 47.4820822]"
2247,Point,viewpoint,"[18.9896394, 47.487073]"
2248,Point,information,"[18.981321, 47.4749969]"
2249,Point,information,"[18.978588, 47.4749374]"
2250,Point,information,"[18.9782755, 47.4747923]"
2251,Point,information,"[18.9785505, 47.4746955]"
2252,Point,information,"[18.9796001, 47.474657]"
2253,Point,information,"[19.0453535, 47.5399943]"
2254,Point,information,"[19.0446331, 47.5415659]"
2255,Point,hotel,"[19.1063672, 47.4618914]"
2256,Point,viewpoint,"[18.9470584, 47.3383236]"
2257,Point,viewpoint,"[19.1682991, 47.5546053]"
2258,Point,attraction,"[19.3689379, 47.4771162]"
2259,Point,viewpoint,"[19.3730973, 47.4727461]"
2260,Point,guest_house,"[19.0674131, 47.4984399]"
2261,Point,guest_house,"[19.0336301, 47.3376457]"
2262,Point,viewpoint,"[19.0347937, 47.5022376]"
2263,Point,viewpoint,"[19.046949, 47.4873697]"
2264,Point,hostel,"[19.0641182, 47.5075867]"
2265,Point,hostel,"[19.0570357, 47.5092736]"
2266,Point,artwork,"[19.0629871, 47.5065257]"
2267,Point,museum,"[19.0959062, 47.400737]"
