ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
1247,Point,mall,"   19.0732858, 47.4859632  ",Mall,19.0732858,47.4859632
1255,Point,mall,"   18.9432231, 47.4549715  ",Mall,18.9432231,47.4549715
1261,Point,mall,"   19.2492517, 47.5404518  ",Mall,19.2492517,47.5404518
1262,Point,mall,"   19.2435987, 47.5411728  ",Mall,19.2435987,47.5411728
1277,Point,mall,"   19.0406841, 47.4351265  ",Mall,19.0406841,47.4351265
1285,Point,mall,"   19.051491, 47.4596706  ",Mall,19.051491,47.4596706
1286,Point,mall,"   19.0175006, 47.4071723  ",Mall,19.0175006,47.4071723
1287,Point,mall,"   19.2505486, 47.4161415  ",Mall,19.2505486,47.4161415
1288,Point,mall,"   19.0060553, 47.466551  ",Mall,19.0060553,47.466551
1292,Point,mall,"   19.0677473, 47.4237918  ",Mall,19.0677473,47.4237918
1297,Point,mall,"   19.0491868, 47.4750765  ",Mall,19.0491868,47.4750765
1305,Point,mall,"   19.0891827, 47.5607842  ",Mall,19.0891827,47.5607842
1382,Point,mall,"   19.0255475, 47.5087031  ",Mall,19.0255475,47.5087031
1401,Point,mall,"   19.3394879, 47.6091748  ",Mall,19.3394879,47.6091748
1405,Point,mall,"   19.1412929, 47.5028638  ",Mall,19.1412929,47.5028638
1406,Point,mall,"   19.1409994, 47.5528803  ",Mall,19.1409994,47.5528803
1417,Point,mall,"   19.0054315, 47.5290516  ",Mall,19.0054315,47.5290516
1445,Point,mall,"   19.0110922, 47.5903859  ",Mall,19.0110922,47.5903859
1455,Point,mall,"   19.0278455, 47.5465692  ",Mall,19.0278455,47.5465692
1458,Point,mall,"   19.0230246, 47.4907119  ",Mall,19.0230246,47.4907119
1462,Point,mall,"   19.0603305, 47.6127745  ",Mall,19.0603305,47.6127745
1468,Point,mall,"   19.1913002, 47.5099989  ",Mall,19.1913002,47.5099989
1505,Point,mall,"   19.0116898, 47.49118  ",Mall,19.0116898,47.49118
1508,Point,mall,"   19.2017464, 47.4333374  ",Mall,19.2017464,47.4333374
1558,Point,mall,"   19.060959, 47.4835583  ",Mall,19.060959,47.4835583
1599,Point,mall,"   19.0555222, 47.4902144  ",Mall,19.0555222,47.4902144
1604,Point,mall,"   18.9165761, 47.377292  ",Mall,18.9165761,47.377292
1605,Point,mall,"   18.9194797, 47.3777895  ",Mall,18.9194797,47.3777895
1606,Point,mall,"   18.9206733, 47.3780591  ",Mall,18.9206733,47.3780591
1710,Point,mall,"   19.1763969, 47.4575491  ",Mall,19.1763969,47.4575491
1772,Point,mall,"   19.0544263, 47.5948042  ",Mall,19.0544263,47.5948042
1821,Point,mall,"   19.339263, 47.6077083  ",Mall,19.339263,47.6077083
1869,Point,mall,"   19.0701972, 47.4959877  ",Mall,19.0701972,47.4959877
1948,Point,mall,"   19.1364133, 47.5003815  ",Mall,19.1364133,47.5003815
1987,Point,mall,"   19.3946645, 47.4229414  ",Mall,19.3946645,47.4229414
2066,Point,mall,"   18.887071, 47.4653705  ",Mall,18.887071,47.4653705
2210,Point,mall,"   18.9255034, 47.3789019  ",Mall,18.9255034,47.3789019
4552,Point,mall,"   19.0275817, 47.4127832  ",Mall,19.0275817,47.4127832
6515,Point,mall,"   18.959102, 47.449964  ",Mall,18.959102,47.449964
6613,Point,mall,"   18.924948, 47.612802  ",Mall,18.924948,47.612802
6631,Point,mall,"   19.0291333, 47.5434972  ",Mall,19.0291333,47.5434972
6632,Point,mall,"   19.0288228, 47.5444545  ",Mall,19.0288228,47.5444545
6667,Point,mall,"   19.086476, 47.359405  ",Mall,19.086476,47.359405
6670,Point,mall,"   18.965344, 47.323055  ",Mall,18.965344,47.323055
6715,Point,mall,"   19.2605796, 47.5467191  ",Mall,19.2605796,47.5467191
10455,Point,mall,"   19.0372025, 47.5285935  ",Mall,19.0372025,47.5285935
