ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
10408,Point,chemist,"   19.0413569, 47.4352982  ",Beauty,19.0413569,47.4352982
10410,Point,chemist,"   19.0419351, 47.4353697  ",Beauty,19.0419351,47.4353697
10423,Point,chemist,"   19.0406144, 47.4372959  ",Beauty,19.0406144,47.4372959
10427,Point,hairdresser,"   19.0723742, 47.506649  ",Beauty,19.0723742,47.506649
10447,Point,hairdresser,"   19.0804744, 47.489377  ",Beauty,19.0804744,47.489377
10453,Point,hairdresser,"   19.0376118, 47.5141153  ",Beauty,19.0376118,47.5141153
10454,Point,hairdresser,"   19.0376634, 47.5131264  ",Beauty,19.0376634,47.5131264
10459,Point,hairdresser,"   19.0387648, 47.4253762  ",Beauty,19.0387648,47.4253762
10473,Point,perfumery,"   19.0160711, 47.4620877  ",Beauty,19.0160711,47.4620877
10476,Point,hairdresser,"   19.0278187, 47.4262273  ",Beauty,19.0278187,47.4262273
10478,Point,hairdresser,"   19.0142822, 47.5095697  ",Beauty,19.0142822,47.5095697
10479,Point,hairdresser,"   19.0172187, 47.5090319  ",Beauty,19.0172187,47.5090319
10493,Point,hairdresser,"   19.0597455, 47.5097237  ",Beauty,19.0597455,47.5097237
10505,Point,chemist,"   19.1295583, 47.4628987  ",Beauty,19.1295583,47.4628987
10517,Point,beauty,"   19.0226892, 47.498468  ",Beauty,19.0226892,47.498468
10531,Point,beauty,"   19.0715737, 47.5339968  ",Beauty,19.0715737,47.5339968
10539,Point,chemist,"   19.1573631, 47.4184976  ",Beauty,19.1573631,47.4184976
10559,Point,chemist,"   18.8889972, 47.4644575  ",Beauty,18.8889972,47.4644575
10567,Point,hairdresser,"   19.029814, 47.5458745  ",Beauty,19.029814,47.5458745
10582,Point,hairdresser,"   19.1375234, 47.5039369  ",Beauty,19.1375234,47.5039369
10596,Point,chemist,"   19.0143244, 47.5226182  ",Beauty,19.0143244,47.5226182
10619,Point,hairdresser,"   19.024061, 47.4240152  ",Beauty,19.024061,47.4240152
10622,Point,chemist,"   19.0052742, 47.5289673  ",Beauty,19.0052742,47.5289673
10637,Point,hairdresser,"   19.0291466, 47.5435849  ",Beauty,19.0291466,47.5435849
10641,Point,chemist,"   19.0284839, 47.543966  ",Beauty,19.0284839,47.543966
10675,Point,beauty,"   19.0298174, 47.5478189  ",Beauty,19.0298174,47.5478189
