ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm(HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony (sqm),Attic,Attic: Loft conversion,Attic: Penthouse,Attic: Top floor,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance_10min,Amenity: School_10min,Amenity: Education_10min,Amenity: Financial_10min,Amenity: Healthcare_10min,Amenity: Arts_10min,Amenity: Entertainment_10min,Amenity: Religion_10min,Amenity: police_10min,Amenity: Government_10min,Amenity: Vending_machine_10min,Amenity: Transportation_bicycle_10min,Amenity: Transportation_car_10min,Amenity: Fuel_10min,Amenity: Parking_10min,Amenity: Coworking_space_10min,Amenity: Recycling_10min,Amenity: Others_10min,Amenity: Sustenance_20min,Amenity: School_20min,Amenity: Education_20min,Amenity: Financial_20min,Amenity: Healthcare_20min,Amenity: Arts_20min,Amenity: Entertainment_20min,Amenity: Religion_20min,Amenity: police_20min,Amenity: Government_20min,Amenity: Vending_machine_20min,Amenity: Transportation_bicycle_20min,Amenity: Transportation_car_20min,Amenity: Fuel_20min,Amenity: Parking_20min,Amenity: Coworking_space_20min,Amenity: Recycling_20min,Amenity: Others_20min,Amenity: Sustenance_30min,Amenity: School_30min,Amenity: Education_30min,Amenity: Financial_30min,Amenity: Healthcare_30min,Amenity: Arts_30min,Amenity: Entertainment_30min,Amenity: Religion_30min,Amenity: police_30min,Amenity: Government_30min,Amenity: Vending_machine_30min,Amenity: Transportation_bicycle_30min,Amenity: Transportation_car_30min,Amenity: Fuel_30min,Amenity: Parking_30min,Amenity: Coworking_space_30min,Amenity: Recycling_30min,Amenity: Others_30min
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.72,49,747350, Taksony utca 9.,1.0,Green Court Residences,1,garden view,1,0,0,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,8,less than 3 m,central heating (metered),0,0,0,0,1,-1,separate,1,0,not specified,0,0,0,0,0,0,0,0,0,19.0,no loft conversion,0,0,0, Villamos   14    Metró   M3    Busz   14   15   115   105    Éjszakai   914   914A   950    Troli   75   79   ,47.5217,19.065405,47.5217,19.065405,1134,13,57,25,2,18,35,1,4,5,2,0,18,27,3,2,51,0,10,78,258,69,4,63,66,15,21,18,9,11,56,125,6,9,112,0,22,299,715,112,13,139,110,27,72,33,10,11,87,230,11,10,199,32,10,586
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.39,45,794844, Lőportár utca 20/A,7.0,Pesti Ház - Átrium 3,1,street view,0,0,1,available,1,-1,-1,1 + 1 half room,1,1,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,8,less than 3 m,central heating (metered),0,0,0,0,1,-1,separate,1,0,not specified,0,0,0,0,0,0,0,0,0,11.63,no loft conversion,0,0,0, Villamos   14    Busz   14   105    Éjszakai   914   914A    Troli   75   79   ,47.519947,19.065975,47.519947,19.065975,1134,13,64,24,2,18,29,1,5,7,2,0,22,34,5,2,44,0,8,85,291,66,5,73,76,14,25,16,9,15,65,122,7,9,105,0,21,332,873,105,13,147,116,27,78,34,10,15,98,251,15,10,194,26,8,592
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,56,669355, Alsórákos – Paskálpark,2.0,Paskal Rose,1,garden view,1,0,0,available,1,-1,-1,3 room,3,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,6,less than 3 m,central heating (metered),0,0,0,0,1,1,separate,1,0,Southwest,0,0,0,0,0,0,1,0,0,12.0,no loft conversion,0,0,0,-1,47.521164,19.125376,47.521164,19.125376,1149,14,16,11,1,2,5,0,0,4,0,0,2,8,8,0,44,0,3,29,36,40,2,3,9,0,2,8,0,0,4,10,9,0,101,0,10,53,76,71,2,19,39,2,8,18,0,0,16,15,14,0,162,16,3,146
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,49,627778, Alsórákos – Paskálpark,1.0,Paskal Rose,1,garden view,1,0,0,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,6,less than 3 m,central heating (metered),0,0,0,0,1,1,together,0,1,Northeast,0,0,0,0,1,0,0,0,0,10.0,no loft conversion,0,0,0,-1,47.521164,19.125376,47.521164,19.125376,1149,14,16,11,1,2,5,0,0,4,0,0,2,8,8,0,44,0,3,29,36,40,2,3,9,0,2,8,0,0,4,10,9,0,101,0,10,53,76,71,2,19,39,2,8,18,0,0,16,15,14,0,162,16,3,146
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,51,523279, Angyalföld,1.0,Nerium Park,1,garden view,1,0,0,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,8,less than 3 m,central heating (metered),0,0,0,0,1,1,separate and together too,1,0,South,0,1,0,0,0,0,0,0,0,50.5,no loft conversion,0,0,0,-1,47.538097,19.08208,47.538097,19.08208,1139,13,17,24,1,6,8,7,1,6,0,0,1,21,1,0,19,0,10,55,49,39,1,21,44,8,4,8,0,10,11,42,3,0,64,0,28,152,112,78,2,38,69,15,14,19,1,12,28,69,9,1,135,30,10,340
59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,39,960739, Csanády utca 4/a,6.0,Westend Ház,1,garden view,1,0,0,available,1,available,1,1 room,1,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,11,less than 3 m,padlófűtés,0,0,0,0,0,1,together,0,1,Southwest,0,0,0,0,0,0,1,0,0,8.6,no loft conversion,0,0,0, Villamos   14    Metró   M3    Busz   14   15   115    Éjszakai   914   914A   950   950A    Troli   76   ,47.516098,19.058167,47.516098,19.058167,1132,13,183,22,1,43,35,15,11,5,6,0,32,98,5,6,60,2,8,115,589,66,6,114,77,26,45,15,7,0,51,188,6,7,120,4,16,389,1185,121,10,222,112,73,91,33,11,6,120,350,11,11,231,27,8,803
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.27,61,733397, Angyalföld – Lőportárdűlő,2.0,Kassák Residence,1,street view,0,0,1,available,1,-1,-1,1 + 2 half room,1,2,newly built,1,0,0,0,0,0,full comfort,0,1,0,A,-1,8,less than 3 m,central heating (metered),0,0,0,0,1,1,separate and together too,1,0,West,0,0,0,1,0,0,0,0,0,4.18,no loft conversion,0,0,0,-1,47.52255,19.071003,47.52255,19.071003,1135,13,54,17,1,15,28,1,3,3,1,0,19,23,3,1,28,0,9,82,159,58,2,37,49,12,12,17,7,1,53,99,6,7,83,0,21,253,558,115,9,98,92,22,54,29,8,1,76,197,11,8,162,27,9,465
61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,70,644068, Újpalotai út 2.,2.0,Tomori Corner Társasház,1,street view,0,0,1,available,1,not available,0,3 room,3,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,4,less than 3 m,central heating (metered),0,0,0,0,1,-1,separate,1,0,Southeast,0,0,0,0,0,0,0,1,0,7.5,no loft conversion,0,0,0, Busz   105   120   ,47.550518,19.079536,47.550518,19.079536,1138,13,13,19,1,10,11,1,3,2,0,0,0,14,2,0,43,0,14,37,55,53,2,29,23,5,11,16,1,2,6,31,7,1,96,0,19,128,99,82,2,46,46,10,13,24,3,12,16,69,8,3,142,13,14,248
62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,75,356291, József Attila utca,3.0,-1,1,street view,0,0,1,not available,0,-1,-1,3 room,3,0,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,-1,3,3 m or more,natural gas (convector),1,0,0,0,0,0,separate,1,0,East,0,0,1,0,0,0,0,0,0,1.0,no loft conversion,0,0,0, Villamos   12   14    Metró   M3    Busz   12   14   104   104A   25   30   120   121   147   170   196   196A   204   220   230   270   30A    Éjszakai   914   914A   930   950   950A   996   996A   ,47.561028,19.088745,47.561028,19.088745,1042,4,43,36,1,19,12,1,7,9,1,4,7,10,0,1,52,0,6,130,53,49,1,20,20,2,8,15,1,4,8,15,6,1,83,0,17,181,73,72,2,23,28,7,8,17,1,4,9,22,6,1,141,20,6,268
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,53,469811, Horváth Mihály tér,0.0,-1,-1,street view,0,0,1,not available,0,-1,-1,2 room,2,0,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,-1,2,3 m or more,electric,0,0,0,0,0,0,together,0,1,Southwest,0,0,0,0,0,0,1,0,-1,-1.0,no loft conversion,0,0,0, Busz   9   99    Éjszakai   909    Troli   83   ,47.48936,19.075962,47.48936,19.075962,1082,8,174,80,3,19,55,11,20,24,2,0,76,63,2,2,79,1,4,319,554,134,9,77,98,14,51,37,5,0,112,137,12,5,145,1,12,564,776,173,13,122,124,23,88,48,9,0,134,198,15,9,266,13,4,877
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.67,64,730549, Angyalföld – Lőportárdűlő,7.0,Young City 3 by Cordia,1,garden view,1,0,0,available,1,-1,-1,3 room,3,0,newly built,1,0,0,0,0,0,not specified,0,0,0,-1,-1,9,less than 3 m,central heating (metered),0,0,0,0,1,-1,separate,1,0,Northwest,0,0,0,0,0,1,0,0,0,7.98,no loft conversion,0,0,0,-1,47.52255,19.071003,47.52255,19.071003,1135,13,54,17,1,15,28,1,3,3,1,0,19,23,3,1,28,0,9,82,159,58,2,37,49,12,12,17,7,1,53,99,6,7,83,0,21,253,558,115,9,98,92,22,54,29,8,1,76,197,11,8,162,27,9,465
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,46,663366, Alsórákos – Paskálpark,1.0,Paskal Rose,1,street view,0,0,1,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,6,less than 3 m,central heating (metered),0,0,0,0,1,1,together,0,1,Northeast,0,0,0,0,1,0,0,0,0,9.0,no loft conversion,0,0,0,-1,47.521164,19.125376,47.521164,19.125376,1149,14,16,11,1,2,5,0,0,4,0,0,2,8,8,0,44,0,3,29,36,40,2,3,9,0,2,8,0,0,4,10,9,0,101,0,10,53,76,71,2,19,39,2,8,18,0,0,16,15,14,0,162,16,3,146
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,98,542081, Alsórákos – Paskálpark,1.0,Paskal Rose,1,garden view,1,0,0,available,1,-1,-1,4 room,4,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,6,less than 3 m,central heating (metered),0,0,0,0,1,1,separate and together too,1,0,Southeast,0,0,0,0,0,0,0,1,0,25.0,no loft conversion,0,0,0,-1,47.521164,19.125376,47.521164,19.125376,1149,14,16,11,1,2,5,0,0,4,0,0,2,8,8,0,44,0,3,29,36,40,2,3,9,0,2,8,0,0,4,10,9,0,101,0,10,53,76,71,2,19,39,2,8,18,0,0,16,15,14,0,162,16,3,146
67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,44,656863, Alsórákos – Paskálpark,2.0,Paskal Rose,1,street view,0,0,1,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,6,less than 3 m,central heating (metered),0,0,0,0,1,1,together,0,1,Northwest,0,0,0,0,0,1,0,0,0,14.0,no loft conversion,0,0,0,-1,47.521164,19.125376,47.521164,19.125376,1149,14,16,11,1,2,5,0,0,4,0,0,2,8,8,0,44,0,3,29,36,40,2,3,9,0,2,8,0,0,4,10,9,0,101,0,10,53,76,71,2,19,39,2,8,18,0,0,16,15,14,0,162,16,3,146
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,57,644538, Barázda utca 5.,0.0,Elite Park,1,garden view,1,0,0,available,1,not available,0,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,CC,-1,10,less than 3 m,district heating (metered),0,0,0,0,0,0,separate,1,0,East,0,0,1,0,0,0,0,0,1,10.12,no loft conversion,0,0,0, Busz   133E   33   ,47.4567,19.04917,47.4567,19.04917,1116,11,33,6,0,4,2,2,2,2,0,0,3,10,0,0,45,0,2,56,67,14,0,9,23,4,11,7,1,0,6,37,2,1,120,3,3,269,213,41,2,51,45,10,21,20,1,0,25,119,6,1,255,13,2,643
69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.43,42,837735, Kelenföldi lakótelep,2.0,VABA apartments,1,not specified,0,0,0,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,9,less than 3 m,házközponti egyedi méréssel,0,0,0,0,0,-1,together,0,1,East,0,0,1,0,0,0,0,0,0,5.36,no loft conversion,0,0,0,-1,47.464054,19.035233,47.464054,19.035233,1115,11,38,37,1,14,19,3,4,4,0,0,4,30,0,0,80,2,5,140,104,74,1,34,48,8,10,14,2,0,11,73,8,2,163,2,15,330,153,92,2,38,71,12,15,29,2,0,20,116,8,2,215,15,5,718
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,37,1135209, Beregszász út 6.,2.0,Sasad Liget VI. ütem,1,not specified,0,0,0,available,1,-1,-1,2 room,2,0,newly built,1,0,0,0,0,0,full comfort,0,1,0,-1,-1,4,less than 3 m,central heating (metered),0,0,0,0,1,-1,together,0,1,Southwest,0,0,0,0,0,0,1,0,0,6.69,no loft conversion,0,0,0, Busz   108E   40   53   87   88   139   140   140A   142   150   153   154   172   172B   173   187   188E   240   272   40B   40E   88B   8E    Éjszakai   940   972   972B   941   908   ,47.46734,19.012672,47.46734,19.012672,1118,11,25,19,2,11,12,1,2,2,0,0,14,20,4,0,81,0,4,164,34,28,2,13,18,1,2,2,0,0,14,22,8,0,121,0,5,227,57,41,2,15,27,1,9,15,0,0,22,29,10,0,155,2,4,376
71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,90,776667, Belváros,-1.0,-1,-1,not specified,0,0,0,available,1,-1,-1,3 room,3,0,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,-1,-1,4,3 m or more,combination boiler,0,0,1,0,0,0,separate,1,0,not specified,0,0,0,0,0,0,0,0,0,-1.0,no loft conversion,0,0,0,-1,47.49175,19.054825,47.49175,19.054825,1056,5,471,55,9,105,26,50,24,27,1,6,84,154,2,1,43,0,4,582,1081,90,16,199,61,67,72,43,2,8,134,295,5,2,168,3,13,1064,1383,139,20,267,106,80,92,69,10,13,197,439,8,10,296,21,4,1571
72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,107,606542, Karinthy Frigyes út 24,0.5,-1,1,street view,0,0,1,available,1,not available,0,3 room,3,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,-1,5,3 m or more,combination boiler,0,0,1,0,0,1,separate,1,0,West,0,0,0,1,0,0,0,0,0,-1.0,no loft conversion,0,0,0, Villamos   4   6    Busz   133E   15   154B   6   33   53   58   150   153   154   212   213   114   214   7    Éjszakai   907   908   918   940   941   972   973   ,47.4765,19.052322,47.4765,19.052322,1111,11,152,26,3,36,16,8,7,19,0,0,27,90,0,0,125,0,8,466,394,75,7,74,47,18,15,28,3,0,96,169,0,3,201,3,13,969,828,122,11,165,73,71,46,53,4,6,167,300,2,4,307,14,8,1475
