,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Furniture,"Empty, equipped","Partly furnished, equipped","Furnished, equipped","Partly furnished, equipped","Empty, equipped","Partly furnished, equipped","Empty, furnished as well","Furnished, equipped","Furnished, equipped","Furnished, equipped","Empty, equipped","Furnished, equipped",Empty,"Furnished, equipped","Empty, equipped","Empty, equipped","Furnished, equipped","Furnished, equipped","Empty, equipped","Furnished, equipped","Furnished, equipped","Partly furnished, equipped","Furnished, equipped","Furnished, equipped","Furnished, equipped",Partly furnished,"Furnished, equipped","Furnished, equipped",Partly furnished,"Furnished, equipped","Empty, equipped","Partly furnished, equipped","Partly furnished, equipped","Partly furnished, equipped","Empty, equipped","Partly furnished, equipped","Empty, equipped","Empty, equipped","Furnished, equipped","Furnished, equipped","Partly furnished, equipped","Empty, furnished as well","Empty, furnished as well","Partly furnished, equipped","Furnished, equipped","Empty, equipped","Furnished, equipped","Empty, equipped"
Floor,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available
Balconies,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available
View,Overlooking the garden,Panoramic,Street and courtyard,Panoramic,Overlooking the garden,"Courtyard, sunny",Panoramic,To the courtyard,Overlooking the garden,Overlooking the garden,Panoramic,"Street, quiet",Street and courtyard,"Street, sunny","Courtyard, sunny","Courtyard, sunny","Courtyard, sunny","Courtyard, sunny",Park view,Overlooking the garden,"Courtyard, sunny","Courtyard, sunny",Overlooking the garden,"Courtyard, sunny",Overlooking the garden,To the courtyard,Street and courtyard,Panoramic,To the courtyard,Street and courtyard,Overlooking the garden,Panoramic,"Courtyard, sunny",Street and courtyard,Overlooking the garden,Overlooking the garden,Overlooking the garden,Panoramic,"Courtyard, sunny",Street and courtyard,View to the hills,"Courtyard, sunny",View to the hills,Overlooking the garden,Overlooking the garden,Overlooking the garden,Overlooking the garden,Panoramic
Shortest rental period,At least one year,No info available,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,No info available,At least one year,At least one year,At least one year,3 months,6 months,At least one year,At least one year,10 months,At least one year,At least one year,No info available,At least one year,No info available,10 months,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,No info available,At least one year,At least one year,At least one year,At least one year,No info available,At least one year,At least one year,At least one year,At least one year,No info available,At least one year,At least one year,At least one year
Children welcomed,No info available,No info available,No info available,Yes,Yes,Yes,Yes,No info available,No info available,No info available,Yes,Yes,No info available,No info available,Yes,Yes,No info available,Yes,Yes,Yes,No info available,No info available,No info available,No info available,Yes,No info available,No info available,No info available,No info available,No info available,Yes,No info available,No info available,Yes,Yes,No info available,Yes,No info available,No info available,No info available,No info available,No info available,Yes,No info available,No info available,No info available,Yes,Yes
American kitchen,yes,No info available,No info available,yes,No info available,yes,yes,No info available,No info available,yes,yes,No info available,No info available,No info available,yes,No info available,No info available,No info available,No info available,yes,No info available,No info available,No info available,No info available,yes,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,yes,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,yes,yes,No info available,No info available
Can be an office,Yes,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Yes,No info available,Yes,No info available,No info available,No info available,Yes,No info available,No info available,No info available,Yes,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Yes,No info available,Yes,No info available,No info available,No info available,No info available,No info available,No info available,Yes,Yes,Yes,No info available,No info available,No info available,No info available,No info available,Yes
Foreigners welcomed,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Yes,No info available,No info available,Yes,No info available,No info available,No info available,No info available,Yes,Yes,Yes,No info available,Yes,Yes,Yes,No info available,Yes,Yes,Yes,No info available,No info available,No info available,Yes,Yes
Washing machine,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,yes,No info available,yes,yes,No info available,No info available,yes,No info available,No info available,No info available,yes,No info available,No info available,yes,No info available,No info available,yes,No info available,yes,yes,No info available,No info available,No info available,yes,No info available,No info available,yes,No info available
Details,"Csatárka quite green environment in horizontal landscaped garden 3-storey renovated, luxury family house is available for a minimum of one year rent. Entry level huge living room with access to a large terrace, modern built-in kitchen with applicances, guest toilet, one bedroom and a bathroom with bathtube located. Upstairs there are 2 separate bedrooms, second living room and bathroom with shower. Garden level there is a separate aparment with open style kitchen and fireplace, access to a large terrace and the garden, bathroom with shower, garage for 2 cars, and steam bath located. Circo gas and floor heating. Without furniture, fully equipped. Also suitable as an office. 2 months deposit required. ",budapestalberletek.alberlet.hu,No info available,revival.alberlet.hu,diamond.alberlet.hu,No info available,revival.alberlet.hu,No info available,No info available,ingatlannagyker.alberlet.hu,revival.alberlet.hu,ingatlannagyker.alberlet.hu,"2 bedroom (separate), independent, fully-equipped, old-style detached house for rent at the South Pest Hospital. 120 and + expenses. Quiet, large garden with low flow meters, circular heating, unfurnished, good transport (123, 35, 36 bus, Metro 20 minutes, for 2 persons!) 3 months deposit can be moved from Dec. 10. 
House: 70 m2, Garden: 600 m2",bibor.alberlet.hu,"In Budapest, in a quiet area of the 3rd district in Taborhegy, Jablonka road a 280sqm detached house is available for rent on 3 levels. ",lotushouse.alberlet.hu,"Full house with garden next to Margaret bridge for rent in January-February

€ 500

In the central part of Buda, a few minutes away from the Margaret Bridge our beloved little house with garden is for rent. At the beginning of Pusztaszeri street, at the famous Daubner confectionery, a 42 m2 renovated, mechanized, stylishly furnished house. From 9 January can be moved for approx. two months (dates are negotiable).

Living room (15 m2), bedroom (10 m2), separate kitchen (10 m2), bathroom. Stylish, handmade furniture, terrace, peaceful garden.

Transportation: 4/6 tram in a 10 minutes walk or two tram / bus stops. The new Buda trams in a few minutes. Buda hills are in a few bus stops.
Restaurants, shops, market at Kolosy square, a few minutes from the house. Several baths, including the famous Lukács bath, are just around.

Monthly rental fee: 500 EUR (150.000 HUF), invoice is available. Monthly costs, including circulation heating, electricity, communal costs, water and wi-fi: 100 EUR (30.000 HUF). You can book it any time for one month rental fee and one month deposit.

",No info available,bojtimaria.alberlet.hu,newlife.alberlet.hu,No info available,No info available,No info available,No info available,bojtimaria.alberlet.hu,No info available,No info available,"In the III.district a hose for rent only for long term,minimum one year.3room and opening kitchen and big terrace.2month deposit and one month rental price!",No info available," 

",revival.alberlet.hu,"III. DISTRICT AND BORDER ÜRÖM, ÜRÖM BEST PART OF MINIMAL STYLE LUXURY VILLA FOR RENT! BEFORE spheres, BEHIND THE FOREST! It built 800 m2 flat plot in this beautiful modern luxurious building. Calculated half terraces 420 m2 duplex living-room 4, two bathrooms. Without terraces in the ground floor of 200 m2 and 165 m2 of floor. 113.68 m2 of terraces. Exta: high-gloss Italian tiles, large glass surfaces, ceilings, floors and edge heating heat pump with separate ventilation, continuous air exchange, automatic blinds, luxury Nobilia German high-gloss-touch kitchen integrated ceramic hob, extractor and sink, oven, microwave, refrigerator, freezer, glass railings kívül- inside, the glass staircase railing in preparation for accession to the intercom, alarm system, camera system, Villeroy luxury sanitary ware, Hofstadter 3-ply exterior doors, double garage with remote control garage doors, solar panels prepared outdoor pool water and electricity connections routed. Italian beautiful corner suite, design mirror, three large built-in wardrobe, dressing rooms. BRAND NEW, FREE OF LOAD, BLANK, fabulous! On the ground floor over the double garage, a wardrobe and a guest toilet in the hallway. Further along is a huge, impressive high-ceilinged loft fore, dining room which we found in the back of the garden terrace and living room separated by a glass door in the kitchen opens to the right, left and leading the elegant floor glass handrail stairs. felérve upstairs hallway opens to the spacious four separate rooms, two dressing rooms, 2 bathrooms, a utility room and a huge panoramic terrace overlooking. The property is supplied with an extremely bright and elegant impression because of the clear high-gloss tiles, sanitary ware, light walls, glass railings and a huge floor to ceiling glass. The interior layout finished thoughtful, practical, extra-quality materials, heating systems state of the art, specifically energy-efficient. The road is excellent, the area is well supplied, Árpád Bridge 5-6 minutes by car. IF YOUR DEMANDS REAL GREAT LOOKING FOR LUXURY Villae, this house is waiting for you! The rent two months deposit and the current month's rent is required! Only long term rent!",No info available,No info available,diamond.alberlet.hu,diamond.alberlet.hu,revival.alberlet.hu,"In the 12th district, on the Fodor Street, a 310 sqm, 7 bedroom, two-storey, panoramic, good condition mansion-like house on a beautiful estate.

The monthly cost of the house is about 150000 Forints, but it obviously depends on consumption.
There are two garages.
Pets can not be brought.
No smoking in the house.

Minimum rental period is 2 years.
The house can be moved immediately by paying the 3 month deposit and the monthly rent per month."," 


",No info available,No info available,"In the heart of Buda side of Budapest, a beautiful, renovated house part with garden, terrace, garage is now for rent for 1650 euros/month. It is a unique opportunity as shopping centers such as Hegyvidék, MOM cultural center, MOM Park, shops, medical clinics are within walking distance. Upon request, photos can be sent.
","In the 2nd district on Kilincs street a 310 sqm, 6-roomed, mechanized, american kitchen, panoramic, with balcony, garage, renovated, sauna, 4-storey garden-friendly, pet friendly semi-detached house for rent.

The cost of housing is about 50,000 HUF per month, but it also depends on consumption.
The property is subject to negotiation. Pet friendly and outdoors can be smoked.
In the basement of the house there is a garage and a sauna.
The house has 3 baths + wc, plus a separate toilet.
On the first floor there are 2 balconies and on the ground floor there is a huge terrace.

Minimum rental period is 1 year!
The house can be moved immediately by paying a 2 month deposit and the rent for the month.",pesthouse.alberlet.hu,lotushouse.alberlet.hu,lotushouse.alberlet.hu,revival.alberlet.hu,"XI. district, 200 sm house, 400 sm garden, living-room with dining-room, separated kitchen totally equipped, 2 bathrooms, 2 bedrooms, terrace, balcony, 2 parking places in garage, very beautiful panorama to the town, pets are allowed. Please call me if you want to see. "
Area,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Városliget,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available
Transportation,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Metro 2 red,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,Metro 3 blue,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available
Near universities,,No info available,,,,No info available,No info available,,,,No info available,No info available,No info available,,No info available,,"Budapest Kortárstánc Főiskola - BHF ( 1.426 km )Budapesti Műszaki Főiskola - BMF ( 0.822 km )Budapesti Műszaki Főiskola - BMF KVK ( 0.814 km )Budapesti Műszaki Főiskola - BMF NIK ( 0.822 km )Budapesti Műszaki Főiskola - BMF RKK ( 0.751 km )

                    More
                    



",No info available,No info available,,No info available,No info available,No info available,No info available,No info available,,No info available,No info available,No info available,,,No info available,No info available,No info available,No info available,No info available,,"Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 1.064 km )Mozgássérültek Pető András Nevelőképző és Nevelőintézete - MPANNI ( 1.705 km )Rendőrtiszti Főiskola - RTF ( 1.870 km )Semmelweis Egyetem - SE TSK ( 1.329 km )

                    More
                    



","Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 0.443 km )Semmelweis Egyetem - SE TSK ( 0.791 km )
",No info available,No info available,"Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 0.780 km )Semmelweis Egyetem - SE TSK ( 1.109 km )
",No info available,,No info available,No info available,No info available,
Longitude and latitude,"47.534433700000,19.006368400000","47.558660500000,18.959981400000","47.502180900000,19.185967000000","47.538217500000,19.019659500000","47.473439300000,19.004762500000","47.413097100000,19.079062600000","47.568044200000,18.961784500000","47.566573800000,19.119326500000","47.545512500000,19.108884100000","47.550783600000,19.083599300000","47.550014000000,18.956430000000","47.450028000000,19.180237900000","47.419712600000,19.134869100000","47.482673200000,19.006897400000","47.563928800000,19.005163500000","47.524515400000,18.959801700000","47.527779800000,19.028484500000","47.399757700000,19.051277100000","47.566845000000,18.969016900000","47.501530200000,19.154904200000","47.579103200000,19.042332200000","47.423276200000,19.124227300000","47.426364700000,19.025698400000","47.450028000000,19.180237900000","47.470443500000,19.226010700000","47.504931800000,19.161100000000","47.582141000000,19.062890800000","47.581761200000,19.019068900000","47.434143000000,19.138903100000","47.531724400000,19.162774000000","47.521836100000,18.967308600000","47.580834300000,19.013091600000","47.420275800000,19.031449300000","47.454930000000,19.195552000000","47.446683000000,19.031887100000","47.568044200000,18.961784500000","47.487466000000,19.011983000000","47.496934600000,19.007209000000","47.490242000000,19.014488000000","47.446069200000,19.137250600000","47.548473700000,18.966343600000","47.487466000000,19.011983000000","47.568964500000,18.962806000000","47.468219900000,19.037125400000","47.571570300000,18.957200100000","47.558229300000,18.943962600000","47.580423300000,19.038128500000","47.477623200000,18.981904400000"
