ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District
1046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,52,438461.5385, Rákospalota-Kertváros,-1,-1,1,garden view,1,0,0,-1,not available,0,2 room,2,0,needs renovation,0,0,0,0,1,0,not specified,0,0,0,-1,1,-1,mixed heating,0,0,0,0,no,together,0,1,-1,-1,-1,loft conversion possible,1,-1,47.5773,19.124798000000002,47.5773,19.124798000000002,1151,15
1047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.0,580,655172.4138, II/A kerület – Máriaremete,-1,-1,1,panoramic,0,1,0,-1,available,1,10 + 2 half room,10,2,mint,0,0,0,0,0,1,luxury,0,0,1,-1,3,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.558613,18.945063,47.558613,18.945063,1029,2
1048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,186,287634.4086, Görgey Artúr tér,-1,-1,1,garden view,1,0,0,-1,not available,0,7 room,7,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,1,-1,gáz (cirko),1,0,0,0,yes,separate and together too,1,0,-1,-1,-1,loft conversion possible,1, Busz   35   36   71   148   151   152   159    Éjszakai   938   948   979   979A   ,47.42331,19.072056,47.42331,19.072056,1212,21
1049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.0,230,1126086.957, II/A kerület – Budaliget,-1,-1,1,panoramic,0,1,0,-1,available,1,5 room,5,0,not specified,0,0,0,0,0,0,double comfort,1,0,0,AA++,3,-1,hőszivattyú,0,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.56751,18.941212,47.56751,18.941212,1029,2
1050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,120,482500.0, Kendő utca 5,-1,-1,1,garden view,1,0,0,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate,1,0,-1,-1,-1,loft conversion,1, Busz   169E    Éjszakai   956   ,47.489277,19.294151,47.489277,19.294151,1171,17
1051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,70,312857.1429, Pacsirtatelep,-1,-1,-1,garden view,1,0,0,-1,-1,-1,2 + 1 half room,2,1,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.424374,19.120295000000002,47.424374,19.120295000000002,1201,20
1052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.0,458,600436.6812, Jablonka út,-1,-1,1,panoramic,0,1,0,-1,-1,-1,7 room,7,0,not specified,0,0,0,0,0,0,double comfort,1,0,0,A,2,-1,natural gas boiler,1,0,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1, Busz   237   137    Éjszakai   937   ,47.562233,19.007778,47.562233,19.007778,1037,3
1053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,210,332857.1429, Felsőrákoshegy,-1,-1,1,garden view,1,0,0,-1,-1,-1,6 + 1 half room,6,1,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,2,-1,natural gas boiler,1,0,0,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.471638,19.25049,47.471638,19.25049,1174,17
1054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,200,675000.0, Adorján köz,-1,-1,1,panoramic,0,1,0,-1,available,1,5 room,5,0,in good condition,0,1,0,0,0,0,not specified,0,0,0,D,2,-1,floor heating,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.48283,18.97812,47.48283,18.97812,1121,12
1055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.6,135,485925.9259, Rákospalota,-1,-1,1,garden view,1,0,0,-1,-1,-1,4 room,4,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,2,-1,hőszivattyú,0,0,0,0,no,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.562843,19.137367,47.562843,19.137367,1152,15
1056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,270,962962.963, Orbánhegy,-1,-1,1,garden view,1,0,0,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,3,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.496105,19.00613,47.496105,19.00613,1126,12
1057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,150,233266.6667, Kispest-Óváros,-1,-1,1,garden view,1,0,0,-1,-1,-1,6 room,6,0,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,3,-1,not specified,0,0,0,0,no,separate,1,0,-1,-1,-1,loft conversion,1,-1,47.446175,19.136986,47.446175,19.136986,1196,19
1058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,100,495000.0, Csillaghegy,-1,-1,-1,not specified,0,0,0,-1,available,1,3 room,3,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,no,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.585827,19.051441,47.585827,19.051441,1039,3
1059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,140,713571.4286, II/A kerület – Budaliget,-1,-1,1,garden view,1,0,0,-1,available,1,4 room,4,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.56751,18.941212,47.56751,18.941212,1029,2
1060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.99,220,204500.0, Erzsébetfalva,-1,-1,1,garden view,1,0,0,-1,not available,0,8 room,8,0,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,no,separate,1,0,-1,-1,-1,loft conversion,1,-1,47.443764,19.109503,47.443764,19.109503,1203,20
