ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357482,300,4524.94, Széchenyihegy,-1,-1,1,not specified,0,0,0,-1,-1,available,1,6 room,6,0,not specified,0,0,0,0,0,0,luxury,0,0,1,-1,0,-1,-1,not specified,0,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.490948,18.98421,47.490948,18.98421,1121,12,3.541226684,5.03401173,7.574793609,5.946935854,3.25062521,20.9747896,5.599434606,6.039390549,6.179066048,5.994933562,5.994933562,5.456825736,10.71354131,6.476721206,11.47179327,5.028729221,5.560027023,6.718676684,6.176277386,6.491581263,9.488331,5.826326394,10.30380223,2.907452198,7.669455237,6.108574657,6.127347913,6.271759179,3.022754916,15,17,0,1,9,0,2,8,0,0,0,4,1,65,0,4,207
109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034272,510,2027.984314, Istenhegy,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,3,-1,not specified,0,0,0,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.50405,18.999819,47.50405,18.999819,1125,12,2.926684275,3.913054363,6.318544891,4.39341267,1.886019982,20.32292419,4.067058871,4.802804034,5.080460556,4.993979393,4.993979393,4.868418273,9.37871829,5.420538624,10.17192569,3.75835269,4.78634755,5.999456652,4.849144184,5.065157709,7.628484402,4.93628837,8.803285864,1.546207095,6.886633129,4.238621964,5.135827364,5.411340853,2.1820174,50,54,0,5,38,2,10,15,0,0,25,11,2,115,1,10,432
110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357482,250,5429.928, II/A kerület – Széphalom,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,6 room,6,0,newly built,1,0,0,0,0,0,luxury,0,0,1,-1,0,2,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.559986,18.959665,47.559986,18.959665,1028,2,3.101875085,9.82441489,11.37356149,9.087845942,8.137511053,25.79468295,5.228684331,10.25838677,10.75645596,10.86305099,10.86305099,11.29701106,13.65337284,11.1087404,14.46239532,9.441947071,11.02003801,12.14044434,10.07572146,9.94904249,7.072427094,10.98947753,12.5057763,5.365961586,12.83068344,6.30055236,10.99388401,11.43112181,8.846150113,20,20,0,4,17,1,6,16,0,0,2,2,0,30,0,5,145
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355000,310,4370.967742, II/A kerület – Budaliget,-1,-1,1,not specified,0,0,0,-1,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,3,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.56751,18.941212,47.56751,18.941212,1029,2,4.008008407,11.39636405,12.98821995,10.70007372,9.656363131,27.41235231,6.325605721,11.85741929,12.34935463,12.44637566,12.44637566,12.83548564,15.26249011,12.70321125,16.06959764,11.02326803,12.5773816,13.71261878,11.68135821,11.56208594,8.4733872,12.56149747,14.102085,6.783958311,14.41984712,7.91497525,12.57873617,13.00842608,10.32900211,7,10,1,2,3,1,6,4,0,2,0,3,1,25,0,2,111
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939260,500,3878.52, Rózsadomb,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,13 + 1 half room,13,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,0,4,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.517323,19.0284,47.517323,19.0284,1023,2,0.40611428,2.855816828,4.525006113,2.256744753,1.793198924,18.96567356,1.59334243,3.263439267,3.74866266,3.858695236,3.858695236,4.455980502,7.291573156,4.102659655,8.112220326,2.445457275,4.094862219,5.155167881,3.119031295,3.099438378,5.338006457,4.01021786,6.49773348,2.796754109,5.821589885,1.927541401,3.987503955,4.436348807,2.671738451,336,59,1,69,66,27,20,28,4,9,134,158,2,217,2,5,886
113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,250,2400, Rómaifürdő,-1,-1,-1,garden view,1,0,0,-1,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,3,-1,combination boiler,0,0,1,0,0,-1,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.574738,19.05708,47.574738,19.05708,1031,3,1.524520883,8.710276941,8.398733475,7.020078575,8.511122667,21.07371276,2.249414541,8.324331941,8.858482436,9.182512226,9.182512226,10.34768018,8.969761786,9.068976656,9.598413866,8.259794886,9.828153604,10.39282099,7.962561341,7.507705675,1.420887154,9.524622569,7.553174359,8.134153092,10.54599302,4.820583348,9.240683584,9.739451928,9.36756146,76,19,8,3,15,3,5,7,0,0,5,17,2,56,0,1,209
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646420,390,1657.487179, Csillaghegy – Rókahegy,-1,-1,1,panoramic,0,1,0,-1,-1,-1,-1,5 room,5,0,in good condition,0,1,0,0,0,0,luxury,0,0,1,-1,1,4,-1,central heating,0,0,0,0,1,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.592148,19.03574,47.592148,19.03574,1038,3,3.579861954,10.69216378,10.71723505,9.100054648,10.12518665,23.57841293,1.250702276,10.45568239,11.00792618,11.30426512,11.30426512,12.37239701,11.47360293,11.25365784,12.1092008,10.22954535,11.88083249,12.57155095,10.11055072,9.695312249,3.602608705,11.61885462,10.05924365,9.034770252,12.81922071,6.44675631,11.37884225,11.8856121,11.00754823,33,22,3,8,18,0,5,8,0,0,4,2,1,58,0,6,103
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,80,1250, Szent Imre-kertváros,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,2 room,2,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,0,3,-1,combination boiler,0,0,1,0,0,yes,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.426834,19.207228,47.426834,19.207228,1182,18,2.582376051,14.08943208,12.44094366,14.69587348,16.03711414,3.632267284,8.52883667,13.52680311,13.0531094,12.99849683,12.99849683,12.93447791,10.97264558,12.69532946,10.37247552,14.41362881,13.03299543,11.82762031,13.69764602,13.84170083,18.95092303,12.94960827,12.38982553,19.06572009,11.015422,17.63982638,12.86005852,12.47943584,15.6228058,15,6,0,3,4,0,0,6,0,0,3,2,2,11,0,2,49
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614099,200,3070.495, Mártonhegy,-1,-1,1,not specified,0,0,0,-1,-1,available,1,4 room,4,0,not specified,0,0,0,0,0,0,full comfort,0,1,0,-1,1,3,-1,not specified,0,0,0,0,0,-1,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1,-1,47.490086,19.001743,47.490086,19.001743,1124,12,2.269167284,3.747442366,6.294929256,4.806347149,2.129826509,19.68400436,4.360438177,4.766949502,4.877463672,4.682201832,4.682201832,4.147867684,9.440516899,5.167766303,10.18811081,3.781276006,4.2395029,5.402815068,4.928571798,5.276840389,8.917303481,4.506751882,9.091751881,3.060711781,6.35141713,5.48201669,4.813207082,4.951017005,1.733576939,46,36,1,8,31,5,9,15,0,2,13,14,2,75,0,5,387
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260519,330,3819.754545, II/A kerület – Adyliget,-1,-1,1,garden view,1,0,0,-1,-1,-1,-1,5 room,5,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,2,-1,combination boiler,0,0,1,0,0,-1,not specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.54735,18.93912,47.54735,18.93912,1029,2,5.092953578,10.10677943,12.00808795,9.717854431,8.204880114,26.4533587,7.103544783,10.71956843,11.15998434,11.19783043,11.19783043,11.39031475,14.58759918,11.51921209,15.41012103,9.787843777,11.20553806,12.39057848,10.60331746,10.57569823,8.766721539,11.25366425,13.56328453,5.187466704,13.180314,7.300368707,11.33681095,11.72020556,8.763312311,5,10,1,1,11,1,2,8,0,2,0,0,1,20,0,2,117
