ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm(HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony (sqm),Attic,Attic: Loft conversion,Attic: Penthouse,Attic: Top floor,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance_10min,Amenity: School_10min,Amenity: Education_10min,Amenity: Financial_10min,Amenity: Healthcare_10min,Amenity: Arts_10min,Amenity: Entertainment_10min,Amenity: Religion_10min,Amenity: police_10min,Amenity: Government_10min,Amenity: Vending_machine_10min,Amenity: Transportation_bicycle_10min,Amenity: Transportation_car_10min,Amenity: Fuel_10min,Amenity: Parking_10min,Amenity: Coworking_space_10min,Amenity: Recycling_10min,Amenity: Others_10min,Amenity: Sustenance_20min,Amenity: School_20min,Amenity: Education_20min,Amenity: Financial_20min,Amenity: Healthcare_20min,Amenity: Arts_20min,Amenity: Entertainment_20min,Amenity: Religion_20min,Amenity: police_20min,Amenity: Government_20min,Amenity: Vending_machine_20min,Amenity: Transportation_bicycle_20min,Amenity: Transportation_car_20min,Amenity: Fuel_20min,Amenity: Parking_20min,Amenity: Coworking_space_20min,Amenity: Recycling_20min,Amenity: Others_20min,Amenity: Sustenance_30min,Amenity: School_30min,Amenity: Education_30min,Amenity: Financial_30min,Amenity: Healthcare_30min,Amenity: Arts_30min,Amenity: Entertainment_30min,Amenity: Religion_30min,Amenity: police_30min,Amenity: Government_30min,Amenity: Vending_machine_30min,Amenity: Transportation_bicycle_30min,Amenity: Transportation_car_30min,Amenity: Fuel_30min,Amenity: Parking_30min,Amenity: Coworking_space_30min,Amenity: Recycling_30min,Amenity: Others_30min
1273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49,25,739600, Mexikói út 7,2.0,-1,1,garden view,1,0,0,not available,0,available,1,1 room,1,0,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,-1,2,3 m or more,electric,0,0,0,0,0,0,together,0,1,not specified,0,0,0,0,0,0,0,0,-1,-1.0,top floor,0,0,1, Busz   95   100   130   195    Éjszakai   908   931   956   990    Troli   80   80A   ,47.502518,19.113106,47.502518,19.113106,1142,14,21,12,1,7,9,0,0,4,4,0,5,3,5,4,84,0,3,13,54,45,2,13,24,0,3,6,4,2,9,12,7,4,209,0,8,53,122,79,5,31,55,6,8,21,7,7,13,23,17,7,346,5,10,201
1274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,35,482857, Ady Endre út,9.0,-1,1,panoramic,0,1,0,available,1,-1,-1,1 + 1 half room,1,1,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,-1,10,not specified,district heating (metered),0,0,0,0,0,-1,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,-1,-1.0,-1,0,0,0, Busz   35   36   38   138   148   151   152   159   179   238   278   38A   71    Éjszakai   979   979A   948   ,47.43486,19.075514,47.43486,19.075514,1215,21,5,24,0,3,12,3,0,4,2,4,0,7,0,2,46,0,6,26,15,51,2,10,19,3,1,8,2,4,0,12,4,2,126,0,16,56,30,78,3,11,27,4,3,11,2,4,0,12,6,2,223,3,18,91
1275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,50,820000, Dózsa György út 38.,7.0,-1,1,panoramic,0,1,0,available,1,not available,0,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,-1,7,less than 3 m,combination boiler,0,0,1,0,0,0,together,0,1,Southwest,0,0,0,0,0,0,1,0,0,-1.0,loft conversion,1,0,0, Busz   133E   30   230   30A   5   7   110   112    Éjszakai   907   973   979    Troli   74   79   75   ,47.50492,19.087646,47.50492,19.087646,1071,7,82,15,0,18,9,0,7,2,2,0,24,24,4,2,28,1,4,103,172,34,1,44,40,11,20,20,4,0,47,61,7,4,98,1,6,378,389,133,8,72,125,23,41,49,9,3,136,140,16,9,246,15,11,722
1276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,44,611364, Tölgy utca 5c,3.0,-1,1,street view,0,0,1,not available,0,available,1,1 + 1 half room,1,1,mint,0,0,0,0,0,1,full comfort,0,1,0,-1,-1,4,less than 3 m,combination boiler,0,0,1,0,0,0,together,0,1,not specified,0,0,0,0,0,0,0,0,0,-1.0,no loft conversion,0,0,0, Busz   166   182   254E   266   282E    Éjszakai   950   950A   ,47.414913,19.207127,47.414913,19.207127,1188,18,4,0,0,1,0,0,0,0,0,0,2,0,2,0,4,0,0,7,6,4,0,1,3,0,0,8,0,0,2,0,2,0,9,0,0,24,20,13,1,6,16,0,2,12,0,0,4,4,3,0,27,2,1,57
1277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,49,603922, Etele út,3.0,-1,1,garden view,1,0,0,available,1,-1,-1,2 room,2,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,D,-1,10,less than 3 m,district heating,0,0,0,0,0,-1,separate,1,0,not specified,0,0,0,0,0,0,0,0,-1,4.0,-1,0,0,0, Metró   M4    Busz   7   58   103   114   141   153   213   214    Éjszakai   907   ,47.463413,19.034557,47.463413,19.034557,1119,11,34,37,1,14,19,3,4,4,0,0,4,28,0,0,100,2,4,146,96,74,2,32,51,8,13,18,1,0,10,74,13,1,211,2,14,331,223,109,4,52,77,14,21,36,2,0,27,145,13,2,312,6,18,845
1278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,100,640625, Pünkösdfürdő utca 48,7.0,-1,1,not specified,0,0,0,available,1,available,1,3 room,3,0,mint,0,0,0,0,0,1,double comfort,1,0,0,BB,-1,9,less than 3 m,central heating (metered),0,0,0,0,1,1,not specified,-1,-1,Southwest,0,0,0,0,0,0,1,0,-1,56.0,-1,0,0,0, Hév   H5    Busz   34   134   204   296    Éjszakai   934   960   ,47.594604,19.056915,47.594604,19.056915,1039,3,27,26,1,9,17,2,2,4,1,0,3,11,3,1,79,0,4,83,51,41,4,10,25,2,4,11,1,0,4,15,3,1,114,0,8,147,89,47,4,13,32,3,4,13,1,0,6,21,6,1,143,2,8,237
1279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,78,1346154, Donáti utca,3.0,-1,1,panoramic,0,1,0,not available,0,available,1,2 + 1 half room,2,1,mint,0,0,0,0,0,1,not specified,0,0,0,-1,-1,3,less than 3 m,district heating (metered),0,0,0,0,0,-1,separate,1,0,East,0,0,1,0,0,0,0,0,0,-1.0,no loft conversion,0,0,0, Villamos   19   41    Metró   M2    Hév   H5    Busz   11   39   109   111   H5    Éjszakai   990    Hajó   D11   ,47.50498,19.03594,47.50498,19.03594,1015,1,153,20,3,32,18,22,8,14,3,5,77,70,0,3,57,0,0,429,390,52,10,82,64,44,22,28,6,9,138,174,11,6,163,1,9,764,654,112,15,153,109,68,33,59,12,15,209,293,15,12,270,8,9,1454
1280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,35,642857, Páskomliget utca,3.0,-1,1,garden view,1,0,0,available,1,-1,-1,1 + 1 half room,1,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,-1,10,not specified,district heating,0,0,0,0,0,-1,together,0,1,Southwest,0,0,0,0,0,0,1,0,-1,-1.0,-1,0,0,0, Villamos   69    Busz   124   196   196A   96   130   296   296A    Éjszakai   973   996   996A   ,47.54689000000001,19.1349,47.54689000000001,19.1349,1156,15,16,8,1,8,8,1,4,4,0,0,3,3,2,0,34,0,4,79,39,22,1,9,19,1,9,8,0,0,4,3,3,0,53,0,8,145,60,39,2,14,29,2,13,20,2,1,5,9,8,2,98,4,10,226
1281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,41,647826, Hársfavirág utca,1.0,-1,1,street view,0,0,1,available,1,not available,0,2 room,2,0,mint,0,0,0,0,0,1,full comfort,0,1,0,FF,-1,4,less than 3 m,central heating (metered),0,0,0,0,1,1,together,0,1,Northeast,0,0,0,0,1,0,0,0,0,10.0,no loft conversion,0,0,0, Busz   46   131   146    Éjszakai   996   ,47.52978,19.16065,47.52978,19.16065,1161,16,10,3,0,0,3,0,0,2,0,0,0,2,1,0,6,0,0,7,22,7,2,3,5,0,0,7,0,0,0,3,1,0,17,0,3,14,36,25,3,8,12,2,4,9,0,2,4,7,2,0,132,1,3,118
1282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,47,744681, Mosoly utca,1.0,-1,-1,garden view,1,0,0,not available,0,not available,0,1 + 1 half room,1,1,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,-1,3,less than 3 m,combination boiler,0,0,1,0,0,0,separate,1,0,South,0,1,0,0,0,0,0,0,0,-1.0,no loft conversion,0,0,0, Villamos   1   14    Busz   14   105   120    Éjszakai   914A   914   ,47.5452,19.082603,47.5452,19.082603,1131,13,16,27,1,8,16,4,2,4,0,0,0,10,1,0,26,0,15,47,43,62,3,19,24,8,10,10,0,3,11,45,5,0,91,0,29,160,126,103,4,55,73,11,14,19,3,14,28,70,9,3,189,15,36,410
